id,bet_id,nacebel_code
3478,126005813,47240
3482,126005697,10710
3484,126025290,56100
3487,126005513,10710
3490,126005513,47240
3493,126005869,43320
3496,126005801,25610
3499,126005801,31090
3502,126005801,43290
3505,126005801,41200
3508,126004561,68200
3511,126118630,81210
3512,126047559,49420
3514,126118744,47710
3517,126118744,46410
3520,126118753,56300
3523,126119347,43290
3526,126119347,43130
3529,126119347,43340
3532,126119347,81220
3535,126005709,69200
3538,126005577,69200
3541,126004593,41200
3544,126004593,43990
3545,126119578,53100
3548,126119578,49410
3551,126119578,53200
3554,126119609,52290
3557,126119609,01610
3568,126005793,10710
3571,126005793,10720
3574,126005793,47110
3580,126005793,56100
3583,126005849,47420
3586,126005849,61200
3589,126005889,56100
3592,126005889,49410
3595,126005889,56290
3598,126005341,56100
3599,126004669,47710
3602,126004669,14110
3605,126004669,14120
3608,126004669,14130
3611,126004669,14140
3614,126004669,14190
3617,126004669,14200
3620,126004669,47890
3623,126004669,74100
3626,126004669,95290
3628,126054474,45200
3631,126054474,45110
3634,126054474,45190
3637,126054474,45320
3640,126054474,47300
3643,126005649,56100
3646,126004801,47520
3649,126005593,25110
3652,126005593,25620
3655,126005593,43990
3656,126005685,56100
3658,126005545,41200
3661,126005545,33200
3664,126005545,43210
3667,126005545,43990
3670,126005545,49410
3673,126005545,53100
3676,126005545,53200
3679,126005609,43210
3682,126005609,42220
3683,126005909,81210
3686,126005909,81220
3689,126005909,81290
3700,126054847,43330
3715,126005421,43910
3718,126005421,43290
3721,126005421,43290
3724,126005421,43990
3727,126005421,43990
3730,126004877,62090
3733,126004877,56100
3736,126004913,46390
3739,125926502,01610
3742,125926502,01630
3745,125926502,81220
3746,126004697,10710
3749,126004697,10720
3752,126004697,47290
3760,125926506,81210
3763,125926506,43340
3766,125926506,52290
3769,125926506,82110
3772,125926506,82990
3775,126128389,45110
3778,126128389,45200
3781,126128416,70220
3784,126128428,47110
3787,126004613,41200
3790,126004613,43390
3793,126004613,81210
3796,126004613,56100
3797,126129503,56100
3799,126005013,96020
3802,126005013,47750
3805,126005013,96020
3808,126005781,10710
3811,126005781,10720
3814,126005781,47290
3817,126005781,56100
3820,126005509,45200
3823,126129619,56100
3826,126129619,46490
3829,126129619,47210
3830,126005693,47240
3833,126005693,56290
3836,126005693,81220
3839,126005693,56100
3844,126129676,10710
3847,126129676,10720
3850,126129676,47110
3853,126129676,47290
3856,126129676,56100
3859,126129676,47240
3868,126019248,47910
3871,126019248,45110
3874,126019248,47520
3877,126005517,10710
3880,126005517,10720
3883,126005517,56100
3884,126129839,64200
3887,126129839,70220
3896,126005533,10710
3899,126005645,56100
3902,126004537,47300
3907,126005797,10710
3908,126130157,56100
3910,126005745,41200
3913,126006984,45200
3919,126006984,45310
3922,126006984,45320
3944,126004609,41200
3947,126004609,43990
3952,126130988,46340
3955,126130988,46490
3958,126130988,47110
3961,126005809,56100
3964,126005809,56290
3967,126004721,46380
3970,126004721,46340
3973,126004721,46390
3976,126004721,46430
3979,126004721,46440
3982,126004721,46490
3983,126005833,47220
3986,126005597,46690
3988,126005597,46320
3991,126005597,70220
3994,126005597,71120
3997,126005597,73200
4000,126005597,74100
4006,126005837,56100
4009,126005773,56100
4012,126005773,47240
4015,126005777,56100
4018,126131584,56100
4021,126131602,47520
4022,126004657,43340
4028,126004657,43310
4031,126004657,43330
4033,126004637,38210
4036,126004637,81210
4039,126004637,81220
4042,126004637,81290
4045,126005569,47910
4048,126005569,47740
4051,126005569,70220
4054,126008884,43340
4057,126008884,47520
4060,126005549,43290
4063,126005549,56100
4064,126005561,47110
4070,126004621,52240
4073,126004621,47710
4076,126004621,63990
4079,126004621,82920
4082,126005501,53200
4085,126004785,69200
4087,126025579,42110
4090,126025579,43120
4093,126025579,53200
4096,126132574,46390
4099,126132574,47250
4102,126004905,43120
4105,126004905,43990
4108,126005661,01130
4111,126005469,41200
4114,126005469,43990
4115,126005497,56300
4126,126004441,56100
4132,126005541,43120
4135,126005541,43390
4138,126005541,43990
4141,126005541,81210
4144,126005541,81220
4147,126005861,56300
4168,126051139,46120
4171,126051139,47300
4174,126047595,56100
4180,126004821,56100
4183,126047550,47540
4186,126047550,47590
4189,126005901,81210
4201,126005385,47520
4204,126005385,46730
4264,126194458,56100
4265,126194495,65110
4268,126194495,64990
4271,126194495,65120
4274,126194495,64920
4276,126194833,56300
4288,126050951,27110
4291,126050951,28210
4294,126050951,43210
4434,129385854,56300
4437,129385854,92000
4482,126004865,53200
4499,129400959,56290
4502,129400959,56100
5279,136884788,62010
5282,136884788,62020
5285,136884788,62030
5288,136884788,62090
5293,136885996,47210
5296,136885996,47590
5299,136885996,47110
5305,136886203,38110
5308,136886203,46120
5311,136886203,46720
5314,136886203,46770
5320,136886236,46360
5323,136886236,47240
5326,136886236,47290
5329,136886236,56100
5335,136886599,56100
5338,136886677,43210
5341,135636607,53200
5344,135636607,49410
5347,136887181,56100
5350,129405344,47260
5353,129405344,47110
5356,129405344,47620
5359,129405344,47890
5362,129405344,92000
5363,126005657,56100
5366,127056113,82990
5371,136887535,43320
5372,129405311,53200
5375,128865480,43210
5378,128865480,43220
5381,128865480,43290
5384,128865480,43330
5387,128865480,43910
5390,128865480,46140
5393,128865480,47540
5399,128865480,47590
5401,136887952,56100
5404,136887961,46150
5407,136887961,46470
5410,136887961,47590
5416,132773570,47240
5419,132773570,56100
5422,126797360,49410
5425,128809187,45110
5428,128809187,68200
5434,136902274,39000
5437,136902274,43220
5443,136902274,43290
5449,136903237,82110
5452,136903303,47110
5455,136903423,81210
5458,136903585,81210
5464,136903585,41200
5467,136903585,43290
5470,136903585,81220
5473,136903585,81290
5491,133390349,56100
5500,136903828,55100
5503,136903828,55900
5506,136903828,56300
5509,136903828,68200
5512,136903828,68320
5513,131619156,47110
5516,126005705,47110
5519,136904018,10710
5522,136904018,47240
5524,136904359,49310
5527,136904359,49390
5530,136904359,49410
5533,136904368,49410
5536,130489067,43390
5539,130489067,10110
5542,130489067,43990
5545,136904383,56100
5548,136904392,47110
5551,136904392,10710
5554,136904392,47240
5557,136904392,47290
5560,136904395,10390
5563,136904395,10390
5566,136904395,81210
5567,131415513,56100
5570,134875376,49410
5572,136904704,43990
5575,136904704,43120
5578,136904704,43290
5581,136904704,43990
5584,136904728,56100
5587,136904728,10710
5590,136904728,47110
5593,136904728,47240
5596,136904743,53200
5599,136904743,53100
5612,137012639,56100
5615,128874966,56290
5618,128874966,56100
5620,126005573,47110
5623,137012911,41200
5626,137012911,81220
5629,137012911,81210
5632,137013172,41200
5635,132597078,56100
5639,126004429,41100
5642,126004429,41200
5648,137013479,47110
5651,137013479,47220
5654,137013479,47240
5656,126121384,81210
5659,126121384,43390
5669,126122063,56100
5672,126004981,43120
5675,126004981,42220
5678,126004981,43110
5681,126195734,82920
5684,126195734,81300
5687,137014427,82920
5690,137014427,52100
5692,137014546,14130
5698,137014546,14140
5701,137014546,14190
5704,137014546,95290
5707,137014546,56100
5710,126005789,56100
5713,137014678,47290
5716,137014678,10710
5719,137014678,10720
5722,137014678,56100
5723,128680560,56100
5726,137014691,47110
5729,137014691,47220
5732,137014706,47710
5735,137014706,47720
5737,137014759,10710
5740,137014759,53200
5743,137014759,56100
5746,137014759,92000
5749,137014954,56100
5752,137015266,47100
5755,137015266,47250
5758,137015362,47520
5777,137015510,56300
5779,137015701,47110
5785,126421039,46390
5788,137016469,43340
5791,137016469,43290
5794,137016469,43990
5797,137016739,56100
5800,137016739,46180
5803,137016739,64200
5806,137016739,69200
5809,137016796,56100
5812,137016805,10710
5815,137016946,46730
5818,137016946,81210
5821,137016946,81220
5837,137017064,47110
5840,137017064,43990
5843,137017064,46430
5846,137017064,46650
5848,137017123,70220
5851,137017123,64200
5854,137017123,82990
5857,132359423,47110
5860,137017183,47210
5861,126021436,10710
5864,126021436,10720
5867,126021436,47240
5870,137017232,56100
5879,126178304,47240
5882,126178304,10710
5885,137031080,25620
5888,137031149,81210
5891,137031149,25300
5894,137031149,81220
5897,137031149,81290
5900,137031236,10710
5903,137031314,47110
5906,137031314,45200
5909,137031314,45320
5911,126220028,56100
5914,126220028,56300
5917,126005517,49410
5920,137031814,43220
5923,129980619,01610
5926,129980619,81300
5929,129980619,82990
5932,129980619,82920
5935,137032006,47780
5936,137032229,42110
5938,137032660,41200
5941,137032741,41200
5944,137032741,43110
5947,137032741,43910
5950,137032741,43990
5953,137032777,10710
5956,137032777,56100
5960,127057421,43120
5963,127057421,42210
5966,127057421,42210
5969,127057421,42220
5972,137033849,10710
5975,136885144,47110
5978,136885144,47260
5981,136885144,47620
5983,129401757,56100
5989,129401757,56210
5995,137149084,81210
5998,137149084,43990
6001,137149084,81220
6004,137149270,43310
6007,137149270,23700
6010,137149270,42130
6013,137149270,43320
6016,137149270,43390
6019,137149270,43990
6022,137149330,42210
6031,137149330,42220
6034,137149330,43390
6037,137149330,45110
6040,137149330,45200
6064,126005461,56100
6067,126005461,47240
6070,126005461,56210
6091,137149705,46360
6094,137149723,10850
6097,137149723,47240
6100,137149723,56100
6103,137149723,10710
6106,137150044,18120
6107,137151182,43330
6110,137151200,56100
6113,137151209,56100
6116,126004565,47240
6119,126004565,56100
6130,137152066,56100
6136,126717513,56100
6137,137153267,42220
6140,137153267,42210
6143,137153267,43220
6146,137153267,43290
6151,137153284,43910
6154,137153284,41200
6157,137153284,43110
6160,137153284,43220
6163,137153284,43290
6166,132839805,56300
6175,129404412,10710
6178,129404412,47260
6181,129404412,47780
6187,137167984,43990
6190,137167984,73110
6196,126005885,10710
6214,137169841,56300
6217,137169841,92000
6223,137170030,10710
6226,137170030,47240
6230,137170271,81210
6233,137170271,81220
6236,137170271,81290
6239,137170364,56300
6244,137170453,95250
6247,137170453,47770
6250,137170453,47780
6253,137170483,56100
6259,132224999,43120
6262,132224999,42210
6263,132224999,42220
6266,137171369,46190
6269,137171408,10710
6272,137171408,56100
6275,137171453,41200
6278,137171453,10390
6281,137171453,43990
6284,137171453,81210
6287,137171453,81290
6290,137171453,82920
6292,137171656,43390
6295,136885552,56100
6298,137171719,56100
6301,137171740,70220
6304,137171740,82990
6307,137171752,47220
6310,137171752,56100
6313,137171764,81210
6316,137171764,43390
6319,137171764,81220
6322,126693801,43220
6325,126693801,71200
6331,129401760,70220
6332,137172215,10710
6334,137172226,56100
6337,137172226,56290
6340,137172238,43210
6343,137172238,43220
6346,137172244,56100
6349,137172244,56290
6352,137172244,56300
6355,137172256,56100
6359,137244392,46310
6362,137244392,46380
6365,137244392,47210
6368,137244392,47260
6371,137244392,47620
6374,137244392,92000
6377,132600290,56100
6380,132600290,47110
6383,132600290,47240
6386,137244458,47710
6389,137244458,96020
6392,137244503,56210
6395,137244503,56290
6398,137244512,56100
6400,137244527,47540
6418,132861822,45110
6421,132861822,45200
6424,137244751,79110
6427,137244766,32120
6430,137244766,46760
6433,137244766,47770
6436,137244790,10710
6439,137244790,10720
6442,137244790,47110
6445,137244790,56100
6446,137244836,47110
6449,137244860,41200
6452,137244860,43110
6455,137244860,43290
6458,137244860,68100
6461,137244860,68310
6464,137244869,56100
6469,137244880,41200
6472,137244880,70100
6475,137244880,82990
6478,137244889,56100
6500,137245013,81210
6503,137245013,10710
6506,137245013,43340
6509,137245013,96020
6518,128906333,86230
6521,128906333,96020
6523,129399434,43290
6526,129399434,43990
6544,137245093,56100
6547,137245144,56100
6550,137245204,47290
6553,137245204,47110
6556,137245204,47220
6559,126046009,47220
6562,130564850,43290
6565,130564850,41200
6568,137245870,42220
6571,137245870,41200
6574,137245870,42210
6577,137245870,42220
6580,135257434,46730
6583,137245876,56100
6586,137245894,43320
6589,137245894,47520
6595,137245960,56100
6598,137245981,47290
6601,137245981,47110
6604,137245987,45110
6607,137245987,45190
6610,137245987,45400
6613,137245987,77120
6640,126119341,43210
6643,126119341,43390
6650,129404676,43210
6652,132603317,47520
6655,132603317,47760
6658,132603317,81300
6661,126119305,47710
6665,126219098,68200
6668,126219098,68310
6671,136888231,56100
6674,126560911,81210
6677,126560911,81220
6679,126004593,43330
6685,126118210,41200
6688,126118210,42210
6691,126118210,42220
6694,126118210,43990
6700,132773570,10710
6703,126005697,47110
6706,126797360,53200
6707,133904879,47220
6710,133904879,47110
6713,133904879,46320
6716,133904879,46110
6719,133904879,10850
6722,133904879,10130
6725,133904879,10120
6728,133904879,10110
6730,136903237,82920
6733,126005673,47240
6736,126005673,10710
6739,132604892,49410
6742,132604892,52290
6743,136903645,10710
6746,126329344,47590
6748,126329344,47540
6754,133390349,56300
6760,126005557,47290
6763,126005557,56100
6766,126005557,47110
6769,126005653,56100
6772,126028650,43990
6775,126212932,42220
6778,126212932,33110
6781,126212932,43210
6784,126212932,43220
6787,126005841,43120
6790,126005841,43290
6793,126005841,43910
6796,126005841,46130
6803,126005825,43120
6806,126005701,56100
6808,126005677,56100
6811,134411674,56100
6814,126120481,56300
6838,128809694,56100
6841,129228609,96020
6844,129228609,47710
6847,129228609,47750
6850,129228609,47770
6853,129228609,96020
6854,126122002,49410
6857,135967142,82990
6860,135967142,41100
6863,135967142,43390
6866,135967142,47590
6869,137017079,81210
6872,126121159,47910
6874,129399381,47210
6877,129399381,01130
6880,129399381,71110
6883,129399381,85590
6884,129399381,91040
6887,126005229,41100
6890,126005229,23630
6893,126005229,38210
6896,126005229,42210
6899,126005229,43120
6901,126005525,47240
6904,126121378,56100
6907,137076791,47110
6910,137076791,47300
6913,137076791,47260
6916,137076791,47290
6919,137076791,47300
6922,126177646,43210
6925,126177646,43220
6928,134921149,42120
6931,134921149,42220
6934,134921149,42210
6937,130533555,10710
6940,132842417,47240
6943,132842417,10710
6946,132842417,10720
6949,132842417,47290
6952,132842417,56100
6955,126128224,43210
6958,126128224,46690
6959,126004833,49410
6962,126004833,43340
6965,126004833,53200
6968,126004833,82920
6971,127048284,46390
6977,134900006,43120
6980,134900006,42110
6983,134900006,42210
6986,134900006,42220
6988,128903940,45110
6991,128903940,45320
6994,134042028,42220
6997,126049318,56100
7000,133734044,45200
7003,126131035,45110
7006,126131035,45200
7007,128689247,42220
7010,128689247,43210
7013,128689247,43390
7016,130991534,47590
7019,130991534,13300
7022,134192680,79110
7025,134192680,64190
7028,133098356,41200
7031,133098356,43220
7034,133098356,43910
7037,133098356,43990
7040,126291640,53200
7045,126717507,47300
7047,126717507,47110
7049,126717507,47260
7051,137170090,46120
7053,137170090,46190
7055,137170090,62020
7057,134873237,41200
7059,134873237,43320
7061,137352728,45110
7063,137352728,45200
7065,137352728,45320
7067,134897642,42210
7069,134897642,42220
7071,134897642,43120
7073,134897642,43130
7075,130714962,41200
7079,130714962,43220
7081,130714962,43910
7085,126005253,47530
7087,126005253,47520
7089,126005253,47590
7091,126813141,43120
7093,126813141,41200
7095,126813141,53200
7097,126813141,81290
7099,126813141,81300
7101,135636655,41100
7103,135636655,41200
7105,135636655,43110
7107,135636655,43120
7109,135636655,43130
7111,135636655,43220
7113,135636655,43290
7117,135636655,43310
7119,135636655,43320
7121,135636655,43390
7123,135636655,43910
7125,135636655,43990
7127,135636655,81210
7129,135636655,81220
7131,135636655,81290
7133,128696121,56300
7147,126005797,47590
7149,126706697,49410
7151,126706697,46380
7153,126706697,53200
7155,126706697,46390
7157,135074389,53200
7159,135074389,50400
7161,132599147,56100
7163,127815096,10390
7165,131620280,45200
7167,131620280,45190
7169,129022821,43390
7171,129391959,56100
7173,126027116,43390
7175,126027116,46730
7179,133002860,56100
7181,133002860,56300
7183,126129643,56100
7185,132597402,56100
7187,127056462,56100
7189,127056462,96020
7362,138339748,56100
7455,137939953,43910
7871,138961228,43290
7946,139299767,10710
8045,139352654,62010
8155,139486123,56100
8208,139376809,46410
8211,139376809,47510
8214,139376809,47590
8219,139291166,69200
8222,130153988,56100
8225,139493617,41100
8234,139493617,43990
8235,139141643,43210
8238,139141643,43220
8241,128767905,68100
8244,139291168,47100
8247,139291168,47590
8250,139291168,47710
8259,137654833,69200
8262,138425973,18120
8265,138425973,18110
8268,138425973,73110
8270,139499920,68100
8273,139499920,47590
8276,139499920,68200
8279,139345040,53200
8282,139345040,43130
8285,139345040,43990
8288,133644765,47240
8289,139341286,47290
8292,139341286,46190
8295,139341286,46210
8298,139341286,46330
8301,139341286,46390
8303,139330711,47240
8306,139145074,46340
8312,139346813,43210
8315,139346813,33110
8318,139346813,47590
8321,139346813,95210
8324,139001946,46380
8327,139001946,47890
8330,138698385,45200
8333,138698385,42210
8336,138698385,42220
8339,138698385,45110
8340,139325042,56100
8343,137998354,10710
8346,137998354,10720
8349,137998354,47110
8352,137998354,56100
8355,139342924,56100
8364,137939953,42110
8367,137939953,43390
8370,137939953,43310
8373,137939953,43290
8376,139021521,10710
8379,139021521,10720
8382,139021521,47110
8385,139021521,56100
8388,139476188,42110
8391,139476188,43120
8393,139336163,43290
8396,139336163,33110
8399,139336163,43220
8402,139458569,81220
8405,139307489,47910
8408,139307489,46190
8411,139337221,47710
8414,139487411,49410
8417,138781532,27310
8420,138781532,42220
8421,139030315,46730
8424,134875376,49420
8427,139019796,56100
8430,139019796,10710
8433,139019796,47240
8436,139019796,47290
8439,139485770,69200
8441,139478741,56100
8444,126005685,47590
8447,126005685,31010
8448,138959734,41200
8451,138959734,42110
8454,138959734,43210
8457,138959734,81210
8459,138764153,49410
8460,138728904,41100
8463,138728904,01610
8466,138728904,41200
8469,138728904,63990
8472,138728904,81290
8475,138728904,81300
8478,139493885,96020
8481,139493885,82990
8484,139493885,86230
8487,139493885,96090
8490,137583736,62010
8493,138086967,49410
8496,138089550,69200
8499,139336843,45110
8502,139336843,45190
8505,139336843,45200
8508,139319774,47410
8511,139319774,47250
8514,139319774,47260
8517,139319774,47710
8520,139319774,95110
8523,132996582,81220
8526,138975788,45200
8529,138975788,45110
8532,138975788,45320
8535,139144964,81210
8538,139144964,47520
8541,139144964,81220
8544,139144964,81290
8549,139399019,43220
8552,139399019,43990
8555,139399019,53200
8558,126128266,47510
8559,139263070,56300
8562,139263070,93290
8565,139263070,56300
8567,139492858,47710
8570,139492858,47230
8573,139492858,47250
8576,139492858,47260
8579,139492858,56100
8582,139492858,47110
8583,139340216,63990
8586,139340216,70220
8589,139340216,74900
8595,137015422,56100
8598,137015422,10710
8601,137015422,47110
8604,137015422,47240
8607,139453732,45200
8610,139453732,45110
8613,139453732,45320
8616,139453732,45400
8619,139453732,49410
8622,139453732,52210
8625,139493635,56100
8628,126005465,78100
8631,126005465,17210
8633,139349954,56100
8636,139027830,56300
8639,139030470,41100
8642,139030470,82190
8645,139307437,43220
8648,139307437,43330
8651,139307437,47520
8652,139342940,56100
8658,139493621,96020
8660,139306474,43330
8663,126005913,41200
8666,126005913,68100
8669,139182203,47620
8672,139182203,47110
8675,139182203,47250
8678,139182203,47260
8681,139182203,47780
8684,139182203,92000
8687,139280695,41200
8690,139280695,49410
8693,139280695,81210
8696,139280695,81300
8699,139280695,82920
8700,139393639,43290
8703,139393639,41200
8706,139393639,43990
8709,139393639,49410
8712,139393639,53200
8715,139483619,56100
8718,139388189,70220
8720,136349627,56100
8721,139324579,41200
8724,139324579,77320
8727,139324579,43990
8730,139324579,43910
8733,139324579,43390
8736,139324579,43330
8739,139324579,43290
8741,137151628,81210
8744,137151628,81220
8747,137151628,81290
8750,139499888,56300
8753,139299767,47240
8756,139299767,56100
8759,137533123,43990
8762,137533123,41200
8765,137533123,43110
8768,137533123,43290
8771,137149546,43390
8774,137149546,42110
8777,137149546,43120
8780,137149546,43290
8783,137149546,43910
8784,126049393,41200
8787,139396292,41100
8790,139396292,41200
8793,139396292,43990
8796,139396292,81210
8799,139396292,81220
8802,139019028,43990
8805,139019028,42210
8808,139019028,43290
8811,139019028,43390
8813,138722894,41100
8816,138722894,41200
8819,138722894,46130
8820,139279367,41200
8822,139279367,43390
8825,139279367,43290
8828,139279367,43120
8831,139279367,41200
8834,139483444,43320
8837,139483444,31090
8838,139400245,56300
8841,139150039,25620
8844,139342898,13920
8847,139342898,45320
8850,139264690,47710
8853,139304570,56100
8856,126193883,47520
