bet_id,vestigingseenheidsnummer,erkend
126004457,,0
126218907,2035472744,1
126253451,2019800712,1
126291660,,1
126291663,,1
126705754,,0
126713303,,0
128785043,2187394738,1
128785095,2049197056,1
129563105,2186821745,1
130259481,2005252195,1
130404218,,1
131884205,2008954033,1
132753180,,1
133662288,2163806120,1
133681664,2114185175,1
133987019,,1
134322829,2012531452,1
134325682,2309926623,1
134630252,,1
136011367,2012531452,1
136730926,2105027781,1
137477683,740526506,1
137603581,,1
137948721,,1
137948723,,1
137982777,2028624643,1
137992470,,1
138198782,2019800613,1
138757367,2035472744,1
138762711,,1
138775620,2096276403,1
138987276,2023701991,1
139029451,,1
139150901,,1
139256683,2106190197,1
139312616,2134297829,1
139317833,2019800712,1
139319726,,1
139327316,,1
139329737,2019800613,1
139346746,2352015220,1
139377238,2035472744,1
139378591,2096276403,1
139383728,2265942368,1
139388050,2268956494,1
139462274,2097931143,1
139495562,2035472744,1
139504462,2159602456,1
139513643,2005886556,1
139516988,2004854990,1
139519785,2012144541,1
139551638,,1
139552701,,1
139592975,2195369524,1
139616511,,1
139737192,,1
139746597,,1
139748967,,1
139771101,2352015220,1
139816947,,1
139819399,2021961337,1
139819413,2258389632,1
139992982,2033840471,1
140155461,2345286091,1
140368284,,1
140389290,2012144541,1
140434942,2055263516,1
140454006,,1
140463074,2248736449,1
140474081,,1
140484974,2309926623,1
140497325,2031571463,1
140500168,2296032560,1
140563818,2114185175,1
140634470,,1
140651583,2278959372,1
140652389,,1
140657055,,1
140657819,2082240996,1
140661783,2008082518,1
140665382,2068253202,1
140679844,2315516494,1
140682589,2060055118,1
140696966,2005384235,1
140701280,2033840471,1
140713916,2246288683,1
140730955,2309914250,1
140732472,2004926355,1
140741373,0438070014,1
140744262,2053667073,1
140744316,,1
140747718,2026096111,1
140755716,2055263516,1
140768776,,1
140772565,2338708503,1
140791350,2037697212,1
