bet_id,cbfa,takken,commissaris,mva,insuranceCompanyId
125970447,2393,,,0,45
125998927,1455,,,0,
126005001,11672A,,,1,
126005025,87,,,1,
126005153,0000058,,,0,57
126005189,96,,,0,74
126005197,196,,,0,89
126006005,39,,,0,80
126006009,33,,,0,92
126006013,687,,,0,86
126006017,2652,,,0,77
126041830,79,,,0,51
126047594,145,,,0,
126080442,1056,,,1,
126129626,14,,,1,95
126134002,12165A,,,0,
126177622,16507A-cB,,,1,
126194077,25879A,,,1,
126194480,22051A,,,1,
126194495,455731338,,,1,54
126227479,165,,,0,
126244685,1449,,,0,
126270186,463,,,0,39
126330016,26530,,,0,
126700749,2746,,,1,
126701724,0,,,0,
126701733,1042,,,0,
126701736,,,,0,
126701739,0839960909,,,0,
126701745,1401,,,1,
126701748,424632148,,,1,
126701751,0829081071,,,0,
126701754,0890270057,,,0,
126701757,403288089,,,1,
126701760,030232,,,0,
126710006,4317,,,0,
126710010,50571,,,1,
126710025,418,,,1,
126717516,691841018,,,0,
128785077,858,,,0,
128881308,362,,,0,
129395308,435,,,0,36
130487666,333,,,0,
131547674,2796,,,1,
132774285,50005,,,1,
133512321,1665,,,1,
133526976,"0037 ",,,0,
133539414,1,,,0,
134192680,012381,,,1,
134461615,114538,,,0,
136276662,4319,,,0,
136344622,044636,,,0,
136631392,043235,,,0,
137275987,12555,,,0,
137375353,2812,,,0,
137978070,2727,,,0,
137988999,047238,,,0,
137989683,016598,,,1,
138729869,519,,,0,
138810720,111638,,,1,
138976767,2769,,,0,
138980982,0058,,,0,
139001543,3092,,,0,
139257494,58,,,0,
139260680,022879,,,0,
139312757,019688,,,0,
139400621,97,,,0,
139489810,739,,,0,
139528646,487,,,0,
139577825,000000,,,0,
139748460,"019542a ",,,0,
139885203,95,,,0,
140625182,2314,,,0,
140635764,124,,,0,
140659951,02943,,,0,
140683350,37,,,0,
140685087,"014377 A",,,1,
140711731,1400,,,0,
140739338,24,,,0,
140750119," 0699.630.712",,,1,
140765107,065325,,,1,
140775379,0964,,,0,
140835233,05,,,0,
