bet_id,zenden_per,happy_familis,happy_you,trigoon,vip,commerciele_acties,mifid,medisch,strafrechtelijke,life,prominent
125923103,0,0,0,0,0,0,0,0,0,0,0
125923544,0,0,0,0,0,0,0,0,0,0,0
125924143,0,0,0,0,0,0,0,0,0,0,0
125926502,0,0,0,0,0,0,0,0,0,0,0
125926506,0,0,0,0,0,0,0,0,0,0,0
125935707,0,0,0,0,0,0,0,0,0,0,0
125935710,0,0,0,0,0,0,0,0,0,0,0
125954450,0,0,0,0,0,0,0,0,0,0,0
125957500,0,0,0,0,0,0,0,0,0,0,0
125957512,0,0,0,0,0,0,0,0,0,0,0
125957862,0,0,0,0,0,0,0,0,0,0,0
125967484,0,0,0,0,0,0,0,0,0,0,0
125970443,0,0,0,0,0,0,0,0,0,0,0
125970447,0,0,0,0,0,0,0,0,0,0,0
125970451,0,0,0,0,0,0,0,0,0,0,0
125991127,0,0,0,0,0,0,0,0,0,0,0
125992923,0,0,0,0,0,0,0,0,0,0,0
125998927,0,0,0,0,0,0,0,0,0,0,0
126004421,0,0,0,0,0,0,0,0,0,0,0
126004429,0,0,0,0,0,0,0,0,0,0,0
126004433,0,0,0,0,0,0,0,0,0,0,0
126004437,0,0,0,0,0,0,0,0,0,0,0
126004441,0,0,0,0,0,0,0,0,0,0,0
126004445,0,0,0,0,0,0,0,0,0,0,0
126004449,0,0,0,0,0,0,0,0,0,0,0
126004453,0,0,0,0,0,0,0,0,0,0,0
126004457,0,0,0,0,0,0,0,0,0,0,0
126004461,0,0,0,0,0,0,0,0,0,0,0
126004465,0,0,0,0,0,0,0,0,0,0,0
126004469,0,0,0,0,0,0,0,0,0,0,0
126004473,0,0,0,0,0,0,0,0,0,0,0
126004477,0,0,0,0,0,0,0,0,0,0,0
126004485,0,0,0,0,0,0,0,0,0,0,0
126004489,0,0,0,0,0,0,0,0,0,0,0
126004493,0,0,0,0,0,0,0,0,0,0,0
126004497,0,0,0,0,0,0,0,0,0,0,0
126004501,0,0,0,0,0,0,0,0,0,0,0
126004505,0,0,0,0,0,0,0,0,0,0,0
126004513,0,0,0,0,0,0,0,0,0,0,0
126004517,0,0,0,0,0,0,0,0,0,0,0
126004521,0,0,0,0,0,0,0,0,0,0,0
126004533,0,0,0,0,0,0,0,0,0,0,0
126004537,0,0,0,0,0,0,0,0,0,0,0
126004541,0,0,0,0,0,0,0,0,0,0,0
126004545,0,0,0,0,0,0,0,0,0,0,0
126004549,0,0,0,0,0,0,0,0,0,0,0
126004553,0,0,0,0,0,0,0,0,0,0,0
126004557,0,0,0,0,0,0,0,0,0,0,0
126004561,0,0,0,0,0,0,0,0,0,0,0
126004565,0,0,0,0,0,0,0,0,0,0,0
126004569,0,0,0,0,0,0,0,0,0,0,0
126004573,0,0,0,0,0,0,0,0,0,0,0
126004577,0,0,0,0,0,0,0,0,0,0,0
126004585,0,0,0,0,0,0,0,0,0,0,0
126004589,0,0,0,0,0,0,0,0,0,0,0
126004593,0,0,0,0,0,0,0,0,0,0,0
126004597,0,0,0,0,0,0,0,0,0,0,0
126004601,0,0,0,0,0,0,0,0,0,0,0
126004605,0,0,0,0,0,0,0,0,0,0,0
126004609,0,0,0,0,0,0,0,0,0,0,0
126004613,0,0,0,0,0,0,0,0,0,0,0
126004617,0,0,0,0,0,0,0,0,0,0,0
126004621,0,0,0,0,0,0,0,0,0,0,0
126004629,0,0,0,0,0,0,0,0,0,0,0
126004633,0,0,0,0,0,0,0,0,0,0,0
126004637,0,0,0,0,0,0,0,0,0,0,0
126004641,0,0,0,0,0,0,0,0,0,0,0
126004645,0,0,0,0,0,0,0,0,0,0,0
126004653,0,0,0,0,0,0,0,0,0,0,0
126004657,0,0,0,0,0,0,0,0,0,0,0
126004661,0,0,0,0,0,0,0,0,0,0,0
126004665,0,0,0,0,0,0,0,0,0,0,0
126004669,0,0,0,0,0,0,0,0,0,0,0
126004677,0,0,0,0,0,0,0,0,0,0,0
126004689,0,0,0,0,0,0,0,0,0,0,0
126004697,0,0,0,0,0,0,0,0,0,0,0
126004701,0,0,0,0,0,0,0,0,0,0,0
126004705,0,0,0,0,0,0,0,0,0,0,0
126004713,0,0,0,0,0,0,0,0,0,0,0
126004721,0,0,0,0,0,0,0,0,0,0,0
126004725,0,0,0,0,0,0,0,0,0,0,0
126004729,0,0,0,0,0,0,0,0,0,0,0
126004733,0,0,0,0,0,0,0,0,0,0,0
126004741,0,0,0,0,0,0,0,0,0,0,0
126004745,0,0,0,0,0,0,0,0,0,0,0
