rel_id,bet1,bet2,bet_type_id1,bet_type_id2,relatie_type,aangemaakt,verwijderd,noodtoegang
7971093,125957862,126005125,,,3,0000-00-00,,0
7971097,126005125,126005125,,,6,0000-00-00,,0
7971105,126004909,126004913,,,6,0000-00-00,,0
7971109,126004909,126004917,,,3,0000-00-00,,0
7971113,126004913,126004909,,,6,2017-07-10,0000-00-00,0
7971117,126004917,126004909,,,3,0000-00-00,,0
7971892,126008884,126005009,,,6,2023-12-30,0000-00-00,0
7971896,126004589,126004981,,,6,2024-03-19,0000-00-00,0
7971898,126005801,126004689,,,6,2014-07-01,0000-00-00,0
7974192,126004945,126004429,,,16,2015-09-16,,0
7974196,126004945,126004453,,,3,2020-01-16,,0
7974200,126004429,126004453,,,6,2018-06-01,2023-02-23,0
7977743,126005405,126044929,,,3,2020-01-27,,0
7977746,126005405,126044938,,,1,2020-01-27,,0
7977749,126005405,126005413,,,16,2003-09-26,0000-00-00,0
7978594,125967484,126005185,,,1,2020-01-29,,0
7978597,125967484,126042839,,,1,2020-01-29,,0
7978600,125967484,126047550,,,16,0000-00-00,0000-00-00,0
7978603,126005185,126047550,,,6,2016-11-08,0000-00-00,0
7978606,126005185,126042839,,,2,2020-01-29,,0
7978663,126004981,126004961,,,6,2024-03-19,0000-00-00,0
7979351,126050951,126050948,,,6,2019-03-08,,0
7979675,126004721,126004725,,,6,2019-11-14,2022-03-01,0
7979795,126052651,126052719,,,3,0000-00-00,,0
7979799,126052681,126052731,,,1,0000-00-00,,0
7979803,126052681,126052735,,,1,0000-00-00,,0
7979807,126052735,126052731,,,3,2020-02-03,,0
7980001,126004497,126004501,,,1,2020-02-03,,0
7980021,126051139,126051142,,,6,2010-02-26,,0
7980127,126054269,126004757,,,3,2020-02-04,,0
7980273,126054847,126054853,,,6,2020-01-01,0000-00-00,0
7980322,126004933,126055046,,,3,2020-02-04,,0
7980467,126017715,126055715,,,3,0000-00-00,,0
7980527,126005233,126060315,,,3,0000-00-00,,0
7980578,126071546,126065370,,,3,2020-02-04,,0
7980602,125967484,126047553,,,31,2020-02-04,,0
7980695,126072093,126072095,,,3,2018-04-20,2028-04-20,0
7980699,126072103,126072093,,,3,2020-02-05,,0
7980851,126072493,126004777,,,3,2020-02-05,,0
7980871,126050805,126005421,,,6,2017-11-15,2025-02-26,0
7980902,126080358,126080329,,,3,2020-02-05,,0
7980922,126080382,126080374,,,3,2020-02-05,,0
7980950,126063841,126005317,,,3,2020-02-05,,0
7980965,126088195,126004521,,,3,2020-02-05,,0
7980974,126004901,126088362,,,3,2016-11-24,2026-11-24,0
7980978,126088370,126004901,,,3,2020-02-05,,0
7980989,126088445,126088437,,,3,2020-02-05,,0
7981018,126088474,126088470,,,3,2020-02-05,,0
7981158,126089018,126088937,,,3,2020-02-06,,0
7981323,126089815,126004729,,,3,2020-02-06,,0
7981351,126047650,126004553,,,1,2020-02-06,,0
7981391,126090327,126004857,,,3,2020-02-06,,0
7981459,126090463,126005377,,,3,2020-02-06,,0
7981501,125957500,125957512,,,3,2020-02-06,,0
7981503,126090849,126090847,,,3,2020-02-06,,0
7981510,126090866,126090858,,,3,2020-02-06,,0
7981607,126044929,126005405,,,3,2020-02-07,,0
7981609,126044929,126044938,,,1,2020-02-07,,0
7981665,126091655,126005433,,,3,2020-02-07,,0
7981742,126091938,126091934,,,3,2020-02-07,,0
7981750,126091938,126004701,,,1,2020-02-07,,0
7981754,126004701,126091934,,,1,2020-02-07,,0
7981882,126092254,126092250,,,3,2020-02-07,,0
7982087,126092986,126092987,,,3,0000-00-00,,0
7982189,126094577,126094569,,,3,2020-02-10,,0
7982195,126094613,126094603,,,3,2020-02-10,,0
7982295,126095519,126095511,,,3,2020-02-10,,0
7982326,126095966,126095935,,,3,2020-02-10,,0
7982347,126096215,126096213,,,3,2020-02-10,,0
7982354,126097450,126004477,,,3,2020-02-10,,0
7982367,126097450,126097434,,,1,2020-02-10,,0
7982379,126004477,126097434,,,1,2020-02-10,,0
7982433,126107099,126016199,,,3,2020-02-10,,0
7982454,126107113,126107115,,,3,2020-02-10,,0
7982481,126107219,126107215,,,69,2020-02-10,0000-00-00,0
7982490,126107262,126004893,,,69,2020-02-10,0000-00-00,0
7982525,126107381,126107373,,,3,2020-02-10,,0
