bet_type_id,bet_id,type
58071679,125923103,01
58072344,125923544,01
58073407,125924143,01
58077090,125926502,01
80291967,125926502,33
58077094,125926506,01
58256179,125926506,33
58090927,125935707,01
58188865,125935707,10
70698592,125935707,33
58090930,125935710,01
58117162,125954450,01
58122524,125957500,01
58122540,125957512,01
58123134,125957862,01
58188877,125957862,07
58139676,125967484,01
58245607,125967484,10
58416193,125967484,33
58144687,125970443,01
58144691,125970447,02
78416914,125970447,01
78508123,125970447,A5
58144695,125970451,01
58144699,125970451,33
58528475,125970451,10
58168943,125991127,01
58188797,125991127,10
58189397,125991127,33
58171139,125992923,01
58179455,125992923,10
79866683,125992923,33
58179451,125998927,02
58188329,126004421,18
58188337,126004429,33
58189729,126004429,01
58188341,126004433,01
58188345,126004437,01
67992092,126004437,10
58188353,126004441,01
58190365,126004441,10
58188357,126004445,01
58188361,126004449,10
76785837,126004449,01
58188365,126004453,10
76785930,126004453,01
58188369,126004457,12
58188373,126004461,01
58188377,126004461,10
58188381,126004465,01
58188385,126004465,10
80109021,126004465,33
58188389,126004469,10
63696179,126004469,01
78179417,126004469,33
58188393,126004473,12
58188397,126004477,01
58188405,126004485,23
58188409,126004489,10
58188413,126004493,01
58188417,126004497,01
58188421,126004497,10
68232252,126004497,33
58188425,126004501,10
76785945,126004501,01
58188429,126004505,23
59203235,126004505,B4
64099628,126004505,A5
58188437,126004513,23
58745715,126004513,A5
69583973,126004513,B4
58188441,126004517,11
58188445,126004521,01
58188449,126004521,10
58544059,126004521,33
58188461,126004533,01
58256068,126004533,33
58188465,126004537,01
58256095,126004537,33
58188469,126004541,01
58188473,126004541,10
58188477,126004545,01
58300568,126004545,33
62296359,126004545,10
58188481,126004549,01
58188485,126004549,10
58188489,126004553,01
58188493,126004553,10
58365256,126004553,33
58188497,126004557,01
58188501,126004557,10
58188505,126004561,01
77621550,126004561,B4
77688759,126004561,33
77968591,126004561,A5
58188509,126004565,01
58256036,126004565,33
78797829,126004565,B4
58188513,126004569,01
58253127,126004569,33
58253153,126004569,10
58188517,126004573,01
58488713,126004573,10
58188521,126004577,01
58188529,126004585,01
58188533,126004585,10
58206487,126004585,33
58188537,126004589,01
58188729,126004589,10
58188541,126004593,01
63609348,126004593,33
58188545,126004597,10
76786060,126004597,01
58188549,126004601,10
76786222,126004601,01
58188553,126004605,01
58188557,126004609,01
58256113,126004609,33
58188561,126004613,01
58188565,126004617,10
58188569,126004621,01
58256039,126004621,33
58188577,126004629,23
58206226,126004629,B4
58188581,126004633,10
58206222,126004633,A5
58188585,126004637,01
58256056,126004637,33
58188589,126004641,01
58188593,126004645,10
58188601,126004653,01
58256045,126004653,33
58188605,126004657,01
72263114,126004657,33
58188609,126004661,10
71344586,126004661,01
58188613,126004665,23
59185576,126004665,B4
58188617,126004669,33
58188769,126004669,01
58253163,126004669,10
58188621,126004677,01
58188625,126004677,10
77981217,126004677,33
58188633,126004685,01
58188637,126004689,10
76786315,126004689,01
58188645,126004697,01
62063328,126004697,33
58188649,126004701,01
58188653,126004705,01
58188657,126004705,10
80235783,126004705,33
58188665,126004713,01
58188669,126004713,10
78780134,126004713,33
58188677,126004721,01
78832784,126004721,33
58188681,126004725,10
76786318,126004725,01
58188685,126004729,01
68931036,126004729,33
69658304,126004729,10
58188689,126004733,23
58188693,126004733,20
67775375,126004733,A5
67775390,126004733,B4
58188697,126004741,01
58188701,126004741,10
58188705,126004745,01
58253130,126004745,33
73444510,126004745,10
58188709,126004749,10
76766355,126004749,01
58188721,126004757,01
58188725,126004757,10
76782078,126004757,33
58188737,126004769,10
76786332,126004769,01
58188741,126004773,01
58188745,126004773,10
78590234,126004773,33
58188749,126004777,01
58188753,126004777,10
58190121,126004777,14
58188757,126004781,18
78044806,126004781,02
78438497,126004781,B4
80111388,126004781,A5
58188761,126004785,01
62063673,126004785,33
58188765,126004789,10
76786335,126004789,01
58188773,126004797,01
58188777,126004801,01
79872265,126004801,33
58188789,126004813,01
58300560,126004813,33
58188801,126004821,01
58190141,126004821,18
58709714,126004821,33
58188809,126004829,01
58574381,126004829,33
58188813,126004833,01
58256110,126004833,33
58188817,126004837,01
58188821,126004837,10
58188825,126004841,01
62063271,126004841,33
69682889,126004841,10
58188829,126004845,01
58188833,126004845,10
58188841,126004853,10
58189385,126004853,01
65087574,126004853,33
58188845,126004857,01
61833543,126004857,10
77452921,126004857,33
58188673,126004865,33
58188853,126004865,01
58188857,126004869,10
58440733,126004869,01
58188869,126004877,01
58188873,126004881,33
58190153,126004881,10
58188885,126004893,01
58188889,126004897,16
58188893,126004901,01
58188897,126004901,10
58254179,126004901,33
75120326,126004901,23
58188901,126004905,01
58189757,126004905,33
58188905,126004909,01
58188909,126004909,07
58188913,126004913,10
58188917,126004913,01
58188921,126004917,07
58188925,126004917,01
58188929,126004917,10
62063319,126004917,33
58188937,126004925,10
58188941,126004925,01
58188945,126004929,01
58188949,126004929,10
58188953,126004933,10
58424194,126004933,01
58188957,126004937,01
58188965,126004945,01
58347362,126004945,33
80173660,126004945,B4
80205991,126004945,10
58188969,126004949,01
58188973,126004953,01
58188977,126004957,01
58188981,126004961,01
58189013,126004961,10
58188985,126004965,01
58188989,126004965,10
58595978,126004965,33
58189005,126004977,18
58188433,126004981,33
58189009,126004981,01
58190137,126004981,10
58189021,126004993,01
58451711,126004993,33
58189029,126005001,18
58264793,126005001,02
58189041,126005009,01
58189045,126005009,10
58189049,126005013,01
63085925,126005013,33
58189061,126005025,02
58123152,126005125,23
58188881,126005125,40
58188997,126005125,10
58189161,126005125,01
58189165,126005125,07
58482929,126005125,33
72025706,126005125,18
72025709,126005125,22
72025712,126005125,34
72025715,126005125,12
72025718,126005125,08
58189169,126005129,01
58189173,126005129,10
58190986,126005129,33
58189177,126005137,23
58544055,126005137,B4
58189185,126005145,10
58189193,126005153,02
78555368,126005153,A5
78730577,126005153,01
58189225,126005185,01
58189229,126005185,10
58189233,126005189,02
78860171,126005189,01
58189241,126005197,02
77583142,126005197,A5
58189269,126005225,01
58189273,126005225,10
58189277,126005229,23
58189281,126005233,01
58189285,126005233,10
58189289,126005237,01
58189293,126005237,10
77667714,126005237,33
58189301,126005245,23
58189313,126005253,01
58189317,126005257,10
58189325,126005257,01
58189321,126005261,01
58189333,126005269,10
58189337,126005273,01
58253144,126005273,10
78807396,126005273,33
58189341,126005277,01
58189345,126005277,10
63280601,126005277,33
58189349,126005281,10
76786377,126005293,01
58189365,126005297,01
62063844,126005297,33
58189369,126005301,01
58189373,126005301,10
62063744,126005301,33
58189377,126005305,01
58189381,126005305,10
58189393,126005317,01
58189401,126005325,01
58189405,126005325,10
77979228,126005325,33
58189409,126005329,01
58189413,126005329,10
62063243,126005329,33
58189421,126005337,10
78140863,126005337,01
58189425,126005341,01
58256107,126005341,33
58189429,126005345,23
58189433,126005349,01
58189437,126005349,10
58574358,126005349,33
58189441,126005353,23
58189445,126005357,11
58189449,126005361,12
58189453,126005365,23
59203229,126005365,B4
58189457,126005369,01
58189461,126005373,01
58189465,126005373,10
74866234,126005373,33
58189469,126005377,01
58189473,126005377,10
59203222,126005377,33
58189477,126005381,10
58189481,126005385,01
58544084,126005385,33
58189485,126005389,18
58189497,126005401,33
58190325,126005401,10
76786389,126005401,01
58189501,126005405,01
58189505,126005405,10
74489864,126005405,33
58189509,126005409,10
70973290,126005409,01
58189513,126005413,01
62349248,126005413,33
58189517,126005417,01
58189521,126005417,10
58189525,126005421,01
59203226,126005421,33
58189537,126005433,01
58347359,126005433,33
58771069,126005433,10
58189541,126005437,23
58189545,126005441,23
58189549,126005445,10
58189553,126005449,01
69144674,126005449,33
80243607,126005449,10
58189557,126005453,10
76786401,126005453,01
58189569,126005461,01
58256071,126005461,33
58189573,126005465,01
58189577,126005469,01
58189581,126005473,01
58189585,126005473,10
58189589,126005477,01
63085929,126005477,33
58189597,126005485,01
58189601,126005485,10
58189609,126005493,01
58189613,126005493,10
58477659,126005493,33
58189617,126005497,01
58189621,126005501,01
58256048,126005501,33
58189629,126005509,01
58256152,126005509,33
58189633,126005513,01
58256155,126005513,33
58189637,126005517,01
58189641,126005521,01
58189645,126005525,01
58189649,126005529,01
58189653,126005533,01
58256158,126005533,33
58189657,126005537,01
58190269,126005537,10
76719265,126005537,B2
58189661,126005541,01
58256104,126005541,33
58189665,126005545,01
58189669,126005549,01
58255978,126005549,33
58189673,126005553,01
58189677,126005557,01
58189681,126005561,01
80147570,126005561,33
58189685,126005565,01
58190273,126005565,10
58189689,126005569,01
58190277,126005569,10
58256221,126005569,33
58189693,126005573,01
58189697,126005577,01
58256215,126005577,33
80215752,126005577,A5
80215755,126005577,B4
58189701,126005581,01
58189705,126005585,01
58189709,126005585,10
79848533,126005585,33
58189713,126005589,01
58189717,126005589,10
58189721,126005593,01
58190285,126005593,10
58594472,126005593,33
58189725,126005597,01
58190289,126005597,10
58256098,126005597,33
58189733,126005605,01
58189737,126005605,10
58189741,126005609,01
58528460,126005609,33
58189745,126005613,10
76786410,126005613,01
58189749,126005617,01
76323475,126005621,01
58189761,126005629,11
58189765,126005633,12
58189769,126005637,01
58190301,126005637,10
58256053,126005637,33
58189773,126005641,01
58189777,126005645,01
58256009,126005645,33
58189781,126005649,01
58190217,126005649,10
58255954,126005649,33
58189785,126005653,01
58190221,126005653,10
58255966,126005653,33
58189789,126005657,01
58189793,126005661,01
58256131,126005661,33
58189797,126005665,01
58189801,126005669,01
58256018,126005669,33
58189805,126005673,01
58190225,126005673,10
58256176,126005673,33
58189809,126005677,01
58189817,126005685,01
58256146,126005685,33
58189821,126005689,01
58190237,126005689,10
58256191,126005689,33
58189825,126005693,01
58256188,126005693,33
58189829,126005697,01
58256149,126005697,33
58189833,126005701,01
58189837,126005705,01
58189841,126005709,01
58256212,126005709,33
78497192,126005709,A5
78497195,126005709,B4
58189845,126005713,01
58256206,126005713,33
58189849,126005717,01
58189865,126005725,01
58189869,126005725,10
75378478,126005725,33
58189873,126005729,01
62309623,126005729,10
58189881,126005737,01
71013271,126005737,33
58189885,126005741,01
58189889,126005741,33
58190253,126005741,10
58189893,126005745,01
58189901,126005753,01
58189905,126005753,33
58190261,126005753,10
58189917,126005765,01
58189921,126005769,01
58189925,126005769,10
58189929,126005773,01
58256125,126005773,33
58189933,126005777,01
58256182,126005777,33
58189937,126005781,01
58256167,126005781,33
58189941,126005785,01
58189945,126005789,01
80292729,126005789,A5
80292731,126005789,B4
58189949,126005793,01
58190157,126005793,10
58256137,126005793,33
58189953,126005797,01
58190305,126005797,10
58256033,126005797,33
58189957,126005801,01
58256024,126005801,33
58189961,126005805,01
58190161,126005805,10
58189965,126005809,01
58255780,126005809,33
58189969,126005813,01
58256083,126005813,33
58255843,126005817,33
63265232,126005817,A5
63265235,126005817,B4
58189977,126005821,01
58255847,126005821,33
58189981,126005825,01
58190209,126005825,10
58189985,126005829,01
58190169,126005829,10
58189989,126005833,01
58189993,126005837,01
58256042,126005837,33
58189997,126005841,01
58190173,126005841,10
58190001,126005845,01
58190005,126005849,01
58190177,126005849,10
58190009,126005853,01
58190181,126005853,10
58255907,126005853,33
58190013,126005857,01
58190017,126005861,01
58190189,126005861,10
58255963,126005861,33
58190021,126005865,01
58190193,126005865,10
58190025,126005869,01
58256134,126005869,33
58190033,126005877,01
58256161,126005877,33
58190037,126005881,01
58190041,126005881,21
78426536,126005881,10
58190045,126005885,01
58190205,126005885,10
58256062,126005885,33
58190049,126005889,01
58256200,126005889,33
58190053,126005893,01
58190057,126005897,01
58190061,126005897,10
58206491,126005897,33
58190065,126005901,01
58567382,126005901,33
77688762,126005901,B4
58190069,126005905,33
58190073,126005905,10
58453207,126005905,01
58190077,126005909,01
58256051,126005909,33
58190081,126005913,01
58602473,126005913,33
58190609,126006005,02
78596716,126006005,A5
78757452,126006005,01
58190613,126006009,02
58523302,126006009,A5
58190617,126006013,02
79183155,126006013,01
58190621,126006017,02
58190990,126006182,01
62063005,126006182,33
58191395,126006419,01
58206230,126006419,10
71322241,126006419,33
58192308,126006984,01
58206179,126006984,33
58188733,126008884,01
58256021,126008884,33
58206482,126015898,01
58206486,126015898,33
58207023,126016199,01
69443286,126016199,10
58207216,126016324,01
69685874,126016324,10
58207220,126016328,01
58212132,126016328,10
58209515,126017715,01
58209519,126017715,10
77664083,126017715,33
58210036,126018024,01
76318795,126018024,10
78679331,126018024,33
58212128,126019248,01
58507487,126019248,33
58212136,126019252,01
58212140,126019252,10
68620256,126019252,33
58214050,126020382,01
79045119,126020382,10
80226469,126020382,33
58215748,126021436,01
78597059,126021436,33
80084930,126021436,10
58217514,126022502,10
76786413,126022502,01
58222526,126025290,01
58222967,126025579,01
58225504,126027116,01
77401542,126027116,33
58225508,126027120,10
67013549,126027120,01
78009012,126027120,33
58228230,126028650,01
58264190,126028650,33
58243830,126041830,02
78859134,126041830,01
79866788,126041830,A5
79866791,126041830,B4
58245611,126042839,10
75731635,126042839,01
78433283,126042839,33
58248739,126044929,01
58253044,126044929,10
58248751,126044938,01
58253047,126044938,10
58250584,126046009,01
58253088,126047550,01
58253091,126047553,01
58592680,126047553,33
58253100,126047559,01
67709831,126047559,33
58253103,126047562,01
58253124,126047562,33
77703387,126047562,10
58253112,126047571,01
58253115,126047574,10
58253118,126047577,01
58253121,126047577,33
58189853,126047580,01
58253133,126047580,33
58256233,126047580,10
74897249,126047580,A3
58253140,126047587,01
58253143,126047587,10
58253156,126047594,02
75732541,126047594,01
58253157,126047595,01
58253227,126047650,10
76786524,126047650,01
58255615,126049084,01
58459447,126049084,10
79111348,126049084,33
58255627,126049093,01
73670603,126049093,10
76913087,126049093,33
58255984,126049318,01
58255987,126049318,33
58256065,126049345,33
64099266,126049345,01
78126145,126049345,10
58256116,126049366,01
58256119,126049366,33
58256194,126049393,01
58256197,126049393,33
58256350,126049498,01
58256353,126049501,33
77741309,126049501,10
58258506,126050805,10
58291935,126050805,01
58258766,126050948,01
70309953,126050948,10
78830673,126050948,33
58258772,126050951,01
77543457,126050951,33
58259119,126051139,01
58346354,126051139,33
58259122,126051142,10
76786530,126051142,01
58259854,126051589,01
75384197,126051589,23
58261249,126052637,01
58261271,126052651,01
58261309,126052681,01
58261363,126052719,23
58261375,126052731,23
58261379,126052735,23
58261458,126052802,01
58262831,126052802,10
58262905,126053689,10
76786533,126053689,01
58263801,126054269,01
58264155,126054459,01
75120041,126054459,23
58264178,126054474,01
59314963,126054474,12
66513455,126054474,33
58264198,126054494,01
58264202,126054494,33
58264246,126054494,10
58264282,126054542,01
58264302,126054562,01
58264735,126054847,01
58264741,126054853,23
58264966,126054958,01
58264970,126054962,01
58264974,126054966,01
58265082,126055046,01
58265239,126055151,01
58265781,126055473,01
58282518,126055473,10
58266043,126055655,01
66513461,126055655,10
78179858,126055655,33
58266147,126055715,23
58270931,126060315,23
58274605,126063841,01
58276134,126065370,01
58282310,126071546,01
58282358,126071566,01
58283305,126072093,01
66590606,126072093,10
58283307,126072095,23
58283343,126072103,01
58284045,126072493,01
58284158,126072558,01
58284191,126072583,01
58284199,126072591,01
58284221,126072613,01
58291957,126080329,01
58292010,126080358,01
58308058,126080358,33
58292034,126080374,01
58292042,126080382,01
78749456,126080382,10
58292087,126080407,01
58292154,126080442,02
59312598,126080442,01
58299951,126088195,01
58300153,126088317,01
58300226,126088362,23
58300234,126088370,01
58300349,126088437,01
58300365,126088445,01
58300385,126088457,01
58300398,126088470,01
58300402,126088474,01
58300548,126088564,01
58300552,126088564,10
58301141,126088937,01
58301286,126089018,01
58527850,126089018,33
58301914,126089446,01
58301957,126089473,01
58302002,126089502,01
58302026,126089514,01
58302073,126089549,01
58302437,126089765,01
58302457,126089777,01
58302527,126089815,01
58303503,126090279,01
78888399,126090279,10
78926376,126090279,33
58303507,126090283,01
58303785,126090463,23
58303795,126090463,01
58303798,126090466,01
80164595,126090466,33
58304303,126090755,01
58304307,126090759,01
58304543,126090847,01
58304545,126090849,01
58304555,126090851,01
58304574,126090858,01
58304582,126090866,01
79918511,126090866,33
58304665,126090917,01
58305501,126091393,01
58305963,126091655,01
58306219,126091831,01
58306245,126091841,01
58306330,126091898,01
58306354,126091918,01
58306381,126091933,10
66611525,126091933,01
78888248,126091933,23
58306382,126091934,01
58306386,126091938,01
58306661,126092093,01
58306882,126092250,01
58306894,126092254,01
58308062,126092982,01
58308066,126092982,10
59550915,126092982,33
58308070,126092986,01
58308075,126092987,23
58310997,126094569,01
58311009,126094577,01
58311039,126094603,01
58311049,126094613,01
58311249,126094761,01
58311267,126094775,01
58311482,126094946,01
58311541,126094981,01
58311857,126095193,01
58311875,126095199,01
58311903,126095219,01
80213559,126095219,10
58311923,126095227,01
58312037,126095297,01
58312463,126095511,01
58312483,126095519,01
58313199,126095935,01
58313254,126095966,01
58313609,126096213,01
58313615,126096215,01
58313726,126096282,01
58315050,126097434,01
58315082,126097450,01
58320349,126102565,01
58320415,126102599,01
58324951,126107099,01
58324973,126107113,01
58324983,126107115,01
58324994,126107122,01
58325097,126107197,01
58325115,126107215,01
58325127,126107219,01
58325214,126107262,01
58325277,126107305,01
58325363,126107347,01
58325417,126107373,01
58325433,126107381,01
58325538,126107438,01
58325595,126107471,01
