guid_fid,blockretours_id,GUID,aantal,communicatietekst
17356000,51304589,A74EF001035B1A3E837A0004AC1B2918,1,
17356004,51304605,D02FF001035E1A3E837A0004AC1B2918,1,
17363621,51319288,0000000000QZmQ101012020021624,1,
17365676,51327160,PSII-189145226-04,4,
17367276,51333709,41e703de-4e5a-4881-8639-c951cc702765,7,
17397701,51373308,8715626b-fc41-4b92-98ba-239cd5bafb35,8,
17467261,51404865,9c785096-a2e6-41c2-a022-23cc652aab3b,1,
17467641,51406025,516fd7fe-e7e7-4fef-92d6-9ab5ba0aaac1,1,
17472485,51415281,016e0426-2e6e-40ec-a0fb-f9b1ea61f204,1,
17473093,51416980,0647151e-6187-48f3-b98a-7a9be9d1e0f2,1,
17481760,51429021,97B080017DFC1A3E837A0004AC1B2918,1,
17513101,51512196,PSII-189661652-01,2,
17513121,51512245,PSII-189855666-01,2,
17540716,51576144,317924b5-bd67-4f69-996e-e35e90d53a82,9,
17542037,51586108,PSII-190767106-04,4,
17542332,51587036,f77210a4-1b3e-4feb-a57a-2426edf5e1cd,1,
17545209,51609236,75341a0a-afba-4814-a976-f14dda392ed1,7,
17698209,51711373,A167100105291A3F837A0004AC1B2918,1,
17718641,51745048,a7728819-5f0f-46b9-966a-822df93c15b7,1,
17718645,51745064,b72e75ac-a329-44ff-a504-2d01fc8d7251,1,
17718656,51745077,a9d6bacc-8bea-4bd9-b31b-b950f40b37b0,1,
17721648,51751248,PSII-191060594-04,6,
17722737,51754080,F5837001184A1A3F837A0004AC1B2918,1,
17749877,51781513,895f490f-ec3b-4da8-a0c9-dc61424fde32,1,
17804188,51825801,72db1381-0b68-41e3-800e-860adb6d4d8a,7,
17804264,51825953,PSII-191145111-01,8,
17807837,51839621,2295d7c5-9dd0-413c-8cc4-bd3c04550834,7,
17812877,51847440,d458cc61c6504f78962f142c00d8be8c,1,
17833504,51860045,11bc4006-f9c3-48b2-b32d-c809d1d546ca,1,
17834040,51861417,2fce267a-54a7-4a2e-86da-56e004053299,1,
17834044,51861425,98c9d454-36a7-4d11-8197-37a25d7c40d0,1,
17835789,51865464,b4c38405-5e71-4531-9e34-2b279b9c4bfe,1,
17862676,51898481,00000000004eHS117012020050351,4,
17946385,51913053,PSII-191314333-01,2,
17946393,51913076,PSII-191314524-01,5,
17946485,51913209,PSII-191314819-01,2,
17958109,51934785,67382b60-f415-48c2-81a1-b3ad7db80ea0,5,
17975128,51951489,7f05a10a-5509-4160-a66c-5d7d6c8cba89,2,
17975496,51951777,2be14bfb-6283-4adc-82e9-a9d7a93c3ebb,2,
17992768,51985052,e011ae93-dc6f-4279-afa3-845546738e5b,7,
18045832,52042040,PSII-191492831-1,1,"Heeft onze verzekerde een alcoholtest laten doen? Gelieve dit ons ookte laten weten a.u.b. .We hebben Vonck gelast als expert."
18045844,52041988,PSII-191492709-2,2,"Onderwerp: Geschil van ASIYE GOKTEKIN 2Op datum van 21/12/2019 op het contract 010623375065Uw referentie  ASIYE GOKTEKIN 2 BVBA     -Onze referentie: 0619A3396701In bijlage bezorgen wij u document betreffende het schadegeval."
18059456,52053345,a815241d-3621-49b2-b2c2-7ba06e986af9,1,
18059460,52053353,2781b271-189c-41d5-8303-7e7350c12fc3,1,
18064993,52064100,764d5120-5d91-402a-b027-3dc07aa5b852,1,
18071052,52076492,ebd63fb1-8b42-4b7d-9b52-0ecbd9369f5b,2,
18075137,52084048,5c1c1297-ff4b-441d-81e4-3ce3a3c735f5,7,
18081573,52086388,daea5a45092049f0b6085d5e22ad22ad,4,
18106884,52111465,e48a0af1-2c13-4c2c-8098-5cc7a9326c76,1,
18173510,52126947,8fbf2a89-84da-4b3c-b5d7-20703f193f0c,2,
18173727,52127096,ce755932-9651-47dd-ae4c-b37d4cfd9db6,2,
18184613,52149773,d4a33aec-0aac-43db-bc5a-37d253804f6e,7,
18200549,52156524,PSII-191736062-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
18211122,52173593,b1125968-c8d6-4ab0-b134-a5e4739ed483,7,
18247206,52211933,9515deb5-a44f-4ea4-8b0d-fd9b3fbc165d,2,
18262728,52225097,5e1ff083-f11e-4295-8b62-7dd7d2484484,1,
18263394,52226976,7c331af7-1b6b-4250-a7eb-ff005950947d,1,
18266367,52232273,PSII-191961489-1,1,"Onderwerp: Geschil van GOKTEKIN HACIOp datum van 27/04/2019 op het contract 010617863309Uw referentie  010617863309              -Onze referentie: 0G19C0113902In bijlage bezorgen wij u document betreffende het schadegeval."
18267276,52234352,c8ccefe7-58a8-46e8-bdd2-76c7006f4eb3,1,
18275541,52243614,bfbe1b3f-fd7a-4cf2-9266-c8bbb7882fa2,2,
18275544,52243623,f0e6594f-17ec-444c-8e65-99abdc443769,2,
18275547,52243632,b59aae0a-f900-47aa-8ad3-8b866a7a524e,2,
18275550,52243641,93cbf990-d89f-40ce-8b6f-34de377b2534,2,
18275559,52243650,7a4f9da5-e3a8-40ca-ba76-480aa12b1dfe,2,
18275574,52243605,2ace9b5a-1e3f-4704-b001-ca2d5c641096,2,
18278307,52244312,7a04c2f6-7d1d-460d-9c9a-70d121b35b57,2,
18283689,52245566,dfa37065-b408-45b7-8156-4c16a17737f7,2,
18283698,52245557,f4d691ee-ac45-414e-bdae-dcdffc20175b,2,
18283700,52245593,21d9a1e7-d2de-4852-898a-23c984793d8e,2,
18283706,52245575,25c5cf40-086a-47f5-ad20-c62773f45b74,2,
18283709,52245584,21b3c24d-3922-4aa5-a6df-da2d55d9bcb2,2,
18283710,52245602,842411b6-c199-4d30-b231-39ae8dbc0b37,2,
18292335,52259763,a8fefae5-90d5-4cf7-a2a3-3d018d49b165,2,
18292338,52259772,26674c6c-1640-48a1-ab86-84e6ec2fe8f6,2,
18292344,52259781,90c58ff9-8afe-4522-a325-8610edf1525e,2,
18292347,52259790,766e9cd2-39af-4948-869b-95278fbf5da8,2,
18292350,52259799,c900b55f-35d7-478a-9d1d-fd4d2491ec65,2,
18292359,52259808,4a141f6a-227f-40b6-b045-c1eb358a6018,2,
18292362,52259817,22ac4691-568b-4923-b245-7dd5f3bc870b,2,
18292365,52259826,a29cb792-93b8-4cd6-83fb-cb953d3efe0d,2,
18292374,52259834,bca68c21-8f89-42fa-b6f5-228cfbc03c7a,2,
18292377,52259843,3920e8d5-c52e-41d8-8329-6c582c88840e,2,
18292383,52259858,5153041b-34bb-4ca0-b384-6d0339baf94e,2,
18292385,52259909,9b113986-ae49-4951-9462-b8426da6278e,2,
18292391,52259876,1f114034-8e22-4d05-a054-c9eecb3d8022,2,
18292400,52259894,8c85e978-5664-41d7-92d9-8131fb41bfab,2,
18292412,52259927,510de9ba-15fb-4a1e-9ad5-beb39845b007,2,
18292415,52259936,c7a4487f-db26-4b88-a499-4b717c53eff6,2,
18292418,52259945,335c5666-e9d8-497a-8202-698b4e2043eb,2,
18292419,52259999,561a82d0-3b53-47a0-ba7f-df205801f1c4,2,
18292422,52259918,357d19cf-bfd4-4f3a-90f0-08cb941a9f5d,2,
18292425,52259954,b1e89585-3436-4a4c-88e9-2e5ec819c21b,2,
18292428,52259963,d6599ec3-0bef-4718-ad5e-462e625fa32a,2,
18292431,52259972,5ec210a8-7f3e-4086-a970-c54ca94f40b6,2,
18292434,52259981,b56fab4f-e3a9-415a-89e0-320ecdab0446,2,
18292442,52259990,5372145a-835a-4b01-8f29-73b51bbb03ae,2,
18292478,52260084,b5066c33-e6a3-4b10-85d4-929eb6475d05,2,
18292484,52260066,aa153f02-94b6-400b-b636-843d07d31506,2,
18292487,52260075,c48a57a5-7d3e-4304-9be6-09d2bb51a89a,2,
18292488,52260110,4e3d85cc-bfff-4256-a2af-ae9436f4a28f,2,
18292494,52260092,00cb2d44-9276-46f8-bd53-a55c56903c4b,2,
18292497,52260101,f9b729ec-d855-4af6-8e0b-505ccb65d395,2,
18292499,52260141,262e3b94-98c4-44f2-9411-dbc622b76d89,2,
18292505,52260117,bed61c6c-5167-44ec-88e0-8e37d3e38ff6,2,
18292508,52260126,1f349d9e-39f3-4329-935d-978c5c73f6a3,2,
18292520,52260150,9c5aa3ff-9b0f-43f2-9a94-e98a0084f94d,2,
18292523,52260159,12f03862-f30c-4418-bdd6-c70b8b23c167,2,
18292526,52260168,07a06ff0-add4-4f2f-81a0-9eec0db57980,2,
18292527,52260195,d1985295-f5fc-4ca4-9f5f-ea9366c5b5b8,2,
18292536,52260177,5456b04e-6b74-48c9-9112-ee931fac7e70,2,
18292539,52260186,254a3b23-1a03-4a51-88ee-fef487fc7769,2,
18292542,52260227,3c585545-1197-443d-b509-fea2b6e775bb,2,
18292548,52260203,16286b34-4c07-4f0c-988c-17ebb2775f00,2,
