brkl_id,blockretours_id,brpnr,bet_id,contract_id,kwijting_id,manual
33103615,51333709,1,125991127,,90166555,0
33104357,51416980,1,125992923,,90168303,0
33358288,51576144,1,126004905,33684721,90331396,0
33388028,51609236,1,126006984,33688876,90343472,0
33516484,51679444,0,126004745,33686525,90462102,0
33516487,51679444,1,,,90462114,0
33588003,51825801,1,126017715,33707499,90505823,0
33592500,51839621,1,126019248,33710108,90528056,0
33592504,51825953,1,126005909,33710112,90528304,0
33592520,51847440,1,126004657,33710120,90528588,0
33611302,51861417,1,126021436,,90564435,0
33611311,51861425,1,126021436,,90564466,0
33628108,51985052,1,126027116,33724828,90582296,0
33676176,52053345,1,126005301,33685945,90622820,0
33679001,52084048,1,126005421,33685649,90637636,0
33682406,52111465,1,125967484,33755319,90654374,0
33714811,52149773,1,126044929,33763903,90695512,0
33714892,52173593,1,126047587,33764029,90695623,0
33746498,52316714,1,126051139,33770554,90736485,0
33751670,52335276,1,126054474,33776430,90744934,0
33751678,52323284,1,126054494,33776454,90745198,0
33751682,52323258,1,126054494,33776458,90745246,0
33751690,52322634,1,126054494,33776502,90745410,0
33753638,52365680,1,126055473,33787290,90785886,0
33762212,52391100,1,126004853,33685037,90791045,0
33762354,52392620,1,126005609,33685517,90791166,0
33764440,52409608,1,126055473,33787290,90791174,0
33774476,52417400,1,126088564,33797736,90791076,0
33895267,52463710,1,138089550,33803993,90890593,0
33948962,52498236,1,126092982,33805870,90910230,0
33995904,52592010,0,126004745,33686529,91020388,0
34079618,52648644,1,126005901,33686493,91039864,0
34079692,52648672,1,126005901,33824034,91039466,0
34079700,52648652,1,126005901,33824038,91039314,0
34079704,52648660,1,126005901,33824062,91039442,0
34168709,52732100,1,126005901,33824038,91039314,0
34168712,52732118,1,126005901,33824062,91039442,0
34184445,52807932,1,126004981,33685069,91177272,0
34222544,52914194,1,126005589,33685493,91219340,0
34223379,52924308,1,126005301,33685945,91220537,0
34223382,52924314,1,126005301,33685937,91220547,0
34225587,52939464,1,126005301,33685937,91220547,0
34254862,53065052,1,126182629,33901792,91260352,0
34254965,53066126,1,126004773,33684845,91260685,0
34301327,53134740,1,126005901,33909884,91396658,0
34314365,53147024,1,126004869,33904639,91430305,0
34314635,53150996,1,126004741,33686457,91346346,0
34314725,53152379,1,126005125,33685833,91347179,0
34315106,53097396,1,126195734,33909671,91333586,0
34322069,53200922,1,126092982,33848975,91396360,0
34336652,53256615,1,126198136,,91410412,0
34337516,53265386,1,126198136,33919972,91410803,0
34542252,53422799,1,126054474,33776430,91541898,0
34544039,53424629,1,126005901,33824066,91542401,0
34544042,53424602,1,126005901,33686493,91542392,0
34544067,53424611,1,126005901,33824038,91542395,0
34544070,53424638,1,126005901,33909884,91542404,0
34544073,53424617,1,126005901,33824062,91542398,0
34547224,53439483,1,126220603,33936070,91535290,0
