brrl_id,blockretours_id,brkpnr,contract_id,diverse,rekeninguittreksel_id,manual
30858889,51678417,2,33692661,0,78794871,0
31680090,53411400,2,33686529,0,79274561,0
31680093,53411400,3,33686529,0,79274564,0
32002659,54121193,2,33952931,0,79481631,0
32002662,54121193,3,33952931,0,79481634,0
32002665,54121193,4,33692661,0,79481637,0
32002668,54121193,5,33692661,0,79481640,0
32304254,54534158,2,33692661,0,80337168,0
32830792,56028979,2,33686469,0,80772595,0
32830795,56028979,3,33687146,0,80772598,0
33172336,56653112,2,33942971,0,80917513,0
33172339,56653112,3,33704079,0,80917516,0
33172342,56653112,4,33692661,0,80917519,0
33426644,57452458,2,33704079,0,81815304,0
33426647,57452458,3,33704079,0,81815306,0
33426650,57452458,4,33692661,0,81815308,0
33770342,58092554,2,33686465,0,81946939,0
33770345,58092554,3,33704079,0,81946942,0
33770348,58092554,4,33704079,0,81946945,0
34226870,58796803,2,33942971,0,82170291,0
34226873,58796803,3,33686461,0,82170294,0
34226876,58796803,4,33704079,0,82170297,0
34226879,58796803,5,33704079,0,82170300,0
34226882,58796803,6,33692661,0,82170303,0
34542965,59648348,2,33686541,0,82341827,0
34542968,59648348,3,33686537,0,82341830,0
34542971,59648348,4,33764001,0,82341833,0
34542974,59648348,5,33686533,0,82341836,0
34542977,59648348,6,33704079,0,82341839,0
34542980,59648348,7,33704079,0,82341842,0
34542983,59648348,8,33692661,0,82341845,0
34848205,60244910,2,33764013,0,82633145,0
34848208,60244910,3,33704079,0,82633148,0
34848211,60244910,4,33687146,0,82633151,0
34848214,60244910,5,33692661,0,82633154,0
35200422,61011711,2,33799739,0,82952048,0
35200425,61011711,3,34587837,0,82952051,0
35200428,61011711,4,36150770,0,82952054,0
35200431,61011711,5,33942971,0,82952057,0
35200434,61011711,6,33686525,0,82952060,0
35200437,61011711,7,33704087,0,82952063,0
35200440,61011711,8,33704079,0,82952066,0
35200443,61011711,9,33692661,0,82952069,0
35464669,61736442,2,33799739,0,83117084,0
35464672,61736442,3,33686529,0,83117087,0
35464675,61736442,4,33704079,0,83117090,0
35464678,61736442,5,33704079,0,83117093,0
35464681,61736442,6,33692661,0,83117096,0
35772593,62395927,2,33799739,0,83980116,0
35772596,62395927,3,33942971,0,83980119,0
35772599,62395927,4,34773525,0,83980122,0
35772602,62395927,5,33704079,0,83980125,0
35772605,62395927,6,33704079,0,83980128,0
35772608,62395927,7,33692661,0,83980131,0
36075910,63181541,2,33799739,0,85052410,0
36075913,63181541,3,34587834,0,85052413,0
36075916,63181541,4,33952931,0,85052416,0
36075919,63181541,5,33704079,0,85052419,0
36075922,63181541,6,33952931,0,85052422,0
36075925,63181541,7,33692661,0,85052425,0
36380399,63893697,2,33799739,0,85274675,0
36380402,63893697,3,35844804,0,85274677,0
36380405,63893697,4,33889096,0,85274679,0
36380408,63893697,5,33704079,0,85274681,0
36380411,63893697,6,33704079,0,85274683,0
36380414,63893697,7,33692661,0,85274685,0
36673079,64553250,2,33799739,0,85580744,0
36673082,64553250,3,33889096,0,85580747,0
36673085,64553250,4,33704079,0,85580750,0
36673088,64553250,5,33704079,0,85580753,0
36673091,64553250,6,33692661,0,85580756,0
37094777,65123835,2,33799739,0,85580759,0
37094780,65123835,3,35953212,0,85580762,0
37094783,65123835,4,33942971,0,85580765,0
37094786,65123835,5,33686469,0,85580768,0
37094789,65123835,6,33889096,0,85580771,0
37094792,65123835,7,33704079,0,85580774,0
37094795,65123835,8,33692661,0,85580777,0
37489112,65684949,2,35953212,0,85758104,0
37489115,65684949,3,35844789,0,85758107,0
37489118,65684949,4,35844813,0,85758110,0
37489121,65684949,5,35844774,0,85758113,0
37489124,65684949,6,33704087,0,85758116,0
37489127,65684949,7,33889096,0,85758119,0
37489130,65684949,8,33704079,0,85758122,0
37489133,65684949,9,33799739,0,85758125,0
37489136,65684949,10,33799739,0,85758128,0
37489139,65684949,11,33799739,0,85758131,0
37489142,65684949,12,33692661,0,85758134,0
37817475,66194850,2,35953212,0,85916189,0
37817478,66194850,3,33889096,0,85916192,0
37817481,66194850,4,33704079,0,85916195,0
37817484,66194850,5,33799739,0,85916198,0
37817487,66194850,6,33692661,0,85916201,0
38167547,66840849,2,35953212,0,86172491,0
38167550,66840849,3,33942971,0,86172493,0
38167553,66840849,4,33764001,0,86172495,0
38167556,66840849,5,33889096,0,86172497,0
38167559,66840849,6,33704079,0,86172499,0
38167562,66840849,7,33687146,0,86172501,0
38167565,66840849,8,33799739,0,86172503,0
38167568,66840849,9,33686465,0,86172505,0
38167571,66840849,10,33692661,0,86172507,0
38398629,67375363,2,35953212,0,86229537,0
38398631,67375363,3,33686537,0,86229539,0
38398633,67375363,4,35953257,0,86229541,0
38398635,67375363,5,33889096,0,86229543,0
38398637,67375363,6,33704079,0,86229545,0
38398639,67375363,7,33799739,0,86229547,0
38398641,67375363,8,33686533,0,86229549,0
38398643,67375363,9,33692661,0,86229551,0
38696021,67841882,2,35953212,0,86382199,0
38696024,67841882,3,35953257,0,86382202,0
38696027,67841882,4,33889096,0,86382205,0
38696030,67841882,5,33704079,0,86382208,0
38696033,67841882,6,33799739,0,86382211,0
38696036,67841882,7,33686541,0,86382214,0
38696039,67841882,8,33692661,0,86382217,0
39006257,68548748,2,34587837,0,86700231,0
39006260,68548748,3,35953212,0,86700234,0
39006263,68548748,4,36150770,0,86700237,0
39006266,68548748,5,33942971,0,86700240,0
39006269,68548748,6,33686525,0,86700243,0
39006272,68548748,7,35953257,0,86700246,0
39006275,68548748,8,33889096,0,86700249,0
39006278,68548748,9,33704079,0,86700252,0
39006281,68548748,10,33687146,0,86700255,0
39006284,68548748,11,33686461,0,86700258,0
39006287,68548748,12,33692661,0,86700261,0
39233513,69187840,2,35953212,0,86907918,0
39233516,69187840,3,33704087,0,86907921,0
39233519,69187840,4,35953257,0,86907924,0
39233522,69187840,5,33889096,0,86907927,0
39233525,69187840,6,33704079,0,86907930,0
39233528,69187840,7,36826735,0,86907933,0
39233531,69187840,8,33692661,0,86907936,0
39514231,69605279,2,35953212,0,87114215,0
39514234,69605279,3,36819533,0,87114218,0
39514237,69605279,4,35953257,0,87114221,0
39514240,69605279,5,33889096,0,87114224,0
39514243,69605279,6,33704079,0,87114227,0
39514246,69605279,7,33692661,0,87114230,0
39805142,69899971,2,35953212,0,87254124,0
39805145,69899971,3,33942971,0,87254127,0
39805148,69899971,4,34773525,0,87254130,0
39805151,69899971,5,35953257,0,87254133,0
39805154,69899971,6,33889096,0,87254136,0
39805157,69899971,7,33704079,0,87254139,0
39805160,69899971,8,33764004,0,87254142,0
39805163,69899971,9,33692661,0,87254145,0
40085924,70277354,2,35953212,0,87405882,0
40085927,70277354,3,36819530,0,87405885,0
40085930,70277354,4,35953257,0,87405888,0
40085933,70277354,5,33889096,0,87405891,0
40085936,70277354,6,33704079,0,87405894,0
40085939,70277354,7,33692661,0,87405897,0
40358075,70552913,2,35953212,0,88462795,0
40358078,70552913,3,33764004,0,88462798,0
40358081,70552913,4,35953257,0,88462801,0
40358084,70552913,5,33889096,0,88462804,0
40358087,70552913,6,33704079,0,88462807,0
40358090,70552913,7,33692661,0,88462810,0
40650245,70862288,2,35953212,0,88572621,0
40650248,70862288,3,35844804,0,88572624,0
40650251,70862288,4,33704087,0,88572627,0
40650254,70862288,5,35953257,0,88572630,0
40650257,70862288,6,33889096,0,88572633,0
40650260,70862288,7,33704079,0,88572636,0
40650263,70862288,8,33692661,0,88572639,0
40903229,71124826,2,37158933,0,88701937,0
40903232,71124826,3,35953212,0,88701940,0
40903235,71124826,4,33942971,0,88701943,0
40903238,71124826,5,35844789,0,88701946,0
40903241,71124826,6,35844813,0,88701949,0
40903244,71124826,7,35844774,0,88701952,0
40903247,71124826,8,33764004,0,88701955,0
40903250,71124826,9,35953257,0,88701958,0
40903253,71124826,10,33889096,0,88701961,0
40903256,71124826,11,33704079,0,88701964,0
40903259,71124826,12,33687146,0,88701967,0
40903262,71124826,13,36826735,0,88701970,0
40903265,71124826,14,33704079,0,88701973,0
40903268,71124826,15,33692661,0,88701976,0
41170102,71425753,2,35953212,0,88821682,0
41170105,71425753,3,35953257,0,88821685,0
41170108,71425753,4,33889096,0,88821688,0
41170111,71425753,5,33704079,0,88821691,0
41170114,71425753,6,33704079,0,88821694,0
41170117,71425753,7,33692661,0,88821697,0
41412351,71863033,2,35953212,0,89069023,0
41412354,71863033,3,33686537,0,89069026,0
41412357,71863033,4,35953257,0,89069029,0
41412360,71863033,5,33889096,0,89069032,0
41412363,71863033,6,33704079,0,89069035,0
41412366,71863033,7,33692661,0,89069038,0
41633167,72079576,2,35953212,0,89161955,0
41633170,72079576,3,33942971,0,89161958,0
41633173,72079576,4,33764001,0,89161961,0
41633176,72079576,5,35953257,0,89161964,0
41633179,72079576,6,33889096,0,89161967,0
41633182,72079576,7,33704079,0,89161970,0
41633185,72079576,8,33692661,0,89161973,0
41636353,72153357,2,38561169,0,89172944,0
41636356,72153357,3,38561169,0,89172947,0
41912337,72440035,2,38561169,0,89306231,0
41912340,72440035,3,38889539,0,89306234,0
