contract_id,bruto_premie,netto_premie,lasten,kosten,splitsingskosten,kwijtingkosten,commissie,totaal_te_betalen
33647507,497.60,326.40,95.48,0.00,0.00,0.00,75.72,497.60
33647511,313.07,195.29,39.42,0.00,0.00,0.00,78.36,313.07
33665534,88.80,74.78,14.02,0.00,0.00,0.00,14.96,88.80
33665539,161.90,148.19,13.71,0.00,0.00,0.00,29.64,161.90
33675787,1266.46,1012.77,253.69,0.00,0.00,0.00,191.90,1266.46
33675795,435.41,376.17,59.24,0.00,0.00,0.00,100.22,435.41
33675822,421.81,348.44,73.37,0.00,0.00,0.00,54.85,421.81
33684705,113.91,98.41,15.50,0.00,0.00,0.00,25.21,113.91
33684709,99.00,90.62,8.38,0.00,0.00,0.00,19.70,99.00
33684713,0.00,2380.88,628.36,0.00,0.00,0.00,226.94,3009.24
33684721,1294.00,1064.72,229.28,0.00,0.00,0.00,183.24,1294.00
33684725,1050.54,845.69,179.48,25.37,25.37,0.00,144.02,1050.54
33684733,0.00,1372.92,216.24,0.00,0.00,0.00,29.54,1589.16
33684737,0.00,1087.44,100.56,0.00,0.00,0.00,19.70,1188.00
33684741,0.00,11099.76,2938.92,0.00,0.00,0.00,98.06,14038.68
33684745,0.00,2685.40,578.72,0.00,0.00,0.00,98.56,3264.12
33684749,614.06,506.10,107.96,0.00,0.00,0.00,76.69,614.06
33684753,756.94,623.02,133.92,0.00,0.00,0.00,81.14,756.94
33684757,673.27,581.66,91.61,0.00,0.00,0.00,116.33,673.27
33684761,557.03,430.08,114.04,12.91,12.91,0.00,74.81,557.03
33684769,466.78,403.27,63.51,0.00,0.00,0.00,0.00,466.78
33684773,84.58,77.42,7.16,0.00,0.00,0.00,0.00,84.58
33684781,0.00,362.02,75.97,0.00,0.00,0.00,53.77,437.99
33684785,0.00,121.27,18.73,0.00,0.00,0.00,29.10,140.00
33684789,1070.12,861.28,183.01,25.83,25.83,0.00,146.37,1070.12
33684793,0.00,169.72,42.09,0.00,0.00,0.00,29.99,211.81
33684797,992.32,799.36,168.98,23.98,23.98,0.00,136.81,992.32
33684805,535.44,462.58,72.86,0.00,0.00,0.00,123.54,535.44
33684809,99.99,91.53,8.46,0.00,0.00,0.00,19.88,99.99
33684817,363.59,314.12,49.47,0.00,0.00,0.00,80.45,363.59
33684821,140.17,128.31,11.86,0.00,0.00,0.00,25.66,140.17
33684825,476.56,380.44,96.12,0.00,0.00,0.00,70.07,476.56
33684829,0.00,391.91,129.99,0.00,23.51,0.00,68.29,521.90
33684833,647.40,539.32,108.08,0.00,0.00,0.00,80.00,647.40
33684837,1863.05,1537.15,325.90,0.00,0.00,0.00,274.24,1863.05
33684841,0.00,521.72,126.77,0.00,0.00,0.00,90.36,648.49
33684845,674.67,535.69,138.98,0.00,0.00,0.00,92.86,674.67
33684849,0.00,415.31,106.79,0.00,0.00,0.00,72.27,522.10
33684857,0.00,562.10,88.54,0.00,0.00,0.00,150.41,650.64
33684861,0.00,90.62,8.38,0.00,0.00,0.00,19.70,99.00
33684865,0.00,675.68,177.35,0.00,0.00,0.00,116.53,853.03
33684869,1596.28,1269.40,326.88,0.00,0.00,0.00,95.20,1596.28
33684873,0.00,458.98,72.29,0.00,0.00,0.00,122.57,531.27
33684877,984.40,756.62,205.08,22.70,22.70,0.00,130.35,984.40
33684885,523.75,452.49,71.26,0.00,0.00,0.00,122.17,523.75
33684889,654.97,539.51,115.46,0.00,0.00,0.00,80.92,654.97
33684897,153.94,132.99,20.95,0.00,0.00,0.00,34.55,153.94
33684901,99.99,91.53,8.46,0.00,0.00,0.00,19.88,99.99
33684905,126.24,115.55,10.69,0.00,6.31,0.00,28.90,126.24
33684909,197.56,180.84,16.72,0.00,9.88,0.00,0.00,197.56
33684913,1448.20,1146.23,301.97,0.00,0.00,0.00,212.13,1448.20
33684917,0.00,244.44,22.62,0.00,0.00,0.00,48.89,267.06
33684921,0.00,773.69,120.72,0.00,0.00,0.00,192.55,894.41
33684925,0.00,118.00,11.68,0.00,0.00,0.00,17.70,129.68
33684929,0.00,1543.42,221.63,0.00,0.00,0.00,161.13,1765.05
33684933,0.00,467.97,46.33,0.00,0.00,0.00,70.19,514.30
33684937,0.00,515.34,81.16,0.00,0.00,0.00,139.14,596.50
33684941,80.84,74.00,6.84,0.00,0.00,0.00,16.65,80.84
33684945,434.02,376.09,57.93,0.00,0.00,0.00,94.98,434.02
33684953,0.00,143.80,13.30,0.00,0.00,0.00,28.76,157.10
33684957,0.00,765.00,75.73,0.00,0.00,0.00,114.75,840.73
33684965,543.56,469.60,73.96,0.00,0.00,0.00,125.44,543.56
33684969,86.39,79.08,7.31,0.00,0.00,0.00,17.08,86.39
33684973,0.00,129.66,19.18,0.00,0.00,0.00,33.47,148.84
33684977,1529.01,1219.65,309.36,0.00,0.00,0.00,225.33,1529.01
33684981,0.00,87.65,8.11,0.00,0.00,0.00,19.72,95.76
33684985,0.00,74.78,14.02,0.00,0.00,0.00,14.96,88.80
33684989,0.00,143.88,13.31,0.00,0.00,0.00,28.78,157.19
33684993,0.00,935.40,0.00,0.00,18.72,0.00,128.12,1161.34
33684997,415.62,291.83,123.79,0.00,0.00,0.00,58.37,415.62
33685005,0.00,802.26,205.74,0.00,0.00,0.00,69.89,1008.00
33685009,1242.59,963.18,260.15,19.26,19.26,0.00,116.98,1242.59
33685017,0.00,4249.20,1081.44,0.00,0.00,0.00,61.90,5330.64
33685025,0.00,708.26,108.98,0.00,0.00,0.00,106.24,817.24
