contract_id,splitsingscode_premie,totale_premie,netto_premie,lasten,kosten,splitsingskosten,commissie,totaal_te_betalen,afkoopwaarde_einde_vorigjaar,huidige_stand
33647507,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33647511,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33665534,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33665539,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33675787,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33675795,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33675822,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684705,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684709,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684713,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684721,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684725,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684749,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684753,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684757,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684761,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684769,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684773,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684781,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684785,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684789,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684793,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684797,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684805,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684809,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684817,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684821,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684825,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684829,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684833,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684837,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684841,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684845,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684849,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684869,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684873,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684877,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684885,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684889,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684897,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684901,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684905,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684909,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684913,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684921,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684925,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684929,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684933,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684937,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684941,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684945,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684953,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33684957,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
