contract_id,leningstype,ontleend_bedrag,terugbetalingstype,duur_overeenkomst,formule,intrestvoet,intrestvoet_periodiciteit,mensualiteit,doel,type_akte,herzieningstype,datum_herziening,initiele_duur_vastheid,overbruggingskrediet,lopende_opname,geleende_quotiteit,referte_index,referte_index_periodiciteit,referte_index_type,periode_vooropname,periode_vooropname_periodiciteit,cap_plus,cap_min,waarborgen
33777137,0,0.00,0,0,,0.00,0,0.00,1,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33787311,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33850184,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33893854,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33894700,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33894748,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33894826,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33894856,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33894937,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33894988,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33895162,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33895178,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33895415,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33895604,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33895838,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33895876,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33895898,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33895936,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33895957,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33896018,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33896096,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33896140,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33896144,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33896156,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33896206,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33896263,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33896338,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33896359,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33896653,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33896720,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33896729,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33897007,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33897011,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33898162,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33899452,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33901784,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33901804,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33901873,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33901900,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33901909,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33901927,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33902098,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33902104,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33903712,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33903749,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33903811,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33903823,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33903835,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33903841,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33903869,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33903878,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33904040,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33904187,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33904280,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33904480,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33904514,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33904526,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33904708,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33906170,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33906487,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33906673,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33906679,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33906826,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33907171,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33907241,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33907334,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33907405,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33907439,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33907444,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33907612,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33907621,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33907696,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33907738,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33907873,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33907981,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33908003,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33915556,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33935618,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33955814,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33960710,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
33969089,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34029913,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34034200,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34044304,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34082171,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34082372,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34082455,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34082458,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34083062,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34083073,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34083076,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34083662,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34083757,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34083769,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34083772,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34083775,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34083778,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34083781,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34083784,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34083787,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34084442,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34084499,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34084535,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34084537,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34084577,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34084676,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
34084678,0,0.00,0,0,,0.00,0,0.00,0,0,0,"0000-00-00 00:00:00",0,,0,0.00,0.0000,0,0,0,0,0.00,0.00,
