contract_id,maatschappij_id,maatschappij,afloopdatum,overgenomen,polisnummer,commentaar,ondernomen,bevestigd,mandaat
33647507,,,0000-00-00,0,,,,0,0
33647511,,,0000-00-00,0,,,,0,0
33665534,,,0000-00-00,0,,,,0,0
33665539,,,0000-00-00,0,,,,0,0
33675787,,58179451,0000-00-00,1,35003703,,,0,0
33675795,,,0000-00-00,0,,,,0,0
33675822,,,0000-00-00,0,,,,0,0
33684705,,,0000-00-00,0,,,,0,0
33684709,,,0000-00-00,0,,,,0,0
33684713,,58189193,0000-00-00,1,"OP TE VRAGEN",,,0,0
33684721,,,0000-00-00,0,,,,0,0
33684725,,,0000-00-00,0,,,,0,0
33684749,,,0000-00-00,0,,,,0,0
33684753,,,0000-00-00,0,,,,0,0
33684757,,,0000-00-00,0,,,,0,0
33684761,,58189233,0000-00-00,1,5J05598,,,0,0
33684769,,,0000-00-00,0,,,,0,0
33684773,,,0000-00-00,0,,,,0,0
33684781,,,0000-00-00,0,,,,0,0
33684785,,,0000-00-00,0,,,,0,0
33684789,,,0000-00-00,0,,,,0,0
33684793,,,0000-00-00,0,,,,0,0
33684797,,,0000-00-00,0,,,,0,0
33684805,,,0000-00-00,0,,,,0,0
33684809,,58190609,0000-00-00,1,"010 518 319 220",,,0,0
33684817,,,0000-00-00,0,,,,0,0
33684821,,,0000-00-00,0,,,,0,0
33684825,,,0000-00-00,1,600400949,,,0,0
33684829,,,0000-00-00,1,NCN100974190,,,0,0
33684833,,,0000-00-00,0,,,,0,0
33684837,,,0000-00-00,0,,,,0,0
33684841,,,0000-00-00,0,,,,0,0
33684845,,,0000-00-00,0,,,,0,0
33684849,,,0000-00-00,0,,,,0,0
33684869,,,0000-00-00,0,,,,0,0
33684873,,,0000-00-00,0,,,,0,0
33684877,,,0000-00-00,0,,,,0,0
33684885,,,0000-00-00,0,,,,0,0
33684889,,,0000-00-00,0,,,,0,0
33684897,,,0000-00-00,0,,,,0,0
33684901,,,0000-00-00,0,,,,0,0
33684905,,,0000-00-00,0,,,,0,0
33684909,,,0000-00-00,0,,,,0,0
33684913,,,0000-00-00,0,,,,0,0
33684921,,,0000-00-00,0,,,,0,0
33684925,,,0000-00-00,0,,,,0,0
33684929,,,0000-00-00,0,,,,0,0
33684933,,,0000-00-00,0,,,,0,0
33684937,,,0000-00-00,0,,,,0,0
33684941,,,0000-00-00,0,,,,0,0
33684945,,,0000-00-00,0,,,,0,0
33684953,,,0000-00-00,0,,,,0,0
33684957,,,0000-00-00,0,,,,0,0
33684965,,,0000-00-00,0,,,,0,0
33684969,,,0000-00-00,0,,,,0,0
33684977,,,0000-00-00,0,,,,0,0
33684993,,,0000-00-00,0,,,,0,0
33684997,,,0000-00-00,0,,,,0,0
33685005,,,0000-00-00,0,,,,0,0
33685009,,,0000-00-00,0,,,,0,0
33685017,,,0000-00-00,0,,,,0,0
33685025,,,0000-00-00,0,,,,0,0
33685029,,,0000-00-00,0,,,,0,0
33685033,,,0000-00-00,0,,,,0,0
33685037,,,0000-00-00,0,,,,0,0
33685045,,,0000-00-00,0,,,,0,0
33685053,,,0000-00-00,0,,,,0,0
33685057,,58190613,0000-00-00,1,AL00323580,"Migratie Baloise",,0,0
33685061,,,0000-00-00,0,,,,0,0
33685065,,,0000-00-00,0,,,,0,0
33685069,,,0000-00-00,1,?,,,0,0
