contract_id,initiele_aanvang,aanvang,duur,duur_op,duur_voortzetting_contract,duur_voortzetting_contract_op,afloop,eindtermijn,vervaldag,vervaldatum,opgezegd_door,opgezegd_reden,opgezegd_datum,schorsing_door,schorsing_reden,schorsing_datum,vernietigd_door,vernietigd_reden,vernietigd_datum,eerst_volgende_termijn
33647507,2019-07-17,2019-12-03,0,0,0,0,0000-00-00,0000-00-00,,2019-07-17,,,,,,2020-07-18,,,2020-07-18,0000-00-00
33647511,2019-07-17,2019-12-03,0,0,0,0,0000-00-00,0000-00-00,,2019-07-17,-1,,2020-09-24,-1,,0000-00-00,-1,,2020-09-24,0000-00-00
33665534,2019-12-20,2019-12-20,0,0,0,0,0000-00-00,0000-00-00,,2019-01-08,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33665539,2019-12-20,2019-12-20,0,0,0,0,0000-00-00,0000-00-00,,2019-01-08,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33675787,2020-01-06,2020-01-06,1,104,1,104,0000-00-00,0000-00-00,,2020-01-06,4,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33675791,0000-00-00,0000-00-00,0,0,0,0,0000-00-00,0000-00-00,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33675795,2006-11-15,2023-12-01,1,104,1,104,0000-00-00,0000-00-00,,2023-12-01,,,0000-00-00,,,0000-00-00,,,0000-00-00,0000-00-00
33675822,2020-01-03,2020-01-03,0,0,0,0,0000-00-00,0000-00-00,,2020-01-03,-1,,0000-00-00,-1,"Tijdelijke verdwijning van het risico",2020-10-14,-1,,0000-00-00,0000-00-00
33684701,0000-00-00,0000-00-00,0,0,0,0,0000-00-00,0000-00-00,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684705,2019-11-06,2019-11-06,1,104,1,104,2020-09-30,0000-00-00,01/10,2019-10-01,4,,2023-09-30,0,,0000-00-00,0,,0000-00-00,0000-00-00
33684709,2019-11-06,2019-11-06,1,104,1,104,2020-09-30,0000-00-00,01/10,2019-10-01,4,,2023-09-30,0,,0000-00-00,0,,0000-00-00,0000-00-00
33684713,2018-09-07,2018-09-07,1,104,1,104,2019-09-30,0000-00-00,01/10,2018-10-01,0,,2019-09-30,0,,0000-00-00,0,,0000-00-00,0000-00-00
33684717,0000-00-00,0000-00-00,0,0,0,0,0000-00-00,0000-00-00,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684721,2018-10-01,2021-04-21,0,0,0,0,0000-00-00,0000-00-00,01/10,2018-10-01,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684725,2018-10-01,2019-10-01,1,104,1,104,2020-09-30,0000-00-00,01/10,2018-10-01,0,,0000-00-00,0,"Tijdelijke verdwijning van het risico",2020-07-01,0,,0000-00-00,0000-00-00
33684729,0000-00-00,0000-00-00,0,0,0,0,0000-00-00,0000-00-00,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684733,2018-09-17,2018-10-05,0,0,0,0,0000-00-00,0000-00-00,01/10,2018-10-01,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684737,2018-09-17,2018-10-05,0,0,0,0,0000-00-00,0000-00-00,01/10,2018-10-01,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684741,2018-09-17,2018-10-05,0,0,0,0,0000-00-00,0000-00-00,01/10,2018-10-01,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684745,2019-06-16,2019-06-16,0,0,0,0,2019-06-16,0000-00-00,16/06,2019-06-16,0,,0000-00-00,0,,0000-00-00,0,,2019-06-16,0000-00-00
33684749,2019-03-11,2022-12-16,0,0,0,0,0000-00-00,0000-00-00,11/03,2022-03-11,-1,,0000-00-00,-1,"Tijdelijke verdwijning van het risico",2023-11-20,-1,,0000-00-00,0000-00-00
33684753,2019-11-09,2020-11-05,0,0,0,0,0000-00-00,0000-00-00,09/11,2020-11-09,0,,0000-00-00,0,"Tijdelijke verdwijning van het risico",2022-02-21,0,,0000-00-00,0000-00-00
33684757,2018-10-23,2019-10-23,1,104,1,104,2020-10-22,0000-00-00,23/10,2018-10-23,0,"Verdwijning van risico",2020-11-16,0,,0000-00-00,0,,0000-00-00,0000-00-00
33684761,2018-10-23,2019-10-23,1,104,1,104,0000-00-00,0000-00-00,23/10,2018-10-23,0,,0000-00-00,0,"Tijdelijke verdwijning van het risico",0000-00-00,0,,0000-00-00,0000-00-00
33684765,0000-00-00,0000-00-00,0,0,0,0,0000-00-00,0000-00-00,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684769,2019-07-02,2025-07-02,1,104,1,104,2026-04-30,0000-00-00,01/05,2025-05-01,0,,0000-00-00,0,,0000-00-00,0,,0000-00-00,0000-00-00
33684773,2019-11-29,2023-05-01,1,104,1,104,0000-00-00,0000-00-00,01/05,2023-05-01,0,,0000-00-00,0,,0000-00-00,0,,0000-00-00,0000-00-00
33684777,0000-00-00,0000-00-00,0,0,0,0,0000-00-00,0000-00-00,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684781,2018-10-24,2019-04-19,1,104,1,104,2019-12-31,0000-00-00,01/01,2018-01-01,0,,2019-12-31,0,,0000-00-00,0,,0000-00-00,0000-00-00
33684785,2018-11-29,2018-11-29,0,0,0,0,0000-00-00,0000-00-00,29/11,2018-11-29,0,,0000-00-00,0,,0000-00-00,0,,2019-11-29,0000-00-00
33684789,2018-11-01,2019-11-01,1,104,1,104,0000-00-00,0000-00-00,01/11,2018-11-01,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684793,2018-11-08,2019-11-08,1,104,1,104,2019-10-29,0000-00-00,08/11,2018-11-08,0,,0000-00-00,0,"Tijdelijke verdwijning van het risico",2019-10-29,0,,0000-00-00,0000-00-00
33684797,2018-11-12,2019-11-12,1,104,1,104,2020-11-11,0000-00-00,12/11,2018-11-12,0,,0000-00-00,0,"Tijdelijke verdwijning van het risico",2020-07-01,0,,0000-00-00,0000-00-00
33684801,0000-00-00,0000-00-00,0,0,0,0,0000-00-00,0000-00-00,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684805,2019-02-13,2019-12-01,1,104,1,104,0000-00-00,0000-00-00,01/12,2019-12-01,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684809,2019-02-25,2019-12-01,1,104,1,104,0000-00-00,0000-00-00,01/12,2019-12-01,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684813,0000-00-00,0000-00-00,0,0,0,0,0000-00-00,0000-00-00,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684817,2018-11-15,2020-01-01,1,104,1,104,0000-00-00,0000-00-00,01/01,2018-01-01,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684821,2018-11-15,2020-01-01,1,104,1,104,0000-00-00,0000-00-00,01/01,2018-01-01,0,,0000-00-00,0,,0000-00-00,0,,0000-00-00,0000-00-00
33684825,2016-02-29,2021-09-10,0,0,0,0,0000-00-00,0000-00-00,28/02,2016-02-28,-1,,0000-00-00,-1,"Tijdelijke verdwijning van het risico",2024-02-13,-1,,0000-00-00,0000-00-00
33684829,2018-11-17,2019-04-19,1,104,1,104,2019-08-08,0000-00-00,01/01,2018-01-01,0,"Niet betaling premie",2019-08-08,0,,0000-00-00,0,,0000-00-00,0000-00-00
33684833,2019-04-25,2025-01-01,1,104,1,104,2025-12-31,0000-00-00,25/04,2019-01-01,-1,,0000-00-00,-1,,0000-00-00,-1,,0000-00-00,0000-00-00
33684837,2019-03-23,2021-01-01,1,104,1,104,2021-12-31,0000-00-00,23/03,2019-01-01,-1,,0000-00-00,-1,"Tijdelijke verdwijning van het risico",2022-05-24,-1,,0000-00-00,0000-00-00
33684841,2019-09-04,2019-09-04,1,104,1,104,2019-09-04,0000-00-00,04/09,2019-09-04,0,"Verdwijning van risico",2019-09-04,0,,0000-00-00,0,,0000-00-00,0000-00-00
33684845,2018-11-20,2023-03-01,1,104,1,104,0000-00-00,0000-00-00,20/11,2018-03-01,-1,,0000-00-00,-1,"Tijdelijke verdwijning van het risico",0000-00-00,-1,,0000-00-00,0000-00-00
