waarborg_id,bm_toegepast,bm_referte,bm_vorige
73711435,0,,
73817394,4,4,
73883449,1,,1
73884041,0,0,-2
73884177,2,2,
73887985,2,2,
73890209,-2,-2,
73890657,-2,,
73890805,7,,7
73891169,-2,-2,
73891385,0,,0
73891425,-2,-2,
73891545,0,0,
73892129,0,0,
73892185,-1,-1,
73892589,11,,11
73892861,-2,,
73892977,0,,
73893225,8,,8
73893253,-2,-2,
73893597,0,0,
73893669,-2,-2,
73893685,-2,-2,
73893705,-2,-2,
73894217,-2,-2,
73894229,6,6,
73894325,0,0,
73894333,0,0,
73894337,0,0,
73894349,0,0,
73894393,-2,-2,
73894425,-2,-2,
73894445,0,0,
73894737,-2,-2,
73894761,-2,-2,
73894765,-2,-2,
73895089,-2,-2,
73895157,-1,,
73895173,6,6,
73895185,-2,-2,
73896149,7,7,
73896441,0,,
73896493,-2,-2,
73896517,6,6,
73896545,4,4,
73896757,11,,11
73896765,-2,-2,
73896929,-2,-2,
73897025,0,0,
73897049,0,,
73897061,0,,
73910640,1,1,
73914576,-2,-2,
74081820,-2,-2,
74081856,-2,-2,
74081868,,-2,
74124359,-2,,
74124371,0,,
74145811,-2,-2,
74216572,-2,-2,
74237152,2,2,
74259843,-2,,-2
74312875,-2,-2,
74313822,0,,
74313831,0,,
74313840,7,,
74313846,0,,
74314036,-2,-2,
74314058,4,,4
74314067,6,,7
74314073,-1,,0
74314079,0,,0
74314088,-2,,-2
74314094,0,,0
74314103,4,,4
74314112,-2,,
74314121,0,,
74314136,0,,0
74314148,-2,,-2
74314172,0,,0
74314178,-1,,0
74314184,0,,0
74314190,-2,,-2
74314196,-2,,-2
74314205,-2,,-2
74314214,0,,0
74314229,-2,,
74314235,-2,,-2
74314244,-2,,-2
74314250,-2,,-2
74314256,0,,0
74314293,4,,4
74314299,-2,,-2
74314323,0,,0
74314332,-1,,-1
74314341,0,,
74314356,0,,0
74314362,10,,11
74314368,4,,4
74314413,4,,4
74314422,4,,4
74314434,4,,4
74314443,4,,4
74315182,-2,,-2
74315188,9,,9
74315212,-2,,
74315566,0,,
74315572,0,,
74332990,-2,,
74333020,-2,,
74333363,14,,
74351878,0,0,
74352130,-2,-2,
74353709,-2,-2,
74353760,-2,-2,
74353931,-2,-2,
74354037,1,1,
74354049,-2,-2,
74354058,6,6,
74354067,6,6,
74354090,-1,-1,
74354129,-1,-1,
74354223,-2,-2,
74354234,11,11,
74354241,7,7,
74354267,1,1,
74354279,1,1,
74354397,-2,-2,
74354406,-2,-2,
74354412,0,0,
74354454,-2,-2,
74354542,1,1,
74357610,0,0,
74358142,-2,,-2
74358148,0,,0
74367637,-2,-2,
74381295,3,,3
74381467,-2,,-2
74381475,0,,0
74392002,0,,
74392018,0,,
74392502,11,11,
