waarborg_id,uitkeringsdatum_kapitaal_leven,datum_waardering_reserve,fiscaliteit_levensverzekeringspremie,fiscaal_regime_vd_prestaties,oorsprong_der_premiebetaling,contract_genereert_winstdeelname,contract_onderhevig_aan_perequatie,onderworpenheid_vd_prestatie,voorschot_op_polis,kapitaal_bij_leven,kapitaal_bij_overlijden,verworven_winstdeelname_bij_leven,verworven_winstdeelname_bij_overlijde,toekenning_winstdeelname_vh_jaar,waarde_vd_reserve,type_std_begunstigde_bij_leven,begunstigde_std_heeft_contractvdl_aanv_bleven,type_std_begunstigde_bij_overlijde,begunstigde_std_heeft_contractvdl_aanv_boverlijde,jaarlijkse_rente_levensv,gewaarborgde_rentevoet_leven,kapitaal
73886977,0000-00-00,2019-12-31,,,,0,0,0,0,0.00,461500.00,0.00,0.00,0.00,0.00,,0,,1,0.00,2.50,0.00
73887373,0000-00-00,0000-00-00,15,2,01,1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,1,0,4,0,0.00,0.00,0.00
73887377,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,10000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
73887705,0000-00-00,0000-00-00,15,2,01,1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,1,0,4,0,0.00,0.00,0.00
73887709,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,10000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
73889501,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,25000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
73889553,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,25000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
73891161,2026-05-31,2026-02-16,16,4,03,1,0,1,1,43953.58,0.00,1409.30,0.00,169.78,45377.03,1,0,4,0,0.00,0.00,0.00
73896769,2045-12-01,2026-05-12,16,3,,1,0,0,1,5171.02,0.00,958.30,0.00,0.00,36830.53,,0,,0,0.00,0.00,0.00
73896773,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,15000.00,0.00,0.00
73896909,2033-03-01,2026-05-12,16,3,,1,0,0,1,413.96,0.00,327.62,0.00,0.00,8461.27,,0,,0,0.00,0.00,0.00
74334388,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
74334391,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,15000.00
74334458,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
74334461,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,15000.00
74335937,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
74335966,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
74335969,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,15000.00
74335972,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
74336164,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
74336491,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
74336494,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,15000.00
74336497,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
74338024,2024-11-08,2019-12-31,,,,0,1,0,0,5548.58,0.00,1.61,0.00,0.00,0.00,,1,,0,0.00,3.25,0.00
74434256,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
