ft_id,fn_id,bet_id,contract_id,schade_id,nummer,datumtijd,plaintext,dropdown
9675473,10424,126005909,,,2024,,,
9675614,10424,131339184,,,,,,
9676132,10424,136884788,,,2024,,,
9676144,10424,126119341,,,2022,,,
9676156,10424,136886203,,,2023,,,
9676195,10424,136886236,,,2024,,,
9676207,10424,126004865,,,2022,,,
9676217,10424,136885996,,,2024,,,
9676229,10424,130153988,,,2024,,,
9676241,10424,136886533,,,2024,,,
9676256,10424,126004561,,,2024,,,
9676268,10424,136886599,,,2024,,,
9676280,10424,126111964,,,2024,,,
9676301,10424,129404676,,,2024,,,
9676322,10424,135636607,,,2024,,,
9676334,10424,126005801,,,2022,,,
9676346,10424,126118630,,,,,,
9676358,10424,126005261,,,2024,,,
9676370,10424,136887181,,,2024,,,
9676385,10424,129405344,,,2023,,,
9676397,10424,126005513,,,2017,,,
9676409,10424,126005657,,,2024,,,
9676421,10424,127056113,,,2021,,,
9676433,10424,126047559,,,2022,,,
9676498,10424,132603317,,,2023,,,
9676546,10424,136887535,,,2023,,,
9676582,10424,126005813,,,2024,,,
9676594,10424,126118744,,,2024,,,
9676606,10424,126015898,,,2021,,,
9676618,10424,129405311,,,2024,,,
9676630,10424,126118753,,,2024,,,
9676642,10424,126119305,,,2018,,,
9676654,10424,136888774,,,2024,,,
9676666,10424,128865480,,,2023,,,
9676676,10424,136887952,,,2024,,,
9676688,10424,126219098,,,2024,,,
9676715,10424,136887961,,,2022,,,
9676727,10424,136888231,,,2023,,,
9676739,10424,126560911,,,2018,,,
9676753,10424,126004593,,,2024,,,
9676765,10424,126118210,,,2021,,,
9676849,10424,126119347,,,2022,,,
9676939,10424,132773570,,,2024,,,
9676951,10424,126005577,,,2024,,,
9676963,10424,126005709,,,2024,,,
9676981,10424,126005697,,,,,,
9676993,10424,126797360,,,2024,,,
9677006,10424,133904879,,,2024,,,
9677018,10424,128809187,,,2024,,,
9677030,10424,136902274,,,2023,,,
9677042,10424,126119578,,,2024,,,
9677162,10424,137033375,,,,,,
9677186,10424,137031331,,,,,,
9677198,10424,136886465,,,,,,
9677935,10424,126119609,,,2023,,,
9677956,10424,136903237,,,2020,,,
9677968,10424,136903303,,,2024,,,
9677992,10424,137374519,,,,,,
9678004,10424,126025290,,,2024,,,
9678019,10424,136903423,,,,,,
9678031,10424,126005793,,,2021,,,
9678043,10424,137374528,,,,,,
9678055,10424,126005673,,,2023,,,
9678067,10424,126004669,,,2024,,,
9678079,10424,132604892,,,2024,,,
9678125,10424,136903585,,,2021,,,
9678137,10424,134559601,,,,,,
9678152,10424,136903645,,,2024,,,
9678226,10424,126329344,,,2024,,,
9678241,10424,137374654,,,,,,
9678262,10424,137374657,,,,,,
9678274,10424,126005889,,,2018,,,
9678286,10424,137374663,,,,,,
9678301,10424,126005849,,,2024,,,
9678334,10424,126005341,,,2023,,,
9678358,10424,126120059,,,2020,,,
9678370,10424,133390349,,,2024,,,
9678382,10424,126196211,,,2024,,,
9678397,10424,136903828,,,2024,,,
9678487,10424,126042839,,,,,,
9678497,10424,136904383,,,2024,,,
9678509,10424,131619156,,,2023,,,
