ka_id,kwijting_id,rekeninguittreksel_id,methode,user_id,datum
28959943,90462107,78794871,,17478,"2020-01-15 10:42:38"
29123819,91020388,79274561,R,,"2020-03-11 10:37:48"
29123822,91020388,79274564,R,,"2020-03-11 10:37:48"
29214200,91634735,79481631,R,,"2020-04-22 13:16:48"
29214203,91634735,79481634,R,,"2020-04-22 13:16:48"
29214195,92180877,79481637,,17478,"2020-04-22 13:16:35"
29214198,92180880,79481640,,17478,"2020-04-22 13:16:35"
29637334,92180883,80772595,R,,"2020-07-17 17:38:18"
29530431,93086739,80337168,,17478,"2020-05-11 12:35:49"
29673368,94209223,80917513,R,,"2020-08-11 16:33:33"
29673371,94209223,80917516,R,,"2020-08-11 16:33:33"
29637337,94209226,80772598,R,,"2020-07-17 17:38:18"
30517868,96115741,81946939,R,,"2020-10-12 11:00:19"
30517871,96115741,81946942,R,,"2020-10-12 11:00:20"
30517874,96115741,81946945,R,,"2020-10-12 11:00:20"
29673367,96115786,80917519,,17478,"2020-08-11 16:33:24"
30453086,96628662,81815308,,17478,"2020-09-15 15:04:28"
30707311,96875917,82341833,R,,"2020-12-12 22:36:33"
30707314,96875920,82341836,R,,"2020-12-12 22:36:33"
30707317,96875920,82341839,R,,"2020-12-12 22:36:33"
30707320,96875920,82341842,R,,"2020-12-12 22:36:33"
30707305,96875932,82341827,R,,"2020-12-12 22:36:33"
30707308,96876152,82341830,R,,"2020-12-12 22:36:33"
30571737,97411590,82170303,,17478,"2020-11-12 13:45:01"
30707303,97994861,82341845,,17478,"2020-12-12 22:36:20"
30806612,98655902,82633154,,17478,"2021-02-04 15:39:53"
31040072,99197933,82952069,,17478,"2021-02-26 12:27:39"
32835627,99197935,85052416,R,,"2021-05-26 17:03:48"
32835630,99197935,85052419,R,,"2021-05-26 17:03:48"
32835633,99197935,85052422,R,,"2021-05-26 17:03:48"
31116163,99197938,83117087,R,,"2021-03-15 13:53:34"
31116166,99197938,83117090,R,,"2021-03-15 13:53:34"
31116169,99197938,83117093,R,,"2021-03-15 13:53:34"
31116161,99611387,83117096,,17478,"2021-03-15 13:53:32"
31902947,99611393,83980119,R,,"2021-04-14 19:42:18"
31902950,99611394,83980122,R,,"2021-04-14 19:42:18"
31902953,99611394,83980125,R,,"2021-04-14 19:42:18"
31902956,99611394,83980128,R,,"2021-04-14 19:42:18"
31902945,101145429,83980131,,17478,"2021-04-14 19:42:06"
32835624,101145431,85052413,R,,"2021-05-26 17:03:48"
33040748,101145434,85580768,R,,"2021-08-19 17:17:33"
33040751,101145434,85580771,R,,"2021-08-19 17:17:33"
33040754,101145434,85580774,R,,"2021-08-19 17:17:33"
32835622,102592324,85052425,,17478,"2021-05-26 17:03:35"
32917936,102592327,85274677,R,,"2021-06-28 17:55:18"
32917938,102592327,85274679,R,,"2021-06-28 17:55:18"
32917940,102592327,85274681,R,,"2021-06-28 17:55:18"
32917942,102592327,85274683,R,,"2021-06-28 17:55:18"
32917935,103071233,85274685,,17478,"2021-06-28 17:55:12"
33040745,103071237,85580765,R,,"2021-08-19 17:17:33"
33196607,103071303,86172501,R,,"2021-12-01 19:08:49"
33040736,103631798,85580756,,17478,"2021-08-19 17:17:06"
33096164,103631807,85758107,R,,"2021-09-22 13:49:33"
33040742,103631810,85580777,,17478,"2021-08-19 17:17:20"
33096173,103651439,85758116,R,,"2021-09-22 13:49:33"
33096176,103651439,85758119,R,,"2021-09-22 13:49:33"
33096179,103651439,85758122,R,,"2021-09-22 13:49:33"
33096167,103651442,85758110,R,,"2021-09-22 13:49:33"
33096170,103651445,85758113,R,,"2021-09-22 13:49:33"
33196609,103998590,86172505,R,,"2021-12-01 19:08:49"
33096161,104005076,85758134,,17478,"2021-09-22 13:49:23"
33196599,104005103,86172493,R,,"2021-12-01 19:08:49"
33135296,104339120,85916201,,17478,"2021-10-18 16:45:50"
33228909,104339129,86229539,R,,"2021-12-13 09:22:18"
33228911,104339129,86229541,R,,"2021-12-13 09:22:18"
33228913,104339129,86229543,R,,"2021-12-13 09:22:18"
33228915,104339129,86229545,R,,"2021-12-13 09:22:18"
33196601,104339132,86172495,R,,"2021-12-01 19:08:49"
33196603,104339132,86172497,R,,"2021-12-01 19:08:49"
33196605,104339132,86172499,R,,"2021-12-01 19:08:49"
33272741,104882791,86382214,R,,"2022-01-11 09:26:34"
33196597,104889017,86172507,,17478,"2021-12-01 19:08:33"
33228907,104990735,86229551,,17478,"2021-12-13 09:22:10"
33463721,104991492,86700237,R,,"2022-02-10 20:03:18"
33463724,104991494,86700240,R,,"2022-02-10 20:03:19"
33463739,104991496,86700255,R,,"2022-02-10 20:03:19"
33272740,105306403,86382217,,17478,"2022-01-11 09:26:24"
33463715,105306406,86700231,R,,"2022-02-10 20:03:18"
33463718,105306406,86700234,R,,"2022-02-10 20:03:18"
33463727,105306409,86700243,R,,"2022-02-10 20:03:19"
33463730,105306409,86700246,R,,"2022-02-10 20:03:19"
33463733,105306409,86700249,R,,"2022-02-10 20:03:19"
33463736,105306409,86700252,R,,"2022-02-10 20:03:19"
33582668,105306415,86907921,R,,"2022-03-10 16:59:33"
33582671,105306415,86907924,R,,"2022-03-10 16:59:33"
33582674,105306415,86907927,R,,"2022-03-10 16:59:33"
33582677,105306415,86907930,R,,"2022-03-10 16:59:33"
33582680,105306418,86907933,R,,"2022-03-10 16:59:33"
33663907,105902971,87254142,R,,"2022-05-11 17:49:33"
33463713,105912126,86700261,,17478,"2022-02-10 20:03:12"
33582666,106359018,86907936,,17478,"2022-03-10 16:59:24"
33663892,106387482,87254127,R,,"2022-05-11 17:49:33"
33663895,106387483,87254130,R,,"2022-05-11 17:49:33"
33663898,106387483,87254133,R,,"2022-05-11 17:49:33"
33663901,106387483,87254136,R,,"2022-05-11 17:49:33"
33663904,106387483,87254139,R,,"2022-05-11 17:49:33"
33635110,106387486,87114218,R,,"2022-04-11 17:06:18"
33635113,106387486,87114221,R,,"2022-04-11 17:06:18"
33635116,106387486,87114224,R,,"2022-04-11 17:06:18"
33635119,106387486,87114227,R,,"2022-04-11 17:06:18"
33635108,106724435,87114230,,17478,"2022-04-11 17:06:04"
33663891,107093112,87254145,,17478,"2022-05-11 17:49:27"
34616530,107093113,88572624,R,,"2022-08-28 12:51:18"
33712597,107093116,87405885,R,,"2022-06-14 09:33:48"
33712600,107093116,87405888,R,,"2022-06-14 09:33:48"
33712603,107093116,87405891,R,,"2022-06-14 09:33:48"
33712606,107093116,87405894,R,,"2022-06-14 09:33:49"
34573061,107093122,88462798,R,,"2022-08-05 11:34:33"
34573064,107093122,88462801,R,,"2022-08-05 11:34:33"
34573067,107093122,88462804,R,,"2022-08-05 11:34:33"
34573070,107093122,88462807,R,,"2022-08-05 11:34:33"
34642351,107552683,88701943,R,,"2022-09-19 16:05:19"
34642375,107552686,88701967,R,,"2022-09-19 16:05:19"
33712596,107552688,87405897,,17478,"2022-06-14 09:33:36"
34642378,107747192,88701970,R,,"2022-09-19 16:05:20"
34642381,107747192,88701973,R,,"2022-09-19 16:05:20"
34573060,109240009,88462810,,17478,"2022-08-05 11:34:20"
34642345,109240010,88701937,R,,"2022-09-19 16:05:19"
34642348,109240010,88701940,R,,"2022-09-19 16:05:19"
34616533,109240016,88572627,R,,"2022-08-28 12:51:18"
34616536,109240016,88572630,R,,"2022-08-28 12:51:18"
34616539,109240016,88572633,R,,"2022-08-28 12:51:18"
34616542,109240016,88572636,R,,"2022-08-28 12:51:18"
34616529,109657269,88572639,,17478,"2022-08-28 12:51:10"
34642354,109657270,88701946,R,,"2022-09-19 16:05:19"
34642357,109657273,88701949,R,,"2022-09-19 16:05:19"
34642360,109657276,88701952,R,,"2022-09-19 16:05:19"
34642363,109657279,88701955,R,,"2022-09-19 16:05:19"
34642366,109657279,88701958,R,,"2022-09-19 16:05:19"
