kou_id,onderagent_id,user_id,datum_opening,datum_afsluiting,bestand_id,manueel,uitbetaald
11,7996416,5169,2016-08-12,,,0,0
17,7996424,5169,2016-10-11,2016-10-12,43701774,1,0
19,7996424,5169,2016-10-24,2016-10-24,44204514,0,0
30,7462512,4370,2016-11-21,2016-11-21,46168834,1,0
44,7449628,4370,2017-02-09,,,1,0
51,7996424,5169,2017-05-04,2017-05-04,57927311,1,0
59,3911461,2455,2017-07-05,2017-12-12,83736646,0,1
64,45865546,9620,2017-07-07,,,0,0
69,46824575,2455,2017-08-23,2019-05-07,122044332,1,1
78,43131616,348,2017-09-07,2017-09-07,72710693,1,0
88,5057764,1577,2017-09-07,,,0,0
110,42103987,7556,2017-09-26,2017-09-26,74222325,1,1
141,3911461,2455,2017-12-12,2017-12-12,83738370,1,1
149,3911461,2455,2017-12-12,2017-12-12,83738506,0,0
151,3911461,2455,2017-12-12,2017-12-12,83739049,1,0
154,3911461,2455,2017-12-12,2017-12-12,83739365,0,1
161,42103987,7556,2017-12-27,2017-12-27,84819489,1,1
169,3911461,2455,2018-03-21,2018-03-21,91867355,0,0
175,3911461,2455,2018-03-21,,,1,0
189,42534625,2455,2018-03-21,2018-03-21,91872615,1,1
194,42534625,2455,2018-03-21,2018-03-21,91873529,1,1
195,42534625,2455,2018-03-21,2018-03-21,91874433,1,1
198,42534625,2455,2018-03-21,,,1,0
200,42103987,7556,2018-04-11,2018-04-11,93122764,0,1
210,42103987,7556,2018-06-29,2018-06-29,98985329,1,1
