maatprod_id,maatschappij,maatschappij_id,producentnummer,omschrijving
835759,58144691,,7017000,
835818,58189233,,25854,
836741,58190613,,140936,
836745,58190609,,0146167,Hoofdnummer
836749,58189193,,66932,
836757,77963829,,91337901,
836761,58190617,,20149,
836769,58190621,,85738,
837246,58243830,,60278,
837445,58264793,,22151,
842186,58444828,,0641879880,
870660,59185653,,8001030,
877839,58292154,,28-2-5968,
877841,58363771,,433344,
879153,59197935,,0641879880,
882545,68260503,,4037023,
885152,69428385,,0641879880,
889435,70928494,,41221,
892733,77963829,,76707,
892741,66513452,,7061455,
909642,58544058,,66535,
928562,58444769,,106292,
1008368,78353945,,nvt,
1058473,58189061,,7017000,
1063375,78590240,,91337901,
1066237,78590240,,76707,
1074842,58190609,,52716,Portima
1075625,58190609,,3001059,Pars
1075637,58243830,,52716,
1075985,58190609,,157694,"Overname polissen"
1079613,58190609,,14616,
1079656,80070952,,7017000,
1081695,58189233,,52716,
1083239,58190609,,300105,
1088838,58189193,,52716,
1088877,58190609,,15769,
