mail_saved_attachment_id,mail_saved_id,bestand_id,inline,keyname,contentDisposition
32127337,20180485,135819505,0,,
32127341,20180489,135819509,0,,
32127345,20180493,135819517,0,,
32418004,20300152,136707208,1,image001.png@01D5C7C6.D8DA60E0,
32418008,20300152,136707212,1,image002.png@01D5C7C6.D8DA60E0,
32418012,20300152,136707216,1,image003.png@01D5C7C6.D8DA60E0,
32418016,20300152,136707220,1,image004.png@01D5C7C6.D8DA60E0,
32418020,20300152,136707224,0,1756756238229065133,
32452435,20315710,136807921,0,370668233504268007,
32454130,20316439,136814152,1,image001.png@01D5D5CF.5F73AA60,
37124943,22574919,155039391,1,f_khew1fl30,
42493739,24970681,172991297,0,6702213231102290164,
42493877,24970759,172991633,0,17d991cf0a1188f48d71,
42497575,24972435,173003351,0,17d99f78863fca92a7f1,
42497577,24972435,173003353,0,17d99f78863e86ce2e22,
42507129,24977005,173029801,0,f_kwxj9rtv0,
42507131,24977005,173029803,0,f_kwxj9ru31,
42507133,24977005,173029805,0,f_kwxja0002,
42507135,24977005,173029807,0,f_kwxja0063,
42522231,24984101,173072333,1,image001.png@01D7ED18.8E2582E0,
42522233,24984101,173072335,0,150725521936254491,
42526377,24985781,173082553,0,1753154502203465184,
42526447,24985813,173082769,1,image001.jpg@01D7ED01.BCD8E440,
42526449,24985813,173082771,0,1157025885463302546,
42540203,24992813,173122717,1,image001.png@01D7F009.782B6240,
42540205,24992813,173122719,0,7064053552095122204,
42547035,24996013,173142087,0,f_kx4tmp7m0,
42547105,24996045,173142207,1,17d4c8923e44cff311,
42554121,24999523,173186521,1,image001.jpg@01D7F03C.5B94EE70,
42561197,25002747,173215647,0,17db93d17adccc7ed1f1,
42561271,25002769,173215849,1,17db93d3edd4ce8e91,
42561273,25002769,173215851,0,17db93d3eddbe81f1ca2,
42561281,25002777,173215961,0,17db93d5fd47ac5b83f1,
42561283,25002777,173215965,0,17db93d5fd47a8d5a3b2,
42561285,25002777,173215967,0,17db93d5fd41c7f76b93,
42561287,25002777,173215969,0,17db93d5fd41c6347b74,
42561289,25002777,173215971,0,17db93d5fd4196a52815,
42561291,25002777,173215973,0,17db93d5fd44ff74ee06,
42569421,25006267,173251311,0,17db93dde6e1f9fd6ea1,
42570147,25006617,173253679,1,5A3019AB-4B63-4E4D-95BB-02705D9B5AD2-L0-001,
42570479,25006755,173254587,0,70869004538967440,
42570553,25006783,173254773,0,3890469431643329139,
42570935,25007003,173255959,0,3253736621214315770,
42570937,25007003,173255961,0,1722918228454460400,
42572483,25007731,173260801,0,18254132641095648341,
42586061,25014449,173300257,1,image0,
42586119,25014471,173300493,0,11564757281906431466,
42586903,25014851,173302447,0,1156374614808244804,
42590941,25016787,173314263,0,48EDA52BDF6F1E42846E96104D355948@sct-15-20-4755-11-msonline-outlook-6eb59.templateTenant,
42593005,25017589,173319287,0,85325283172958501,
