mail_send_attachment_id,mail_send_id,bestand_id,contentDisposition
19126516,15097500,134397000,
19465633,15308181,135819485,
19465637,15308185,135819489,
19465641,15308189,135819493,
19465645,15308193,135819497,
19465649,15308197,135819501,
21277995,16527597,146548896,
21277998,16527597,146548899,
21278001,16527597,146548902,
21278004,16527597,146548905,
21278007,16527597,146548908,
21278010,16527597,146548911,
21278013,16527597,146548914,
21278016,16527597,146548917,
21278019,16527597,146548920,
21278022,16527597,146548923,
21278025,16527597,146548926,
21278028,16527597,146548929,
21278031,16527597,146548932,
21278034,16527597,146548935,
21278037,16527597,146548938,
21278040,16527597,146548941,
21278043,16527597,146548944,
21278046,16527597,146548947,
21278049,16527597,146548950,
21278052,16527597,146548953,
21278055,16527597,146548956,
22146579,17145378,151256793,
22561685,17415104,153591365,
26024440,19627153,170540248,
26024443,19627153,170540251,
26179025,19725011,171300680,
26179028,19725011,171300683,
26205577,19741963,171423769,
26205580,19741963,171423772,
26205583,19741963,171423775,
26205586,19741963,171423778,
26205589,19741963,171423781,
26205592,19741963,171423784,
26206843,19742833,171429349,
26206846,19742833,171429352,
26206849,19742833,171429355,
26206852,19742833,171429358,
26206855,19742833,171429361,
26206858,19742833,171429364,
26231017,19757980,171543436,
26303606,19804274,171921893,
26303609,19804274,171921896,
26303612,19804274,171921899,
26303615,19804274,171921902,
26303618,19804274,171921905,
26325278,19818866,172025993,
26325281,19818866,172025996,
26325284,19818866,172025999,
26325287,19818866,172026002,
26325290,19818866,172026005,
26364847,19845214,172234492,
26364850,19845214,172234495,
26364853,19845214,172234498,
26364856,19845214,172234501,
26383489,19857394,172318165,
26383492,19857394,172318168,
26383495,19857394,172318171,
26383498,19857394,172318174,
26383501,19857394,172318177,
26383504,19857394,172318183,
26383507,19857394,172318186,
26383510,19857394,172318189,
26383513,19857394,172318192,
26383516,19857394,172318195,
26383519,19857394,172318198,
26391226,19862176,172353229,
26409682,19873816,172451956,
26409685,19873816,172451959,
26409688,19873816,172451962,
26409691,19873816,172451965,
26409694,19873816,172451968,
26409697,19873816,172451971,
26409946,19873963,172452961,
26409949,19873963,172452964,
26450069,19902177,172625975,
26511303,19944981,172894419,
26523253,19953067,172943621,
26523255,19953067,172943623,
26523257,19953067,172943625,
26523259,19953067,172943627,
26525073,19954393,172951541,
26525075,19954393,172951543,
26525077,19954393,172951545,
26525079,19954393,172951547,
26537649,19963299,173000439,
26537677,19963311,173000493,
26539129,19964303,173007005,
26539131,19964303,173007007,
26539133,19964303,173007009,
26539135,19964303,173007011,
26551043,19972703,173054693,
26555251,19975721,173072697,
26560947,19979919,173096185,
26560949,19979919,173096187,
26560951,19979919,173096189,
26560953,19979919,173096191,
26578881,19992181,173194455,
26578883,19992181,173194457,
26579455,19992503,173196895,
26579457,19992503,173196899,
26579459,19992503,173196901,
26582223,19994517,173214025,
26582225,19994517,173214027,
26582227,19994517,173214029,
26582229,19994517,173214031,
26582231,19994517,173214033,
26582233,19994517,173214035,
26590029,19999757,173257733,
26590031,19999757,173257735,
26600187,20007205,173300293,
26625123,20023923,173401917,
26627866,20025634,173412610,
26627869,20025634,173412613,
26627872,20025634,173412616,
26627875,20025634,173412619,
26651604,20040243,173505264,
26656486,20043013,173522995,
26656489,20043013,173522998,
26668461,20050353,173572128,
26668464,20050353,173572131,
26686710,20061729,173647968,
26686713,20061729,173647971,
26686716,20061729,173647974,
26686719,20061729,173647977,
26686722,20061729,173647980,
