opvolging_id,bet_id,contract_id,schade_id,van,voor,created,door,ended,letter,mail,telefoon_id,corcompdf_id,corcomrtf_id,mail_send_id,mail_saved_id,bestand_id,opmerking,title,kleur,rappel_status,status,dueDate
15121437,126005709,33685325,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121441,126005713,33685329,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121445,126005717,33685333,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121449,126004469,33685337,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121453,126005725,33685341,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121457,126004945,33684973,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121461,126047580,33685345,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121465,126005729,33685349,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121469,126107473,33685353,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121473,126005737,33685357,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121477,126047580,33685361,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121481,126005741,33685365,,,12743,2019-01-15,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-15
15121485,126005745,33685369,,,12743,2019-01-15,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-15
15121489,126005753,33685373,,,12743,2019-01-15,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-15
15121493,126005709,33685377,,,12743,2019-01-15,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-15
15121497,126005725,33685381,,,12743,2019-01-15,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-15
15121501,126047580,33685385,,,12743,2019-01-15,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-15
15121505,126047580,33685361,,,12743,2019-01-15,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-15
15121509,126005765,33685389,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121513,126005509,33685393,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121517,126005513,33685397,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121521,126005517,33685401,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121525,126005521,33685405,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121529,126005525,33685409,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121533,126005529,33685413,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121537,126005533,33685417,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121541,126005537,33685421,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121545,126005725,33685381,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121549,126047580,33685385,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121553,126005709,33685377,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121557,126005753,33685373,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121561,126005753,33685373,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121565,126005753,33685373,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121569,126005753,33685373,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121573,126005753,33685373,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121577,126005753,33685373,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121581,126005753,33685373,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121585,126005753,33685373,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121589,126005753,33685373,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121593,126005753,33685373,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121597,126005541,33685425,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121601,126005545,33685429,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121605,126008884,33684869,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121609,126005549,33685433,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121613,126005553,33685437,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121617,126005797,33685441,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121621,126005557,33685445,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121625,126005561,33685449,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121629,126005565,33685453,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121633,126005569,33685457,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121637,126005573,33685461,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121641,126005577,33685465,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121645,126005581,33685469,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121649,126005741,33685365,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121653,126005741,33685365,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121657,126005741,33685365,,,12743,2019-01-24,,"2019-02-19 00:00:00",,,,,,,,,"Contract, polisbeeld (portefeuilleoverzicht)",,IMPORT,,0,2019-01-24
15121661,126005469,33685729,,,12743,2019-05-09,,"2019-05-09 00:00:00",,,,,,,,,"Contract, bijvoegsel",,IMPORT,,0,2019-05-09
15121665,126004905,,106950205,,12743,2019-05-10,,"2019-05-13 00:00:00",,,,,,,,,"Schadegeval, sluiting dossier",,IMPORT,,0,2019-05-10
15121669,126005273,33685905,,,12743,2019-05-13,,"2019-05-13 00:00:00",,,,,,,,,"Contract, bijvoegsel",,IMPORT,,0,2019-05-13
15121673,126005277,33685909,,,12743,2019-05-14,,"2019-05-14 00:00:00",,,,,,,,,"Contract, nieuwe zaak",,IMPORT,,0,2019-05-14
15121677,126005277,33685909,,,12743,2019-05-14,,"2019-05-14 00:00:00",,,,,,,,,"Polis: Auto nr 5L41031 - Informatieplicht niet Leven",,IMPORT,,0,2019-05-14
15121701,126005745,33685369,,,12743,2019-05-14,,"2019-05-14 00:00:00",,,,,,,,,"Contract, bijvoegsel",,IMPORT,,0,2019-05-14
15121705,126004841,,106950237,,12743,2019-05-16,,"2019-05-17 00:00:00",,,,,,,,,"Schadegeval, ontvangstmelding",,IMPORT,,0,2019-05-16
15121709,126004841,,106950237,,12743,2019-05-16,,"2019-05-17 00:00:00",,,,,,,,,"Schadegeval, MSB (oorsprong Maatschappij)",,IMPORT,,0,2019-05-16
15121713,126005725,,106950233,,12743,2019-05-20,,"2019-05-20 00:00:00",,,,,,,,,"Schadegeval, MSB (oorsprong Maatschappij)",,IMPORT,,0,2019-05-20
15121717,126005609,33685673,,,12743,2019-05-13,,"2019-05-20 00:00:00",,,,,,,,,"Contract, MPB (oorsprong maatschappij)",,IMPORT,,0,2019-05-13
