rh_id,reknr_id,afschriftnr,datum,eind_datum,saldo_begin,saldo_einde,omschrijving
13,37,0,2016-03-04,2016-03-04,0.00,152.00,"Afboeking DAS"
29,5,1,2016-03-15,2016-03-15,10.00,11.00,
34,2,73,2015-09-29,2015-10-08,2987.71,4708.45,
38,2,74,2015-10-13,2015-10-30,4708.45,5936.92,
42,2,0,2015-10-16,2016-10-16,5936.92,7874.48,
44,2,0,2015-10-21,2015-10-21,7874.48,10609.66,
48,2,0,2015-10-28,2015-10-28,0.00,0.00,
50,2,77,2015-10-28,2015-10-28,10609.66,3249.04,
56,2,78,2015-11-13,2015-11-13,3249.04,2570.15,
62,2,79,2015-11-25,2015-11-25,2570.15,9960.81,
66,2,80,1970-06-13,1970-06-13,9960.81,147.75,
70,2,81,2015-12-15,2015-12-15,147.75,5377.69,
72,110,1,2016-01-01,2016-01-04,5351.95,4876.45,
80,2,1,2016-01-05,2016-06-05,5377.69,5766.24,
82,2,2,2016-06-12,2016-06-12,5766.24,7482.30,
90,2,3,2016-01-15,2016-01-15,7482.30,4278.70,
98,2,4,2016-02-05,2016-02-05,4278.70,7015.43,
100,2,5,2016-02-11,2016-02-11,7015.43,14096.34,
106,2,6,2016-02-12,2016-02-12,14096.34,14219.16,
114,2,7,2016-03-03,2016-03-03,14219.16,1338.35,
130,2,8,2016-03-09,2016-03-09,1338.35,4715.73,
138,2,9,2016-03-14,2016-03-14,4715.73,5233.26,
146,2,10,2016-03-21,2016-03-21,5233.26,736.64,
154,2,11,2016-03-30,2016-03-30,736.64,10247.58,
162,2,12,2016-04-04,2016-04-04,10247.58,6654.46,
164,2,13,2016-04-07,2016-04-07,6654.46,885.57,
170,2,14,2016-04-13,2016-04-13,885.57,874.61,
178,2,15,2016-04-14,2016-04-14,874.61,1354.52,
186,2,16,2016-04-21,2016-04-21,1354.52,440.95,
188,2,17,2016-05-09,2016-05-09,440.95,74.04,
198,2,18,2016-05-12,2016-05-12,74.40,639.28,
206,2,19,2016-05-18,2016-05-15,639.28,352.52,
208,2,20,2016-05-20,2016-05-20,352.52,1099.68,
214,2,21,2016-05-25,2016-05-25,99.68,1769.60,
216,2,22,2016-05-26,2016-05-26,1769.60,1197.10,
224,2,23,2016-06-03,2016-06-03,1197.10,4577.52,
226,2,24,2016-06-13,2016-06-13,4577.52,3884.27,
234,2,25,2016-06-14,2016-06-14,3884.27,3756.94,
242,2,26,2016-06-24,2016-06-24,3756.94,558.81,
244,2,27,2016-07-05,2016-07-05,558.81,4872.05,
250,2,28,2016-07-07,2016-07-07,4872.05,13830.48,
258,142,29,2015-10-09,2015-10-09,1143.53,1511.23,
260,142,30,2015-10-14,2015-10-14,1511.23,1561.95,
266,142,31,2015-10-19,2015-10-19,1561.95,1611.26,
268,142,32,2015-11-09,2015-11-09,1611.26,968.59,
274,142,33,2015-11-23,2015-11-23,968.59,515.96,
282,142,34,2015-12-01,2015-12-01,515.96,882.36,
290,142,35,2015-12-10,2015-12-10,882.36,490.35,
