rst_id,rekeninguittreksel_id,kwijting_id,status,user_id,datum
7227242,79274561,91020388,1,,"2020-03-11 10:37:48"
7227245,79274564,91020388,1,,"2020-03-11 10:37:48"
7299416,79481631,91634735,1,,"2020-04-22 13:16:48"
7299419,79481634,91634735,1,,"2020-04-22 13:16:48"
7400965,80772595,92180883,1,,"2020-07-17 17:38:18"
7400968,80772598,94209226,1,,"2020-07-17 17:38:18"
7429493,80917513,94209223,1,,"2020-08-11 16:33:33"
7429496,80917516,94209223,1,,"2020-08-11 16:33:33"
7530062,81946939,96115741,1,,"2020-10-12 11:00:19"
7530065,81946942,96115741,1,,"2020-10-12 11:00:20"
7530068,81946945,96115741,1,,"2020-10-12 11:00:20"
7701199,82341827,96875932,1,,"2020-12-12 22:36:33"
7701202,82341830,96876152,1,,"2020-12-12 22:36:33"
7701205,82341833,96875917,1,,"2020-12-12 22:36:33"
7701208,82341836,96875920,1,,"2020-12-12 22:36:33"
7701211,82341839,96875920,1,,"2020-12-12 22:36:33"
7701214,82341842,96875920,1,,"2020-12-12 22:36:33"
7833061,83117087,99197938,1,,"2021-03-15 13:53:34"
7833064,83117090,99197938,1,,"2021-03-15 13:53:34"
7833067,83117093,99197938,1,,"2021-03-15 13:53:34"
7931693,83980119,99611393,1,,"2021-04-14 19:42:18"
7931696,83980122,99611394,1,,"2021-04-14 19:42:18"
7931699,83980125,99611394,1,,"2021-04-14 19:42:18"
7931702,83980128,99611394,1,,"2021-04-14 19:42:18"
7985700,85052413,101145431,1,,"2021-05-26 17:03:48"
7985703,85052416,99197935,1,,"2021-05-26 17:03:48"
7985706,85052419,99197935,1,,"2021-05-26 17:03:48"
7985709,85052422,99197935,1,,"2021-05-26 17:03:48"
8056858,85274677,102592327,1,,"2021-06-28 17:55:18"
8056860,85274679,102592327,1,,"2021-06-28 17:55:18"
8056862,85274681,102592327,1,,"2021-06-28 17:55:18"
8056864,85274683,102592327,1,,"2021-06-28 17:55:18"
8160158,85580765,103071237,1,,"2021-08-19 17:17:33"
8160161,85580768,101145434,1,,"2021-08-19 17:17:33"
8160164,85580771,101145434,1,,"2021-08-19 17:17:33"
8160167,85580774,101145434,1,,"2021-08-19 17:17:33"
8204981,85758107,103631807,1,,"2021-09-22 13:49:33"
8204984,85758110,103651442,1,,"2021-09-22 13:49:33"
8204987,85758113,103651445,1,,"2021-09-22 13:49:33"
8204990,85758116,103651439,1,,"2021-09-22 13:49:33"
8204993,85758119,103651439,1,,"2021-09-22 13:49:33"
8204996,85758122,103651439,1,,"2021-09-22 13:49:33"
8275941,86172493,104005103,1,,"2021-12-01 19:08:49"
8275943,86172495,104339132,1,,"2021-12-01 19:08:49"
8275945,86172497,104339132,1,,"2021-12-01 19:08:49"
8275947,86172499,104339132,1,,"2021-12-01 19:08:49"
8275949,86172501,103071303,1,,"2021-12-01 19:08:49"
8275951,86172505,103998590,1,,"2021-12-01 19:08:49"
8305891,86229539,104339129,1,,"2021-12-13 09:22:18"
8305893,86229541,104339129,1,,"2021-12-13 09:22:18"
8305895,86229543,104339129,1,,"2021-12-13 09:22:18"
8305897,86229545,104339129,1,,"2021-12-13 09:22:18"
8340266,86382214,104882791,1,,"2022-01-11 09:26:34"
8364164,86700231,105306406,1,,"2022-02-10 20:03:18"
8364167,86700234,105306406,1,,"2022-02-10 20:03:18"
8364170,86700237,104991492,1,,"2022-02-10 20:03:18"
8364173,86700240,104991494,1,,"2022-02-10 20:03:19"
8364176,86700243,105306409,1,,"2022-02-10 20:03:19"
8364179,86700246,105306409,1,,"2022-02-10 20:03:19"
8364182,86700249,105306409,1,,"2022-02-10 20:03:19"
8364185,86700252,105306409,1,,"2022-02-10 20:03:19"
8364188,86700255,104991496,1,,"2022-02-10 20:03:19"
8384906,86907921,105306415,1,,"2022-03-10 16:59:33"
8384909,86907924,105306415,1,,"2022-03-10 16:59:33"
8384912,86907927,105306415,1,,"2022-03-10 16:59:33"
8384915,86907930,105306415,1,,"2022-03-10 16:59:33"
8384918,86907933,105306418,1,,"2022-03-10 16:59:33"
8422909,87114218,106387486,1,,"2022-04-11 17:06:18"
8422912,87114221,106387486,1,,"2022-04-11 17:06:18"
8422915,87114224,106387486,1,,"2022-04-11 17:06:18"
8422918,87114227,106387486,1,,"2022-04-11 17:06:18"
8443327,87254127,106387482,1,,"2022-05-11 17:49:33"
8443330,87254130,106387483,1,,"2022-05-11 17:49:33"
8443333,87254133,106387483,1,,"2022-05-11 17:49:33"
8443336,87254136,106387483,1,,"2022-05-11 17:49:33"
8443339,87254139,106387483,1,,"2022-05-11 17:49:33"
8443342,87254142,105902971,1,,"2022-05-11 17:49:33"
8482264,87405885,107093116,1,,"2022-06-14 09:33:48"
8482267,87405888,107093116,1,,"2022-06-14 09:33:48"
8482270,87405891,107093116,1,,"2022-06-14 09:33:48"
8482273,87405894,107093116,1,,"2022-06-14 09:33:49"
8515262,88462798,107093122,1,,"2022-08-05 11:34:33"
8515265,88462801,107093122,1,,"2022-08-05 11:34:33"
8515268,88462804,107093122,1,,"2022-08-05 11:34:33"
8515271,88462807,107093122,1,,"2022-08-05 11:34:33"
8552632,88572624,107093113,1,,"2022-08-28 12:51:18"
8552635,88572627,109240016,1,,"2022-08-28 12:51:18"
8552638,88572630,109240016,1,,"2022-08-28 12:51:18"
8552641,88572633,109240016,1,,"2022-08-28 12:51:18"
8552644,88572636,109240016,1,,"2022-08-28 12:51:18"
8572909,88701937,109240010,1,,"2022-09-19 16:05:19"
8572912,88701940,109240010,1,,"2022-09-19 16:05:19"
8572915,88701943,107552683,1,,"2022-09-19 16:05:19"
8572918,88701946,109657270,1,,"2022-09-19 16:05:19"
8572921,88701949,109657273,1,,"2022-09-19 16:05:19"
8572924,88701952,109657276,1,,"2022-09-19 16:05:19"
8572927,88701955,109657279,1,,"2022-09-19 16:05:19"
