rekeninguittreksel_id,kwijtingnummer
79274561,2020.03.16316
79274564,2020.03.16316
79481631,2020.03.36916
79481634,2020.03.36916
79481637,
79481640,
80337168,
80772595,2020.05.14301
80772598,2020.07.15034
80917513,2020.07.08362
80917516,2020.07.30800
80917519,
81946939,2020.09.04828
81946942,2020.09.30712
81946945,2020.09.36232
82341827,2020.11.03659
82341830,2020.11.07305
82341833,2020.11.07540
82341836,2020.11.10041
82341839,2020.11.28515
82341842,2020.11.34251
82341845,
83117084,2021.02.21086
83117087,2021.03.16676
83117090,2021.02.30970
83117093,2021.02.30970
83117096,
83980116,2021.03.22700
83980119,2021.04.07933
83980122,2021.04.12072
83980125,2021.03.32804
83980128,2021.03.38584
83980131,
85052410,2021.04.21901
85052413,2021.05.03875
85052416,2021.03.08997
85052419,2021.04.32148
85052422,2021.03.08997
85052425,
85274675,2021.05.21198
85274677,2021.06.07330
85274679,2021.05.31619
85274681,2021.05.31644
85274683,2021.05.31644
85274685,
85580744,2021.06.23532
85580747,2021.06.34207
85580750,2021.06.34232
85580753,2021.06.40288
85580756,
85580759,2021.07.22641
85580762,2021.07.25495
85580765,2021.07.07170
85580768,2021.05.14811
85580771,2021.07.33624
85580774,2021.07.33648
85580777,
85758104,2021.08.23124
85758107,2021.09.07408
85758110,2021.09.12242
85758113,2021.09.16556
85758116,2021.08.14342
85758119,2021.08.31519
85758122,2021.08.31543
85758125,2021.08.32386
85758128,2021.08.32387
85758131,2021.08.32386
85758134,
85916189,2021.09.24125
85916192,2021.09.32739
85916195,2021.09.32761
85916198,2021.09.33622
85916201,
86172491,2021.10.24189
86172493,2021.10.07083
86172495,2021.11.06398
86172497,2021.10.33071
86172499,2021.10.33093
86172501,2021.07.16025
86172503,2021.10.33945
86172505,2021.09.41652
86172507,
86229537,2021.11.22144
86229539,2021.11.06203
86229541,2021.11.31102
86229543,2021.11.31183
86229545,2021.11.31203
86229547,2021.11.32060
86229549,2021.11.15444
86229551,
86382199,2021.12.23241
86382202,2021.12.32358
86382205,2021.12.32440
86382208,2021.12.32460
86382211,2021.12.33336
86382214,2021.11.40542
86382217,
86700231,2022.02.03996
86700234,2022.01.26078
86700237,2022.01.06505
86700240,2022.01.06931
86700243,2022.02.13904
86700246,2022.01.35492
86700249,2022.01.35570
86700252,2022.01.35589
86700255,2022.01.17112
86700258,2021.12.42249
86700261,
86907918,2022.02.24203
86907921,2022.02.15240
86907924,2022.02.33878
86907927,2022.02.33955
86907930,2022.02.33973
86907933,2022.02.15468
86907936,
87114215,2022.03.25820
87114218,2022.04.13225
87114221,2022.03.35814
87114224,2022.03.35888
87114227,2022.03.35906
87114230,
87254124,2022.04.24943
87254127,2022.04.06909
87254130,2022.04.12434
87254133,2022.04.35156
87254136,2022.04.35230
87254139,2022.04.35249
87254142,2022.02.40867
87254145,
87405882,2022.05.23837
87405885,2022.06.07488
87405888,2022.05.34308
87405891,2022.05.34381
87405894,2022.05.34399
87405897,
88462795,2022.06.26129
88462798,2022.06.16387
88462801,2022.06.36845
88462804,2022.06.36918
88462807,2022.06.36936
88462810,
88572621,2022.07.25355
88572624,2022.06.06356
88572627,2022.08.14398
88572630,2022.07.36270
88572633,2022.07.36342
88572636,2022.07.36359
88572639,
88701937,2022.08.04304
88701940,2022.08.23351
88701943,2022.07.06286
88701946,2022.09.06472
88701949,2022.09.12360
88701952,2022.09.16750
88701955,2022.09.15371
88701958,2022.08.34486
88701961,2022.08.34558
88701964,2022.08.34575
88701967,2022.07.16210
88701970,2022.06.47178
88701973,2022.08.34575
88701976,
88821682,2022.09.23905
88821685,2022.09.35196
88821688,2022.09.35269
88821691,2022.09.35285
88821694,2022.09.41755
88821697,
89069023,2022.10.23803
89069026,2022.11.05473
89069029,2022.10.35257
89069032,2022.10.35328
89069035,2022.10.35344
89069038,
89161955,2022.11.22072
89161958,2022.10.06225
89161961,2022.11.05627
89161964,2022.11.33547
89161967,2022.11.33617
89161970,2022.11.33632
89161973,
89172944,
89172947,
89306231,
89306234,
89313283,2022.12.22449
89313286,2022.10.12726
89313289,2022.12.34039
89313292,2022.12.34107
89313295,2022.12.34122
89313298,
89495690,
89495693,
89504225,2023.02.03526
89504228,2023.01.25020
89504231,2023.01.05721
89504234,2022.12.06554
89504237,2023.02.15002
89504240,2023.01.36770
89504243,2023.01.36836
89504246,2023.01.36851
89504249,
89597066,
89597069,
89644739,2023.02.22951
89644742,2023.02.34890
89644745,2023.02.34956
89644748,2023.02.34970
89644751,
89816518,2023.03.24509
89816521,2023.03.36643
89816524,2023.03.36709
89816527,2023.03.36723
89816530,2023.02.15207
89816533,
89840587,
89961533,
89961536,
89985677,2023.04.24667
89985680,2023.05.22747
89985683,2023.04.36808
89985686,2023.05.35075
89985689,2023.04.36875
89985692,2023.05.35144
89985695,2023.04.36888
89985698,2023.05.35157
89985701,2023.04.43666
89985704,2023.04.43667
89985707,
90075596,
90075599,
90085256,2023.06.05552
90085259,2023.04.45707
90085262,
90396637,
90590125,
90590128,
90590131,2023.06.25568
90590134,2023.06.37989
90590137,2023.06.38058
90590140,2023.06.38072
90590143,
90590146,2023.08.03793
90590149,2023.07.24517
90590152,2023.07.06846
90590155,2023.07.36985
90590158,2023.07.37052
90590161,2023.07.37066
90590164,
90690757,2023.08.22379
90690760,2023.09.05556
90690763,2023.09.11990
90690766,2023.09.16416
90690769,2023.08.14127
90690772,2023.08.34839
90690775,2023.08.34904
90690778,2023.08.34917
90690781,
90690784,
90766865,
90766868,
90835430,2023.09.23202
90835433,2023.09.35685
90835436,2023.09.35749
90835439,2023.09.35762
90835442,
90938898,
90938901,
90974565,2023.10.23424
90974568,2023.11.04832
90974571,2023.10.06574
90974574,2023.10.35997
90974577,2023.10.36060
90974580,2023.10.36073
90974583,2023.10.36073
90974586,2023.10.43295
90974589,
91089975,
91089978,
91089981,
91089982,2023.11.21260
91089985,2023.11.33730
91089988,2023.11.33795
91089991,2023.11.33808
91089994,2023.11.40802
91089997,
91203216,
91203219,
91210622,2023.12.22015
91210625,2024.01.06505
91210628,2023.12.34579
91210631,2023.12.34644
91210634,2023.12.34657
91210637,
91337943,
91355177,2024.01.24578
91355180,2024.01.04993
91355183,2024.01.37214
91355186,2024.01.37280
91355189,2024.01.37293
91355192,2024.01.19156
91355195,2024.01.37293
91355198,
91500693,2024.02.03099
91500696,2024.02.22107
91500699,2024.02.34857
91500702,2024.02.34923
91500705,2024.02.34936
91500708,2024.02.42087
91500711,2024.02.34936
91500714,2024.02.42087
91500717,
91513122,
91513125,
91513128,
91513131,
93270042,2024.03.23519
93270045,2024.03.36473
93270048,2024.03.36539
93270051,2024.03.36552
93270054,2024.03.43555
93270057,2024.03.43556
93270060,
93270066,
93325266,
93325269,
93325272,
93325275,
93367092,2024.04.23434
93367095,2024.04.06125
93367098,2024.04.36395
93367101,2024.04.36460
93367104,2024.04.36473
93367107,
93449115,
93465714,2024.05.22347
93465717,2024.06.04854
93465720,2024.05.35540
93465723,2024.05.35604
93465726,2024.05.35616
93465729,2024.05.35616
93465732,
93551655,2024.06.25245
93551658,2024.06.38544
93551661,2024.06.38607
93551664,2024.06.38620
93551667,2024.06.46398
93551670,
93691149,
93691152,
93691155,
93691158,
93691161,
93691164,
93691167,
93691170,
93724857,2024.07.24265
93724860,2024.07.05946
93724863,2024.07.37853
93724866,2024.07.37915
93724869,2024.07.37928
93724872,
93826746,2024.08.21526
93826749,2024.08.35171
93826752,2024.08.35233
93826755,2024.08.35245
93826758,
93886326,
93945813,2024.09.23266
93945816,2024.09.04861
93945819,2024.09.11723
93945822,2024.09.16250
93945825,2024.09.36939
93945828,2024.09.37001
93945831,2024.09.37013
93945834,2024.09.45452
93945837,
94048770,2024.10.22666
94048773,2024.11.04234
94048776,2024.11.07609
94048779,2024.10.36537
94048782,2024.10.36599
94048785,2024.10.36611
94048788,
94124966,
94152211,2024.11.20678
94152214,2024.11.34644
94152217,2024.11.34706
94152220,2024.11.34718
94152223,2024.11.34718
94152226,
94246919,
94278052,2024.12.21914
94278055,2024.12.35914
94278058,2024.12.35977
94278061,2024.12.35989
94278064,2024.12.44067
94278067,2024.12.35989
94278070,2024.12.44067
94278073,
94395767,
94395770,
94395773,
94395776,2025.02.02718
94395779,2025.01.24358
94395782,2025.01.38633
94395785,2025.01.38694
94395788,
94492253,
94492255,
94492257,2025.02.22158
94492259,2025.02.07851
94492261,2025.02.36651
94492263,2025.02.36711
94492265,2025.02.16513
94492267,
94492269,
94528583,
94566658,2025.03.23472
94566660,2025.03.38355
94566662,2025.03.38415
94566664,2025.02.48063
94566666,2025.02.48063
94566668,
94612249,
94612251,
94644569,2025.04.22955
94644571,2025.04.37816
94644573,2025.04.37878
94644575,
94644577,
94738940,
94738942,2025.05.21600
94738944,2025.05.07713
94738946,2025.05.36453
94738948,2025.05.36515
94738950,2025.04.49438
94738952,2025.04.49438
94738954,
94752783,
94752785,
94791627,2025.06.24260
94791629,2025.06.04225
94791631,2025.06.39138
94791633,2025.06.39200
94791635,
94888050,
94888052,2025.07.23695
94888054,2025.07.38665
94888056,2025.07.38727
94888058,
94937013,
94937015,
94943592,2025.08.20177
94943594,2025.08.35498
94943596,2025.08.35560
94943598,
94964668,
94980679,2025.09.22482
94980681,2025.08.06860
94980683,2025.08.08548
94980685,2025.09.37648
94980687,2025.09.37709
94980689,2025.09.18108
94980691,2025.09.18108
94980693,
94980695,
95061741,
95061744,
95061747,2025.10.22143
95061750,2025.11.03618
95061753,2025.10.37556
95061756,2025.10.37615
95061759,
95141657,
95160596,2025.11.19867
95160598,2025.10.09695
95160600,2025.11.35307
95160602,2025.11.35366
95160604,2025.10.48313
95160606,
95190879,
95190881,
95215222,2025.12.21383
95215224,2025.11.06414
95215226,2025.12.37021
95215228,2025.12.37080
95215230,
95287289,
95330204,2026.02.02349
95330206,2026.01.23164
95330208,2026.01.39030
95330210,2026.01.39089
95330212,
95364396,
95364398,
95389263,2026.02.22654
95389265,2026.02.38291
95389267,2026.02.38348
95389269,
95420932,
95464721,2026.03.24169
95464723,2026.02.06708
95464725,2026.02.08663
95464727,2026.03.39864
95464729,2026.03.39921
95464731,
95499205,
95499207,
95545659,2026.04.21968
95545661,2026.03.09718
95545663,2026.04.37945
95545665,2026.04.38000
95545667,
