risico_id,nummerplaat,merk,merkcode,model,modelcode,typevoertuig,gebruik,chassis,pvg,eupvg,adr,bouwjaar,btwvrijstelling,cataloguswaarde,catalogusmetbtw,teverzekeren,ingebruikstelling,nummerplaattype,inschrijvingsdatum,schrappingsdatum,terra,maxtoegelaten,dekking_taks,taks_inverkeersstelling
20715033,30WSTP,"IFOR WILLIAMS",,,,,,SCKD00000J0746179,,,,0,0.00,0.00,0.00,0.00,0000-00-00,,0000-00-00,0000-00-00,0,3500,0,0.00
20715037,,"IFOR WILLIAMS",,,,AR,,SCKD00000J0746179,,,,0,0.00,0.00,0.00,0.00,0000-00-00,,0000-00-00,0000-00-00,0,3,0,0.00
20715041,QAHB150,HAPERT,,,,AR,,XLHHV270000739546,,,,0,0.00,0.00,0.00,0.00,0000-00-00,,0000-00-00,0000-00-00,0,3500,0,0.00
20715045,QAJK394,RIBA,,RIBA,,AR,,3625082006,,,,0,0.00,0.00,0.00,0.00,0000-00-00,,0000-00-00,0000-00-00,0,2500,0,0.00
21212084,QAKP167,VLEMMIX,,,,,,XRUV3A00019000434,,,,0,0.00,0.00,0.00,0.00,0000-00-00,,0000-00-00,0000-00-00,0,0,0,0.00
21616600,QAKF618,HELPO,,,,,,20123125,,,,0,0.00,0.00,0.00,0.00,0000-00-00,,0000-00-00,0000-00-00,0,0,0,0.00
22331379,,PACTON,,,,,,XLDTXD33900058529,,,,0,0.00,0.00,0.00,0.00,0000-00-00,,0000-00-00,0000-00-00,0,0,0,0.00
22451034,QALJ219,"BW BW",,,,,,YB82700ABT1849072,,,,0,0.00,0.00,0.00,0.00,0000-00-00,,0000-00-00,0000-00-00,0,0,0,0.00
23059874,QACK501,KOGEL,,,,,,WK0S0002400191435,,,,0,0.00,0.00,0.00,0.00,0000-00-00,,0000-00-00,0000-00-00,0,0,0,0.00
23059877,QAFY729,KOGEL,,,,,,WK0S0002400212599,,,,0,0.00,0.00,0.00,0.00,0000-00-00,,0000-00-00,0000-00-00,0,0,0,0.00
23059982,QABP420,KOGEL,,,,,,WK0S0002400184707,,,,0,0.00,0.00,0.00,0.00,0000-00-00,,0000-00-00,0000-00-00,0,0,0,0.00
23059994,QADZ225,KOGEL,,,,,,WK0S0002400202670,,,,0,0.00,0.00,0.00,0.00,0000-00-00,,0000-00-00,0000-00-00,0,0,0,0.00
