risico_id,nummerplaat,merk,merkcode,model,modelcode,typevoertuig,gebruik,chassis,pvg,eupvg,adr,bouwjaar,vermogen,vermogen_eenheid,aandrijving,brandstof,aantal_deuren,cabrio,sportwagen,terreinwagen,coupe,financiering,cataloguswaarde,catalogusmetbtw,biv,teverzekeren,toebehoren,isbestuurder,in_rust,bonus_malus,bonus_malus_aangepast,ingebruikstelling,cilinder,zitplaatsen,stalling,modeljaar,febiacid,tweedehands,facturatiewaarde
20686931,1SUK448,CITROEN,,XSARAPICASSO,,VP,12,VF7CH9HYB39972216,,,,2005,80,1,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,2020-01-01,2005-09-30,0,6,,,,0,
20705022,1WUS926,VOLVO,,C30,,,11,YV1MK84E1B2235521,,,,0,84,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-2,2020-01-06,2010-12-10,0,5,,,,0,
20705038,1XHA429,PEUGEOT,,BIPPER,,CT,31,VF3AA8HSC94883106,U01598,,,2010,50,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,4,2020-01-06,2010-01-04,0,2,,,,0,
20714365,DIV,KIA,,RIO,,,12,WAUZZZ8P6CA000938,,,,0,73,1,,1,0,0,0,0,0,0,16603.31,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2018-09-07,0,5,0,,,0,
20714369,1BVU081,FORD,,TRANSIT,,CT,31,WF0FXXTTFF9J64038,U00961,,,2009,103,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2009-02-10,2198,3,0,,,0,
20714373,1VDA203,FIAT,,DOBLO,,,64,ZFA26300006J77162,,,,0,77,1,,2,0,0,0,0,0,0,12957.00,0.00,0.00,12957.00,0.00,0,0,-1,2020-01-29,2018-10-01,0,3,0,,,0,
20714377,,SUZUKI,,ALTO,,,12,,,,,0,50,1,,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2010-05-20,0,5,0,,,0,
20714381,1RJD896,SUZUKI,,ALTO,,,12,MA3GFC31S00289593,,,,0,50,1,,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2010-05-20,0,5,0,,,0,
20714385,1VHX683,MERCEDES,,"C 220",,VP,12,WDD2050041F022995,401889,,,2014,120,1,,2,0,0,0,0,0,0,28400.00,0.00,0.00,0.00,0.00,1,0,6,2020-01-29,2014-05-02,1998,5,0,,,0,
20714389,1HAB386,PEUGEOT,,BOXER,,CT,31,VF3YBBMFB11451388,U01096,,,2008,88,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2008-06-06,2198,3,0,,,0,
20714393,1NKL378,CITROEN,,JUMPY,,CT,31,VF7VFAHKHHZ092704,,,,2018,90,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,2020-01-31,2018-01-12,1997,3,0,,,0,
20714397,1THH859,FORD,,TRANSIT,,CT,31,WF05XXBDF57E05405,911052,,,2007,63,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-1,2020-01-31,2007-09-05,2500,3,0,,,0,
20714401,1THT861,Mercedes,,Sprinter,,CT,,WDB9066331P550571,,,,2017,120,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2017-11-10,2143,0,0,,,0,
20714405,GEEN,Renault,,Laguna,,,,VF1KGRR0633196889,,,,2005,79,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2005-02-11,1870,0,0,,,0,
20714409,1FAD113,SEAT,,LEON,,,12,VSSZZZ1PZAR024179,,,,0,66,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,2020-01-29,2009-10-23,0,5,0,,,0,
20714417,DIV,KUBOTA,,KX,,,64,JKUK0424V01H50378,,,,0,0,,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2018-05-28,0,3,0,,,0,
20714433,1VFY708,PEUGEOT,,PARTNER,,,64,VF37BBHY6JN538724,,,,0,73,1,,2,0,0,0,0,0,0,10886.78,0.00,0.00,10886.78,0.00,0,0,-2,2020-01-29,2018-09-27,0,3,0,,,0,
20714437,DIV,NECO,,ZN50QT-30A,,L2,12,L5YAUCBB3D1125334,,,,0,0,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2016-10-31,49,0,0,,,0,
20714441,1VGX015,FIAT,,DOBLO,,,64,ZFA26300006M03393,,,,0,77,1,,2,0,0,0,0,0,0,12376.86,0.00,0.00,12376.86,0.00,0,0,-2,2020-01-29,2018-11-08,0,3,0,,,0,
20714445,DIV,RENAULT,,CLIO,,,12,VF1CR1G0H36645337,,,,0,50,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2006-09-19,0,5,0,,,0,
20714449,1EKQ771,VOLKSWAGEN,,GOLF,,VP,12,WVWZZZ1KZBW007025,465595,,,2010,77,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2010-06-21,0,5,0,,,0,
20714453,1PZE804,VOLKSWAGEN,,GOLF,,,12,WVWZZZ9NNZ4Y19120,,,,0,55,1,,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2004-03-23,0,5,0,,,0,
20714457,1UFM419,RENAULT,,TRAFIC,,,64,VF1FLAHA6AV372690,,,,0,84,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-2,2023-04-11,2010-02-01,0,3,0,,,0,
20714461,1UBH190,MERCEDES,,VITO,,,64,WDF44770313441769,,,,0,100,1,,2,0,0,0,0,0,0,36200.00,0.00,0.00,36200.00,0.00,0,0,0,2021-01-12,2018-03-23,0,3,0,,,0,
20714465,1LEE706,VOLKSWAGEN,,CADDY,,,11,WV2ZZZ2KZ8X053239,,,,0,77,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2007-10-25,0,5,0,,,0,
20714469,DIV,CITROEN,,C5,,,11,VF7RC9HZC76699999,,,,0,80,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,2005-10-13,0,5,0,,,0,
20714473,1TLD134,PEUGEOT,,306,,,12,VF37DNFTF33211101,,,,0,74,1,,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,0000-00-00,2001-02-01,0,5,0,,,0,
20714477,1VLF666,HYUNDAI,,I20,,,12,NLHBB51RACZ076142,,,,0,66,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,2020-01-29,2012-09-11,0,5,0,,,0,
20714481,1VLV423,FIAT,,DUCATO,,CT,31,ZFA25000002088613,U01137,,,2011,74,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,2020-01-31,2011-11-14,0,3,0,,,0,
20714485,TUTKU,PORSCHE,,CAYENNE,,VP,11,WP1ZZZ92ZGLA59791,,,,2015,245,1,,7,0,0,1,1,0,0,0.00,0.00,0.00,50000.00,0.00,0,0,-2,2020-01-31,2015-08-24,0,5,0,,,0,
20714489,1TUB879,IVECO,,"19 E30",,,,WJMA1VMT00C011025,,,,0,220,1,,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000-00-00,0000-00-00,0,3,0,,,0,
