risico_id,kleur,eigendomstype,aantal_staanplaatsen,btw_vrijstelling,nummerplaattype,specialenummerplaat,inschrijvingsdatum,schrappingsdatum,terra,maxtoegelaten,maxtoegelatentrein,vloot,erkend_antidiefstal,antidiefstal1,antidiefstal2,antidiefstal3,automatic_emergency_braking,adaptive_cruise_control,lane_support,blind_spot_check,attention_assist,ecall,automatic_parking,parking_aid,km_per_jaar,co2_emissie
20686931,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20705022,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20705038,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714365,,,5,0,,,0000-00-00,0000-00-00,0,1760,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714369,,1,3,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714373,,2,3,51,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714377,,,5,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714381,,,5,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714385,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,1,11,,,0,0,0,0,0,0,0,0,,
20714389,,1,3,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714393,,1,3,0,,NM,0000-00-00,0000-00-00,0,1938,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714397,,1,3,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714401,,1,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714405,,,0,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
