risico_id,kw,pk,cc,kwh
20686931,80,,,
20705022,84,,,
20705038,50,,,
20714365,73,,,
20714369,103,,,
20714373,77,,,
20714377,50,,,
20714381,50,,,
20714385,120,,,
20714389,88,,,
20714393,90,,,
20714397,63,,,
20714401,120,,,
20714405,79,,,
20714409,66,,,
20714433,73,,,
20714441,77,,,
20714445,50,,,
20714449,77,,,
20714453,55,,,
20714457,84,,,
20714461,100,,,
20714465,77,,,
20714469,80,,,
20714473,74,,,
20714477,66,,,
20714481,74,,,
20714485,245,,,
20714489,220,,,
20714493,92,,,
20714497,85,,,
20714501,85,,,
20714505,92,,,
20714509,66,,,
20714513,147,,,
20714521,75,,,
20714525,85,,,
20714529,89,,,
20714533,85,,,
20714537,147,,,
20714541,132,,,
20714545,234,,,
20714549,147,,,
20714553,90,,,
20714557,132,,,
20714561,81,,,
20714565,155,,,
20714569,110,,,
20714573,250,,,
20714577,53,,,
20714581,65,,,
20714585,50,,,
20714589,133,,,
20714593,125,,,
20714597,125,,,
20714601,51,,,
20714605,88,,,
20714609,66,,,
20714613,61,,,
20714617,190,,,
20714621,120,,,
20714625,173,,,
20714629,61,,,
20714633,125,,,
20714637,62,,,
20714641,47,,,
20714645,55,,,
20714649,88,,,
20714653,66,,,
20714657,44,,,
20714661,190,,,
20714669,110,,,
20714677,40,,,
20714681,85,,,
20714685,66,,,
20714689,81,,,
20714697,143,,,
20714701,40,,,
20714705,55,,,
20714709,100,,,
20714713,120,,,
20714717,77,,,
20714721,90,,,
20714725,77,,,
20714729,69,,,
20714733,190,,,
20714737,100,,,
20714741,130,,,
20714745,63,,,
20714753,85,,,
20714757,66,,,
20714761,92,,,
20714765,77,,,
20714773,77,,,
20714777,84,,,
20714785,165,,,
20714789,77,,,
20714793,88,,,
20714797,66,,,
20714801,100,,,
20714805,84,,,
20714809,77,,,
20714813,120,,,
20714817,200,,,
20714821,55,,,
20714825,74,,,
20714829,250,,,
20714833,100,,,
20714837,70,,,
20714841,73,,,
20714845,74,,,
20714849,92,,,
20714853,77,,,
20714857,205,,,
20714861,81,,,
20714865,142,,,
20714869,107,,,
20714873,105,,,
20714877,96,,,
20714881,107,,,
20714885,210,,,
20714889,190,,,
20714893,110,,,
20714897,66,,,
20714901,66,,,
20714905,85,,,
20714909,140,,,
20714913,44,,,
20714921,109,,,
20714925,81,,,
20714929,105,,,
20714933,75,,,
20714937,75,,,
20714941,80,,,
20714945,92,,,
20714949,88,,,
20714957,183,,,
20714961,63,,,
20714965,140,,,
20714969,94,,,
20714973,81,,,
20714977,100,,,
20714985,110,,,
20714989,115,,,
20714993,66,,,
20714997,140,,,
20715001,66,,,
20715005,81,,,
20715009,55,,,
20715013,96,,,
20715017,68,,,
20715021,125,,,
20715025,52,,,
20715029,88,,,
20716966,82,,,
20718040,100,,,
20718640,85,,,
20733722,92,,,
20733726,66,,,
20737599,85,,,
20740224,85,,,
20740228,88,,,
20740232,107,,,
20745607,100,,,
20745614,73,,,
20745875,180,,,
20748923,66,,,
20755148,143,,,
20762036,85,,,
20764959,110,,,
20773027,85,,,
20773158,130,,,
20773161,81,,,
20773164,40,,,
20773167,110,,,
20773195,88,,,
20773205,80,,,
20773208,120,,,
20773211,77,,,
20773339,44,,,
20773348,100,,,
20773354,120,,,
20773423,100,,,
20775934,66,,,
20775937,109,,,
20776753,100,,,
20776756,147,,,
20778913,130,,,
20779199,81,,,
20779205,44,,,
20779249,81,,,
20779849,375,,,
20781381,130,,,
20783367,100,,,
20783403,155,,,
20784854,132,,,
20784918,48,,,
20787707,44,,,
20790732,63,,,
20796446,66,,,
20796450,183,,,
20796937,100,,,
20798630,60,,,
20806026,132,,,
20812405,55,,,
20812422,120,,,
20814746,55,,,
20814758,90,,,
20818404,120,,,
20880152,59,,,
20882890,85,,,
20886053,66,,,
20894752,81,,,
20894881,180,,,
20894884,120,,,
20904362,75,,,
20904605,90,,,
20908951,180,,,
20913601,107,,,
20914035,65,,,
20914597,110,,,
20915204,120,,,
20924707,120,,,
20928028,220,,,
20928031,66,,,
20928112,120,,,
20928537,55,,,
20929718,60,,,
20930311,100,,,
20930780,51,,,
20940379,47,,,
20940380,80,,,
20940383,73,,,
20946293,75,,,
20954669,96,,,
20961333,220,,,
20990331,70,,,
20991101,59,,,
20993337,51,,,
20994585,110,,,
20994590,118,,,
21119219,44,,,
21120236,115,,,
21156365,105,,,
21157300,150,,,
21157304,66,,,
21158845,66,,,
21159079,66,,,
21160036,43,,,
21160165,110,,,
21186859,183,,,
21212082,120,,,
21219167,95,,,
21219169,50,,,
21389950,48,,,
21431326,120,,,
21603522,66,,,
21603524,73,,,
21603696,100,,,
21616597,81,,,
21621981,88,,,
21621983,95,,,
21623480,250,,,
21627836,106,,,
21628935,51,,,
21629139,172,,,
21629654,84,,,
21629657,70,,,
21629666,84,,,
21629697,103,,,
21634154,96,,,
21634159,96,,,
21634166,130,,,
21635747,70,,,
21635861,80,,,
21636534,100,,,
21661443,100,,,
21661826,55,,,
21661934,103,,,
21668505,110,,,
21670640,100,,,
21673475,95,,,
21673481,95,,,
21678848,80,,,
21678849,135,,,
21687318,77,,,
21690684,77,,,
21691458,150,,,
21691704,100,,,
21691806,121,,,
21691818,74,,,
21692206,135,,,
21693356,180,,,
21713157,55,,,
21713473,120,,,
21721122,120,,,
21724388,130,,,
21726929,80,,,
21726942,133,,,
21726943,77,,,
21740211,118,,,
21740229,50,,,
21740249,95,,,
22201220,100,,,
22201297,81,,,
22201328,92,,,
22212306,59,,,
22212999,85,,,
22213005,70,,,
22213176,51,,,
22213188,66,,,
22216170,118,,,
22216260,103,,,
22216310,96,,,
22217607,88,,,
22218275,95,,,
22307471,176,,,
22307474,103,,,
22309923,85,,,
22310273,70,,,
22311059,100,,,
22311900,100,,,
22316961,110,,,
22335300,70,,,
22336179,100,,,
22338719,92,,,
22339997,120,,,
22340717,85,,,
22350207,121,,,
22350306,140,,,
22350597,54,,,
22350600,107,,,
22352013,130,,,
22352717,100,,,
22354792,55,,,
22354847,120,,,
22355378,66,,,
22357425,194,,,
22362840,110,,,
22363685,85,,,
22366208,60,,,
22370541,44,,,
22371234,44,,,
22371258,120,,,
22372503,73,,,
22394898,85,,,
22394972,120,,,
22394975,90,,,
22394978,105,,,
22394981,120,,,
22394984,105,,,
22394987,95,,,
22394990,103,,,
22394993,130,,,
22394996,96,,,
22394999,190,,,
22434915,66,,,
22436112,50,,,
22436700,100,,,
22436964,125,,,
22439691,80,,,
22440452,53,,,
22448442,66,,,
22449763,55,,,
22451031,176,,,
22463004,54,,,
22463142,74,,,
22464099,43,,,
22465272,280,,,
22466001,44,,,
22468160,80,,,
22478397,85,,,
22497465,65,,,
22507143,92,,,
22511163,375,,,
22511976,133,,,
22513328,66,,,
22527609,155,,,
22527689,90,,,
22533198,210,,,
22537190,66,,,
22538734,66,,,
22552799,74,,,
22554041,50,,,
22555230,66,,,
22558364,80,,,
22559604,46,0,0,0
22562244,172,,,
22562280,120,,,
22562972,91,,,
22564073,135,,,
22570207,80,,,
22572345,120,,,
22572516,77,,,
22575731,110,,,
22576092,110,,,
22579269,103,,,
22581132,96,,,
22581591,55,,,
22586529,105,,,
22592364,105,,,
22592589,85,,,
22593459,44,,,
22598985,95,,,
22599306,257,,,
22599906,55,,,
22600446,103,,,
22600458,80,,,
22601822,103,,,
22603811,120,,,
22605794,55,,,
22606536,180,,,
22610415,180,,,
22610418,120,,,
22610805,75,,,
22610808,130,,,
22612182,120,,,
22613198,121,,,
22614804,110,,,
22618494,96,,,
22618890,48,,,
22625849,74,,,
22627311,66,,,
22629528,80,,,
22634561,66,,,
22637297,55,,,
22638188,133,,,
22654593,95,,,
22656930,70,,,
22656989,96,,,
22657476,66,,,
22658468,55,,,
22661663,125,,,
22665072,103,,,
22665285,44,,,
22665546,77,,,
22666517,190,,,
22667478,143,,,
22669577,96,,,
22671770,77,,,
22688954,85,,,
22691784,110,,,
22692072,103,,,
22692671,150,,,
22692761,141,,,
22696052,100,,,
22697294,43,,,
22698632,54,,,
22699271,130,,,
22699301,55,,,
22703600,55,,,
22706871,190,,,
22710302,96,,,
22723760,55,,,
22724366,68,,,
22725662,110,,,
22735820,53,,,
22737999,183,,,
22739007,76,,,
22744613,190,,,
22749021,66,,,
22759007,215,,,
22760883,74,,,
22760892,74,,,
22761146,55,,,
22769654,155,,,
22770534,55,,,
22772633,143,,,
22773968,55,,,
22773979,44,,,
22774082,48,,,
22774223,85,,,
22789097,55,,,
22789224,118,,,
22789256,107,,,
22797267,95,,,
22798473,55,,,
22802177,250,,,
22805343,96,,,
22811811,50,,,
22812611,80,,,
22812951,75,,,
22814456,96,,,
22902195,66,,,
22902398,66,,,
22903091,110,,,
22903388,140,,,
22903493,155,,,
22903700,330,,,
22947942,44,,,
22984455,324,,,
22984530,120,,,
23059751,50,,,
23059853,340,,,
23060012,240,,,
23060567,88,,,
23068322,96,,,
23068358,81,,,
23069409,48,,,
23071355,140,,,
23076246,100,,,
23077694,95,,,
23083329,150,,,
23083695,105,,,
23085788,52,,,
23087543,180,,,
23087549,150,,,
23087561,85,,,
23087567,147,,,
23087616,132,,,
23088332,103,,,
23091327,110,,,
23092248,100,,,
23092251,77,,,
23094339,59,,,
23095563,120,,,
23095857,90,,,
23099880,310,,,
23099895,180,,,
23100422,120,,,
23100690,66,,,
23102571,44,,,
23106056,43,,,
23106405,56,,,
23109456,456,,,
23110674,80,,,
23112372,78,,,
23116053,190,,,
23117091,85,,,
23117475,44,,,
23117847,81,,,
23118300,81,,,
23129963,420,,,
23129985,120,,,
23165644,84,,,
23169088,140,,,
23197690,210,,,
23199028,103,,,
23199037,96,,,
23201098,346,,,
23201134,353,,,
23201572,110,,,
23204293,43,,,
23205506,77,,,
23208301,55,,,
23212364,90,,,
23216698,120,,,
23220715,172,,,
23221199,81,,,
23221300,96,,,
23221802,100,,,
23437664,0,0,0,0
23488314,0,0,0,0
23861901,0,0,0,0
23885115,0,0,0,0
23904518,0,0,0,0
24190221,0,0,0,0
24281071,0,0,0,0
24370306,85,0,0,0
24375575,0,0,0,0
24566335,80,0,0,0
24590300,0,0,0,0
24594520,0,0,0,0
24612838,0,0,0,0
24758628,0,0,0,0
24765008,0,0,0,0
24832616,0,0,0,0
24901452,0,0,0,0
25174426,0,0,0,0
25220037,0,0,0,0
25256794,0,0,0,0
25260297,0,0,0,0
25271898,0,0,0,0
25287624,0,0,0,0
25762086,0,0,0,0
25821530,0,0,0,0
25829981,,,,
25829984,,,,
25829990,,,,
25829993,,,,
25829996,,,,
25829999,,,,
25830002,,,,
25830005,,,,
25830008,,,,
25830014,,,,
25830017,,,,
25830020,,,,
25830023,,,,
25830026,,,,
25830029,,,,
25830032,,,,
25834319,0,0,0,0
25872668,0,0,0,0
25880319,0,0,0,0
25896008,,,,
25899039,,,,
25899187,,,,
25899234,,,,
25902623,330,,,
25902950,210,,,
25903141,,,,
25903205,,,,
25904344,,,,
25905321,,,,
25905327,,,,
25905663,,,,
25906217,0,0,0,0
25906811,375,,,
25909840,77,0,1598,0
25912796,,,,
25912798,,,,
25913142,0,0,0,0
25914338,,,,
25915294,,,,
25915347,,,,
25917175,155,155,,
25917967,,,,
25918899,,,,
25919434,,,,
25923399,,,,
25924691,,,,
25925705,,,,
25927325,,,,
25927711,,,,
25928675,,,,
25929751,0,0,0,0
25957089,,,,
25957962,,,,
25959508,,,,
25961308,95,,1995,
25961312,,,,
25964319,,,,
25967238,,,,
25967240,,,,
25967242,,,,
25967244,,,,
25970323,0,0,0,0
25978981,275,374,2998,
25985058,0,0,0,0
25996663,,,,
26023718,180,,1997,
26041173,,,,
26041175,,,,
26082418,0,0,0,0
26083228,,,,
26100912,,,,
26103807,,,,
26105132,,,,
26105141,0,0,0,0
26107595,,,,
26107790,,,,
26113383,,,,
26118176,,,,
26118598,,,,
26118643,,,,
26118646,,,,
26118821,,,,
26118837,,,,
26119313,,,,
26119467,,,,
26119993,,,,
26120042,,,,
26120073,,,,
26120075,,,,
26120091,,,,
26120093,,,,
26120140,,,,
26145589,,,,
26145611,,,,
26145637,,,,
26145644,,,,
26145648,,,,
26145695,,,,
26145736,,,,
26145763,,,,
26145769,,,,
26145789,,,,
26145799,,,,
26146671,,,,
26146783,,,,
26147842,0,0,0,0
26147849,,,,
26147853,,,,
26147855,,,,
26148004,,,,
26148011,,,,
26148013,,,,
26148057,,,,
26148070,,,,
26148074,,,,
26148086,,,,
26148141,,,,
26148265,,,,
26148271,,,,
26148273,,,,
26148279,,,,
26148285,,,,
26148327,,,,
26148343,,,,
26148349,,,,
26148401,,,,
26148827,,,,
26148939,,,,
26149007,,,,
26149084,,,,
26149098,,,,
26149103,,,,
26149106,,,,
26149117,,,,
26149125,,,,
26149135,,,,
26149139,,,,
26149155,,,,
26149167,,,,
26149420,,,,
26149459,,,,
26149465,,,,
26149494,,,,
26150019,,,,
26150185,,,,
26150793,,,,
26151222,,,,
26151249,,,,
26151295,0,0,0,0
26151307,,,,
26151311,,,,
26151321,,,,
26151323,,,,
26151325,,,,
26151329,,,,
26151365,,,,
26151421,,,,
26151423,,,,
26151436,,,,
26151475,0,0,0,0
26151489,0,0,0,0
26151493,,,,
26151515,,,,
26151660,,,,
26151666,,,,
26151667,,90,1599,
26151786,,,,
26151791,,,,
26152063,,,,
26152079,,,,
26152087,,,,
26152111,,,,
26152113,,,,
26152158,,,,
26152174,,,,
26152226,,,,
26152228,,,,
26152298,,,,
26152369,,,,
26152371,,,,
26152375,,,,
26152379,,,,
26152396,,,,
26152406,,,,
26152409,,,,
26152423,,,,
26152425,,,,
26152427,,,,
26152431,,,,
26152446,,,,
26152448,,,,
26152450,,,,
26152451,,,,
26152453,,,,
26152457,,,,
26152459,,,,
26152468,,,,
26152478,,,,
26152493,,,,
26152518,,,,
26152523,,,,
26152543,,,,
26152581,,,,
26152583,,,,
26152602,,,,
26152604,,,,
26152625,,,,
26152630,,,,
26152675,,,,
26152679,,,,
26152681,,,,
26152719,,,,
26152723,,,,
26152727,,,,
26152729,,,,
26152735,,,,
