risico_bet_id,bet_type_id,risico_id,omschrijving
6816646,58188493,20705022,
6818525,58189161,20713621,
6818577,58189041,20713625,
6818681,58190121,20713633,
6818765,58190137,20713649,
6818789,58188789,20713653,
6818809,58190141,20713657,
6818825,58188809,20713661,
6818929,58188845,20713673,
6819061,58190157,20713681,
6819105,58190161,20713685,
6819165,58190169,20713693,
6819197,58190173,20713697,
6819225,58190177,20713701,
6819241,58190181,20713705,
6819269,58190189,20713717,
6819285,58190193,20713721,
6819293,58190025,20713725,
6819317,58190205,20713733,
6819353,58190209,20713737,
6819433,58190217,20713745,
6819461,58190221,20713749,
6819517,58190225,20713753,
6819605,58190237,20713765,
6819613,58190237,20713769,
6819689,58189853,20713781,
6819697,58189865,20713785,
6819705,58189853,20713789,
6819881,58190269,20713805,
6819957,58190273,20713809,
6819985,58190277,20713813,
6820061,58190285,20713821,
6820081,58190289,20713829,
6820165,58188901,20713841,
6820169,58190301,20713845,
6820193,58190305,20713849,
6820265,58189481,20713857,
6820365,58189537,20713861,
6820397,58189553,20713865,
6820481,58189553,20713877,
6820493,58189589,20713881,
6820637,58189289,20713893,
6820701,58189321,20713897,
6820721,58189337,20713901,
6820817,58189393,20713917,
6820973,58188341,20713925,
6820985,58188345,20713929,
6821001,58190365,20713933,
6821097,58188397,20713941,
6821157,58188445,20713949,
6821177,58188965,20713953,
6821321,58188505,20713965,
6821429,58188633,20713969,
6821485,58188645,20713985,
6821517,58188649,20713993,
6821577,58188685,20713997,
6821613,58188513,20714005,
6821745,58188801,20714013,
6818381,58188893,20714017,
6818421,58188945,20714021,
6818505,58189161,20714025,
6818581,58189041,20714029,
6818593,58189049,20714033,
6818661,58188749,20714037,
6818717,58188773,20714041,
6818749,58188777,20714045,
6818769,58189009,20714049,
6818793,58188789,20714053,
6818813,58188801,20714057,
6818833,58188809,20714061,
6818909,58188769,20714065,
6818937,58188845,20714069,
6818949,58188769,20714073,
6819065,58189949,20714077,
6819161,58189981,20714081,
6819169,58189985,20714085,
6819229,58190005,20714089,
6819245,58190009,20714093,
6819273,58190017,20714097,
6819357,58189981,20714101,
6819389,58189773,20714105,
6819437,58189781,20714109,
6819441,58189781,20714113,
6819445,58189781,20714117,
6819521,58189805,20714121,
6819561,58189809,20714125,
6819585,58346161,20714129,
6819609,58189821,20714133,
6819621,58189821,20714137,
6819701,58189865,20714141,
6819709,58189853,20714145,
6819713,58189873,20714149,
6819821,58189637,20714161,
6819885,58189657,20714165,
6819961,58189685,20714169,
6819989,58189689,20714173,
6819993,58189689,20714177,
6820033,58189705,20714181,
6820065,58189721,20714185,
6820085,58189725,20714189,
6820089,58189725,20714193,
6820109,58189729,20714197,
6820161,58189749,20714201,
6820173,58189769,20714205,
6820197,58189953,20714209,
6820217,58189469,20714213,
6820373,58189537,20714217,
6820401,58189553,20714221,
6820449,58189573,20714225,
6820469,58189513,20714229,
6820501,58189589,20714233,
6820513,58189597,20714237,
6820557,58189609,20714241,
6820569,58189461,20714245,
6820641,58189289,20714249,
6820661,58188869,20714253,
6820705,58188721,20714257,
6820725,58189337,20714261,
6820785,58189369,20714269,
6820801,58189385,20714273,
6820829,58189393,20714277,
6820993,58188345,20714285,
6821005,58188353,20714289,
6821089,58189609,20714297,
6821093,58189609,20714301,
6821105,58188397,20714305,
6821165,58188445,20714313,
6821173,58188965,20714317,
6821249,58188505,20714321,
6821317,58188553,20714325,
6821465,58188633,20714333,
6821481,58188645,20714337,
6821501,58189697,20714341,
6821525,58188649,20714345,
6821549,58189949,20714349,
6821585,58188685,20714353,
6821597,58188697,20714357,
6821617,58188513,20714361,
6818389,58188893,20714365,
6818393,58188897,20714365,
6818397,58188901,20714369,
6818405,58188937,20714373,
6818409,58188937,20714373,
6818429,58188945,20714377,
6818433,58188949,20714377,
6818437,58188945,20714381,
6818441,58188949,20714381,
6818449,58188745,20714385,
6818453,58188745,20714385,
6818457,58188901,20714389,
6818461,58188901,20714393,
6818465,58188901,20714397,
6818469,58188917,20714401,
6818473,58188957,20714405,
6818485,58188989,20714409,
6818513,58189009,20714417,
6818517,58189013,20714417,
6818553,77903967,20714437,
6818557,58189037,20714437,
6818565,58188937,20714441,
6818573,58188937,20714441,
6818601,78770277,20714445,
6818605,58188717,20714445,
6818609,58188721,20714449,
6818613,58188725,20714449,
6818617,58189009,20714453,
6818621,58188729,20714453,
6818637,58188737,20714461,
6818641,58188733,20714465,
6818645,58189045,20714465,
6818649,58189009,20714469,
6818653,58189013,20714469,
6818669,58188749,20714473,
6818673,58188753,20714473,
6818693,58188765,20714477,
6818709,58188901,20714481,
6818737,58188953,20714485,
6818757,58189009,20714489,
6818773,58188557,20714493,
6818801,58168943,20714497,
6818805,58188797,20714497,
6818845,58168943,20714501,
6818849,58188797,20714501,
6818857,58188557,20714505,
6818873,58188817,20714509,
6818877,58188821,20714509,
6818881,58188825,20714513,
6834873,58188841,20714521,
6818921,58168943,20714525,
6818925,58188797,20714525,
6818957,58188857,20714529,
6818969,58188865,20714533,
6818973,58189009,20714537,
6818977,58189009,20714541,
6818981,58189009,20714545,
6818985,58189009,20714549,
6819009,58189925,20714553,
6819773,58189841,20714557,
6819777,58256233,20714557,
6819781,58189865,20714561,
6832372,58256233,20714565,
6820045,58189709,20714569,
6820049,58189009,20714573,
6820057,58189717,20714577,
6820141,58189733,20714581,
6820145,58189737,20714581,
6820149,58189741,20714585,
6820153,58189745,20714585,
6820209,58189465,20714589,
6820229,58189473,20714593,
6820237,58188929,20714597,
6820245,58188929,20714601,
6820249,58189741,20714605,
6820253,58189477,20714605,
6820257,58189741,20714609,
6820281,58189481,20714613,
7216803,58253144,20714617,
6820297,58189481,20714621,
6820301,58189481,20714625,
6820313,58189481,20714629,
6820333,58189509,20714633,
6820337,58189505,20714633,
6820341,58189513,20714637,
6820345,58189505,20714637,
6820353,58189521,20714641,
6820357,58189525,20714645,
6820381,58189741,20714649,
6820385,58189741,20714653,
6820393,58189557,20714657,
6820409,58189553,20714661,
6820417,59032603,20714665,
6820465,58189577,20714669,
6820489,58189585,20714677,
6820521,58189597,20714681,
6820525,58189601,20714681,
6820541,58189609,20714685,
6820545,58189613,20714685,
6820581,58188857,20714689,
6820601,58189273,20714697,
6820609,58188997,20714701,
6820621,58188997,20714705,
6820629,58189285,20714709,
6832812,58189293,20714713,
6820685,58189741,20714717,
6820689,58189745,20714717,
6820693,58189313,20714721,
6820697,58189317,20714721,
6820709,58189325,20714725,
6820713,58189333,20714725,
6820717,58189317,20714725,
6820737,58189349,20714729,
6820761,58189585,20714733,
6820765,58189365,20714737,
6820769,58189369,20714741,
6820773,58189373,20714741,
6820793,58189381,20714745,
6820813,58189345,20714749,
6820869,58189405,20714753,
6820877,58189413,20714757,
6820885,58256233,20714761,
6832378,58189421,20714761,
6820909,58189433,20714765,
6820913,58189437,20714765,
6820929,58189741,20714773,
6820933,58189741,20714777,
6820949,58188857,20714785,
6820961,80014082,20714789,
6820965,80014082,20714793,
6821029,58189741,20714797,
6821041,80014082,20714805,
6821045,58189741,20714809,
7131939,59548227,20714813,
6821065,58189369,20714817,
6821069,58189373,20714817,
6821077,58188377,20714821,
6821085,58188385,20714825,
6821113,58189009,20714829,
6821133,58188425,20714833,
6821137,58188421,20714833,
6821145,58188421,20714837,
7216794,67647984,20714837,
6821153,58189585,20714841,
6821201,58188469,20714845,
6821205,58188473,20714845,
6821217,58188485,20714849,
6821221,58188489,20714853,
6821225,58188493,20714853,
6821241,58188501,20714861,
6821265,58188537,20714865,
6821269,58188541,20714869,
6821277,58188545,20714873,
6821281,58188541,20714877,
6821285,58188541,20714881,
6821293,58188545,20714885,
6821301,58188549,20714889,
6821305,58188541,20714893,
6821333,58189925,20714897,
6821345,58188565,20714901,
6821353,58188565,20714905,
6821377,58188589,20714913,
6821381,58188593,20714913,
6821409,58188605,20714921,
6821417,58188625,20714925,
6821425,58189437,20714929,
6821445,58189957,20714933,
6821449,58189957,20714937,
6821453,58189957,20714941,
6821461,58188637,20714945,
6821473,58188605,20714949,
6821553,58188653,20714961,
6821557,58188669,20714961,
6821573,58188681,20714969,
6821609,58188701,20714973,
6821625,58188517,20714977,
6821629,58188517,20714981,
6821645,58188389,20714985,
6821653,58188725,20714989,
6821661,58188533,20714993,
7366753,76209883,20714997,
6821697,58190073,20715001,
6821713,58188529,20715005,
6821717,58188533,20715005,
6821725,58189505,20715009,
6821737,58189173,20715013,
8608063,80230279,20715017,
6821761,58188705,20715021,
6821765,58188705,20715025,
6821773,58188709,20715029,
6818777,58188557,20715033,
6818861,58188557,20715037,
6818989,58189009,20715041,
6821025,58168943,20715045,
6818385,58188893,20715049,
6818425,58188945,20715053,
6818509,58189161,20715057,
6818529,58189161,20715061,
6818585,58189041,20715065,
6818665,58188749,20715069,
6818677,58188733,20715073,
6818721,58188773,20715077,
6818725,58188901,20715081,
6818785,58188789,20715085,
6818837,58188809,20715093,
6818853,58168943,20715097,
6818941,58188845,20715101,
6818997,58188869,20715105,
6819001,58190153,20715105,
6819013,58189929,20715109,
6819017,58189933,20715113,
6819029,58189937,20715117,
6819041,58189941,20715121,
6819053,58189945,20715125,
6819069,58189949,20715129,
6819077,58189949,20715133,
6819125,58189965,20715137,
6819149,58189977,20715149,
6819153,58189977,20715153,
6819173,58189985,20715157,
6819177,58189985,20715161,
6819249,58190009,20715165,
6819321,58190045,20715169,
6819333,58190045,20715173,
6819345,58190009,20715177,
6819349,58190049,20715181,
6819365,58189981,20715185,
6819373,58190053,20715189,
6819377,58190053,20715193,
6819381,58190053,20715197,
6819393,58189773,20715201,
6819405,58188801,20715205,
6819417,58189777,20715217,
6819429,58188769,20715221,
6819453,58189781,20715225,
6819465,58189785,20715229,
6819485,58189789,20715233,
6819489,58189793,20715237,
6819493,58189957,20715241,
6819497,58189797,20715245,
6819501,58189801,20715249,
6819513,58190033,20715253,
6819525,58189805,20715257,
6819533,58189805,20715261,
6819545,58190025,20715265,
6819569,58189809,20715269,
6819593,58346161,20715273,
6819601,58189817,20715277,
6819629,58189821,20715281,
6819637,58189825,20715285,
6819641,58189829,20715289,
6819649,58189829,20715293,
6819661,58189833,20715297,
6819673,58189837,20715301,
6819677,58189841,20715305,
6819681,58189845,20715309,
6819685,58189849,20715313,
6819693,58189853,20715317,
6819717,58189873,20715321,
6819729,58325597,20715325,
6819741,58189853,20715329,
6819745,58256233,20715329,
6819749,58189885,20715333,
6819753,58190253,20715333,
6819757,58189893,20715337,
6819761,73942025,20715337,
6819765,58189901,20715341,
6819769,58190261,20715341,
6819793,58189917,20715345,
6819805,58189629,20715349,
6819809,58189633,20715353,
6819813,58189633,20715357,
6819825,58189637,20715361,
6819837,58189641,20715365,
6819849,58189645,20715369,
6819861,58189649,20715373,
6819873,58189653,20715377,
6819877,58189653,20715381,
6819889,58189657,20715385,
6819893,58189661,20715389,
6819905,58189665,20715393,
6819917,58189669,20715397,
6819921,58189673,20715401,
6819933,58189953,20715405,
6819937,58189677,20715409,
6819949,58189681,20715413,
6819953,58189681,20715417,
6819965,58189685,20715421,
6819973,58189685,20715425,
6819997,58189689,20715429,
6820009,58189693,20715433,
6820013,58189693,20715437,
6820017,58189697,20715441,
6820021,58189697,20715445,
6820025,58189701,20715449,
6820037,58189705,20715453,
6820093,58189725,20715457,
6820113,58189729,20715461,
6820129,58190017,20715469,
6820137,58189969,20715477,
6820177,58189769,20715481,
6820181,58189769,20715485,
6820185,58189769,20715489,
6820201,58189993,20715493,
6820221,58189469,20715497,
6820305,58189481,20715501,
6820309,58190317,20715501,
6820321,58189481,20715505,
6820325,58190325,20715505,
6820377,58189537,20715509,
6820405,58189553,20715513,
6820425,58189569,20715517,
6820437,58189513,20715521,
6820441,58189513,20715525,
6820457,58189573,20715529,
6820461,58189573,20715533,
6820505,58189589,20715537,
6820517,58189597,20715541,
6820533,58077094,20715545,
6820549,58189609,20715549,
6820565,58189617,20715553,
6820573,58189461,20715557,
6820613,58188721,20715561,
6820633,58189289,20715565,
6820669,58188869,20715569,
6820673,58188869,20715573,
6820777,58189369,20715581,
6820805,58189385,20715585,
6820833,58189393,20715589,
6820849,58189621,20715593,
6820893,58189781,20715597,
6820897,58189425,20715601,
6820969,58188341,20715605,
6820997,58188345,20715609,
6821109,58188397,20715613,
6821117,58189009,20715617,
6821169,58188445,20715621,
6821181,58188965,20715625,
6821185,58188461,20715629,
6821189,58188461,20715633,
6821193,58188461,20715637,
6821197,58188465,20715641,
6821209,58188477,20715645,
6821253,58188509,20715649,
6821309,58188553,20715653,
6821325,58189825,20715657,
6821337,58188557,20715661,
6821365,58188585,20715665,
6821385,58188601,20715669,
6821389,58188601,20715673,
6821393,58188601,20715677,
6821437,58188633,20715681,
6821493,58188645,20715685,
6821497,58188645,20715689,
6821529,58188649,20715693,
6821589,58188685,20715697,
6821601,58188697,20715701,
6821621,58188513,20715705,
6821673,58190065,20715709,
6821677,58190073,20715709,
6821685,58190077,20715713,
6821705,58189697,20715717,
6821709,58256233,20715717,
6821757,58188705,20715721,
6818597,58189049,20715725,
6818657,58188749,20715729,
6818685,58188749,20715733,
6818701,58188769,20715737,
6818705,58188769,20715741,
6818729,58188901,20715745,
6818741,58188777,20715749,
6818753,58189009,20715753,
6818761,58189009,20715757,
6818817,58188801,20715765,
6818821,58188801,20715769,
6818865,58188813,20715773,
6818897,58188769,20715781,
6818901,58188769,20715785,
6818905,58188769,20715789,
6818993,58188869,20715793,
6819021,58189933,20715797,
6819025,58189933,20715801,
6819033,58189937,20715805,
6819037,58189937,20715809,
6819045,58189941,20715813,
6819049,58189941,20715817,
6819057,58189945,20715821,
6819085,58189949,20715833,
6819089,58189953,20715837,
6819093,58189953,20715841,
6819097,58189957,20715845,
6819109,58189961,20715853,
6819113,58189961,20715857,
6819117,58189961,20715861,
6819121,58189961,20715865,
6819129,58189965,20715869,
6819137,58189969,20715877,
6819181,58189989,20715881,
6819189,58189993,20715889,
6819193,58189993,20715893,
6819201,58189997,20715897,
6819205,58189997,20715901,
6819209,58189997,20715905,
6819213,58189997,20715909,
6819217,58190001,20715913,
6819221,58190001,20715917,
6819233,58190005,20715921,
6819237,58190005,20715925,
6819261,58188733,20715929,
6819265,58188733,20715933,
6819277,58190017,20715937,
6819281,58190017,20715941,
6819289,58190021,20715945,
6819301,58190025,20715949,
6819305,58190025,20715953,
6819309,58190033,20715957,
6819329,58190045,20715965,
6819337,58190045,20715969,
6819341,58190045,20715973,
6819361,58189981,20715977,
6819369,58189981,20715981,
6819397,58189773,20715985,
6819401,58189773,20715989,
6819421,58189777,20715993,
6819425,58189777,20715997,
6819449,58189781,20716001,
6819457,58189781,20716005,
6819469,58189785,20716009,
6819473,58189785,20716013,
6819477,58189785,20716017,
6819481,58189785,20716021,
6819505,58189801,20716025,
6819509,58189801,20716029,
6819529,58189805,20716033,
6819537,58189805,20716037,
6819541,58189805,20716041,
6819549,58190025,20716045,
6819573,58189809,20716057,
6819577,58189809,20716061,
6819589,58346161,20716065,
6819597,58346161,20716069,
6819633,58189821,20716073,
6819657,58189829,20716085,
6819665,58189833,20716089,
6819669,58189833,20716093,
6819797,58189917,20716097,
6819801,58189917,20716101,
6819829,58189637,20716105,
6819833,58189637,20716109,
6819841,58189641,20716113,
6819845,58189641,20716117,
6819853,58189645,20716121,
6819857,58189645,20716129,
6819865,58189649,20716133,
6819869,58189649,20716137,
6819897,58189661,20716141,
6819901,58189661,20716145,
6819909,58189665,20716149,
6819913,58189665,20716153,
6819925,58189673,20716157,
6819929,58189673,20716161,
6819941,58189677,20716165,
6819945,58189677,20716169,
6819969,58189685,20716173,
6819977,58189685,20716177,
6819981,58189685,20716181,
6820001,58189689,20716185,
6820005,58189689,20716189,
6820077,58189721,20716197,
6820097,58189725,20716201,
6820101,58189725,20716205,
6820117,58189729,20716209,
6820121,58189729,20716213,
6820189,58189457,20716217,
6820261,58189481,20716221,
6820269,58189481,20716225,
6820273,58189481,20716229,
6820277,58189481,20716233,
6820421,58189569,20716237,
6820429,58189569,20716241,
6820453,58189573,20716245,
6820473,58189513,20716249,
6820529,58077094,20716253,
6820561,58189617,20716261,
6820665,58188869,20716265,
6820677,58189009,20716269,
6820681,58189009,20716273,
6820853,58189621,20716277,
6820861,58189161,20716285,
6820901,58189425,20716289,
6820905,58189425,20716293,
6820925,58189741,20716297,
6820957,80014082,20716301,
6820981,58188341,20716305,
6821009,58188353,20716309,
6821013,58188353,20716313,
6821057,58189577,20716317,
6821061,58189577,20716321,
6821257,58188509,20716325,
6821369,58188585,20716333,
6821373,58188585,20716337,
6821489,58188645,20716341,
6821509,58189697,20716345,
6821513,58189697,20716349,
6821681,58190077,20716353,
6821701,58190081,20716361,
6821729,58190065,20716365,
6821741,58189525,20716369,
6825126,58206230,20733722,
6825775,58209519,20737599,
6826156,58212132,20740224,
6826160,58212140,20740228,
6829000,58225508,20755148,
6830495,58245607,20764959,
6830499,58245611,20764959,
6831790,58253044,20773027,
6831793,58253047,20773027,
6831807,77703390,20773161,
6831810,58253115,20773167,
7272659,68619965,20773195,
6831815,58253153,20773211,
6831820,58253227,20773339,
6831823,58245607,20773354,
6831841,58179455,20773423,
7182785,58188449,20779199,
7182788,63899147,20779199,
7182791,58188609,20779199,
