risico_id,bouwjaar,adres_is_verzekeringsnemer,hoedanigheid,gebruik,typeverblijf,woningtype,woningdetail,bestemming,aard,constructie,dakbedekking,dakbedekkingdetail,voorlopige_oplevering,opbouw,zonnepanelen,address_id,rooster,rooster_index,kapitaal,kapitaal_index,type,omschrijving
20686935,0,0,02,,,2,,,,,,,0000-00-00,0,0,33149531,0.00,0,200000.00,819,010,
20686939,0,0,02,,,2,,,,,,,0000-00-00,0,0,33149535,0.00,0,50000.00,819,011,
20695954,0,0,18,,,,,,,,,,0000-00-00,0,0,33171282,0.00,0,0.00,0,010,
20695955,0,0,,,,,,,,,,,0000-00-00,0,0,33171287,0.00,0,0.00,0,051,
20705015,0,1,01,1,,1,,,,,,,0000-00-00,0,0,33184031,0.00,0,212055.55,1041,010,
20705019,0,1,,1,,1,,,,,,,0000-00-00,0,0,33184035,0.00,0,50289.86,1041,011,
20713609,0,1,11,1,,2,,,,,J,,0000-00-00,0,0,33198061,1.00,0,0.00,0,010,
20713613,0,0,06,1,,12,,,,,J,,0000-00-00,0,0,33198065,5.00,0,0.00,0,010,
20713621,0,1,01,1,,1,,,,,,,0000-00-00,0,0,33198073,0.00,0,0.00,0,010,
20713625,0,1,01,1,,1,,,,,J,,0000-00-00,0,0,33198077,4.00,0,0.00,0,010,
20713629,0,1,15,5,,,,,,,J,,0000-00-00,0,0,33198081,0.00,0,211153.36,833,010,
20713633,0,1,14,5,,,,,,,J,,0000-00-00,0,0,33198085,0.00,0,325000.00,789,010,
20713637,0,0,15,5,,,,,,,J,,0000-00-00,0,0,33198089,0.00,0,217304.35,833,010,
20713641,0,1,11,1,,2,,,,,J,,0000-00-00,0,0,33198093,3.00,0,0.00,0,010,
20713645,0,1,15,,,,,,,,J,,0000-00-00,0,0,33198097,0.00,0,189868.80,775,010,
20713649,0,1,02,5,,,,,,,J,,0000-00-00,0,0,33198101,0.00,0,0.00,0,010,
20713653,0,1,01,,1,,,,,1,H,,0000-00-00,0,0,33198105,205933.25,0,205933.25,833,010,
20713657,0,1,18,5,,,,,,1,H,,0000-00-00,0,0,33198109,0.00,0,0.00,0,010,
20713661,0,1,01,1,,1,,,,,J,,0000-00-00,0,0,33198113,5.00,0,0.00,0,010,
20713669,0,0,15,5,,,,,,,J,,0000-00-00,0,0,33198121,0.00,0,211043.48,809,010,
20713673,0,1,01,1,,1,,,,,J,,0000-00-00,0,0,33198125,7.00,0,0.00,0,010,
20713677,0,0,15,5,,1,,,,,J,,0000-00-00,0,0,33198129,0.00,0,150000.00,809,010,
20713681,0,1,15,,,1,,,,,,,0000-00-00,0,0,33198133,0.00,0,300000.00,858,010,
20713685,0,1,02,,,,,,,,,,0000-00-00,0,0,33198137,0.00,0,0.00,0,010,
20713689,0,0,11,,,,,,,,,,0000-00-00,0,0,33198141,0.00,0,0.00,0,010,
20713693,0,1,02,,,,,,,,,,0000-00-00,0,0,33198145,0.00,0,0.00,0,010,
20713697,0,1,02,,,,,,,,,,0000-00-00,0,0,33198149,0.00,0,0.00,0,010,
20713701,0,1,02,,,,,,,,,,0000-00-00,0,0,33198153,0.00,0,0.00,0,010,
20713705,0,0,02,,,,,,,,,,0000-00-00,0,0,33198157,0.00,0,0.00,0,010,
20713709,0,0,06,,,,,,,,,,0000-00-00,0,0,33198161,0.00,0,0.00,0,010,
20713713,0,1,15,,,,,,,,,,0000-00-00,0,0,33198165,0.00,0,250.00,847,010,
20713717,0,1,02,,,,,,,,,,0000-00-00,0,0,33198169,0.00,0,0.00,0,010,
20713721,0,0,02,,,,,,,,,,0000-00-00,0,0,33198173,0.00,0,0.00,0,010,
20713725,0,0,01,,,,,,,,,,0000-00-00,0,0,33198177,0.00,0,0.00,0,010,
20713729,0,0,14,,,,,,,,,,0000-00-00,0,0,33198181,0.00,0,0.00,0,010,
20713733,0,1,02,,,,,,,,,,0000-00-00,0,0,33198185,0.00,0,0.00,0,010,
20713737,0,0,02,,,,,,,,,,0000-00-00,0,0,33198189,0.00,0,0.00,0,010,
20713741,0,1,06,,,,,,,,,,0000-00-00,0,0,33198193,0.00,0,0.00,0,010,
20713745,0,1,02,,,,,,,,,,0000-00-00,0,0,33198197,0.00,0,0.00,0,010,
20713749,0,1,02,,,,,,,,,,0000-00-00,0,0,33198201,0.00,0,0.00,0,010,
20713753,0,1,02,,,,,,,,,,0000-00-00,0,0,33198205,0.00,0,0.00,0,010,
20713757,0,1,11,,,,,,,,,,0000-00-00,0,0,33198209,0.00,0,0.00,0,010,
20713761,0,1,06,,,,,,,,,,0000-00-00,0,0,33198213,0.00,0,0.00,0,010,
20713765,0,1,02,,,,,,,,,,0000-00-00,0,0,33198217,0.00,0,0.00,0,010,
20713769,0,1,11,1,,2,,,,,,,0000-00-00,0,0,33198221,0.00,0,0.00,0,010,
20713773,0,0,11,,,,,,,,,,0000-00-00,0,0,33198225,0.00,0,0.00,0,010,
20713777,0,0,11,,,,,,,,,,0000-00-00,0,0,33198229,0.00,0,0.00,0,010,
20713781,0,0,01,1,,1,,,,1,J,,0000-00-00,0,0,33198233,0.00,0,338005.80,954,010,
20713785,0,1,01,1,,4,,,,4,J,,0000-00-00,0,0,33198237,0.00,0,384210.40,730,010,
20713789,0,1,01,1,,1,,,,4,J,,0000-00-00,0,0,33198241,446034.10,1032,0.00,0,010,
20713793,0,1,11,1,,2,,,,4,J,,0000-00-00,0,0,33198245,0.00,0,144000.00,744,010,
20713797,0,0,11,1,,2,,,,4,J,,0000-00-00,0,0,33198249,30.00,0,38618.57,789,010,
20713801,0,1,11,,,,,,,,,,0000-00-00,0,0,33198253,0.00,0,0.00,0,010,
20713805,0,0,02,,,,,,,,,,0000-00-00,0,0,33198257,0.00,0,0.00,0,010,
20713809,0,1,02,,,,,,,,,,0000-00-00,0,0,33198261,0.00,0,0.00,0,010,
20713813,0,0,02,,,,,,,,,,0000-00-00,0,0,33198265,0.00,0,0.00,0,010,
20713817,0,1,11,1,,2,,,,,J,,0000-00-00,0,0,33198269,3.00,0,0.00,0,010,
20713821,0,1,02,,,,,,,,,,0000-00-00,0,0,33198273,0.00,0,0.00,0,010,
20713829,0,0,02,,,,,,,,,,0000-00-00,0,0,33198281,0.00,0,0.00,0,010,
20713833,0,1,06,1,3,4,,,,,H,,0000-00-00,0,0,33198285,0.00,0,525000.00,809,010,
20713837,0,1,11,1,,2,,,,,J,,0000-00-00,0,0,33198289,3.00,0,0.00,0,010,
20713841,0,0,01,,3,,,,,1,H,,0000-00-00,0,0,33198293,118000.00,0,118000.00,809,010,
20713845,0,1,02,,,,,,,,,,0000-00-00,0,0,33198297,0.00,0,0.00,0,010,
20713849,0,1,02,,,,,,,,,,0000-00-00,0,0,33198301,0.00,0,0.00,0,010,
20713853,0,1,02,1,,2,,,,,J,,0000-00-00,0,0,33198305,3.00,0,0.00,0,010,
20713857,0,1,01,5,,,,,,,J,,0000-00-00,0,0,33198309,0.00,0,140.05,1056,010,-
20713861,0,1,01,1,,1,,,,,J,,0000-00-00,0,0,33198313,4.00,0,0.00,0,010,
20713865,0,1,01,1,,1,,,,4,J,,0000-00-00,0,0,33198317,165213.47,744,0.00,0,010,
20713873,0,1,15,5,,,,,,,J,,0000-00-00,0,0,33198325,0.00,0,102966.63,833,010,
20713877,0,1,01,,,,,,,,,,0000-00-00,0,0,33198329,0.00,0,0.00,0,010,
20713881,0,1,01,1,,1,,,,,J,,0000-00-00,0,0,33198333,3.00,0,0.00,0,010,
20713885,0,1,11,1,,2,,,,,J,,0000-00-00,0,0,33198337,3.00,0,0.00,0,010,
20713889,0,1,11,1,,2,,,,,J,,0000-00-00,0,0,33198341,3.00,0,0.00,0,010,
20713893,0,1,01,1,,1,,,,,J,,0000-00-00,0,0,33198345,5.00,0,0.00,0,010,
20713897,1,0,01,,,4,18,,,1,H,,0000-00-00,0,0,33198349,880766.14,0,880766.14,809,010,
20713901,0,1,06,1,,12,,,,1,J,,0000-00-00,0,0,33198353,10.00,0,504360.47,1041,010,-
20713905,0,1,04,1,,12,,,,,J,,0000-00-00,0,0,33198357,0.00,0,0.00,0,010,
20713909,0,1,11,1,,2,,,,,J,,0000-00-00,0,0,33198361,3.00,0,0.00,0,010,
20713913,0,1,11,1,,2,,,,,J,,0000-00-00,0,0,33198365,4.00,0,0.00,0,010,
20713917,0,1,01,1,,2,,,,,J,,0000-00-00,0,0,33198369,5.00,0,0.00,0,010,
20713921,0,1,01,1,,12,,,,,J,,0000-00-00,0,0,33198373,5.00,0,0.00,0,010,
20713925,0,1,01,1,,1,,,,,J,,0000-00-00,0,0,33198377,5.00,0,0.00,0,010,
20713929,0,1,01,1,,1,,,,,J,,0000-00-00,0,0,33198381,5.00,0,0.00,0,010,
20713933,0,1,02,,,,,,,,,,0000-00-00,0,0,33198385,0.00,0,0.00,0,010,
20713937,0,0,11,1,,2,,,,4,J,,0000-00-00,0,0,33198389,65.00,0,83990.41,819,010,
20713941,0,1,01,1,,1,,,,,J,,0000-00-00,0,0,33198393,5.00,0,0.00,0,010,
20713945,0,0,11,1,,2,,,,4,J,,0000-00-00,0,0,33198397,78.00,0,98878.73,819,010,
20713949,0,1,01,1,,1,,,,,J,,0000-00-00,0,0,33198401,5.00,0,0.00,0,010,
20713953,0,1,01,1,1,1,,,,,H,,0000-00-00,0,0,33198405,0.00,0,0.00,0,010,
20713957,0,1,06,,,,,,,,,,0000-00-00,0,0,33198409,0.00,0,2413584.00,906,010,
20713961,0,1,11,1,,2,,,,,J,,0000-00-00,0,0,33198413,3.00,0,0.00,0,010,
20713965,0,0,01,,,4,,,,4,J,,0000-00-00,0,0,33198417,0.00,0,924068.37,1057,010,
20713969,0,1,01,1,,12,,,,,J,,0000-00-00,0,0,33198421,0.00,0,0.00,0,010,
20713981,0,1,15,5,,,,,,,J,,0000-00-00,0,0,33198433,0.00,0,354.84,1056,010,
20713985,0,1,01,5,,,,,,,J,,0000-00-00,0,0,33198437,0.00,0,271.84,809,010,
20713989,0,0,11,,,,,,,,,,0000-00-00,0,0,33198441,0.00,0,0.00,0,010,
20713993,0,1,01,1,,1,,,,,J,,0000-00-00,0,0,33198445,4.00,0,0.00,0,010,
20713997,0,1,01,1,,1,,,,,J,,0000-00-00,0,0,33198449,5.00,0,0.00,0,010,
20714001,0,1,11,1,,2,,,,,J,,0000-00-00,0,0,33198453,3.00,0,0.00,0,010,
20714005,0,1,01,,,1,,,,,H,,0000-00-00,0,0,33198457,0.00,0,283461.00,819,010,
20714009,0,0,06,,,4,,,,,H,,0000-00-00,0,0,33198461,0.00,0,241411.00,809,010,
20714013,0,1,01,5,,,,,,1,H,,0000-00-00,0,0,33198465,0.00,0,497926.01,833,010,
20714017,0,1,1,1,,2,,,,,J,,0000-00-00,0,0,33198469,0.00,0,26778.33,789,011,
20714021,0,1,1,1,,2,,,,,J,,0000-00-00,0,0,33198473,0.00,0,23834.75,789,011,
20714025,0,0,1,1,,1,,,,,J,,0000-00-00,0,0,33198477,4.00,0,0.00,0,011,
20714029,0,1,1,1,,1,,,,,J,,0000-00-00,0,0,33198481,4.00,0,0.00,0,011,
20714033,0,1,5,5,,,,,,,J,,0000-00-00,0,0,33198485,0.00,0,26394.17,833,011,
20714037,0,1,1,1,,12,,,,,J,,0000-00-00,0,0,33198489,0.00,0,25633.71,809,011,
20714041,0,1,1,1,,2,,,,,J,,0000-00-00,0,0,33198493,3.00,0,0.00,0,011,
20714045,0,1,,,,,,,,,J,,0000-00-00,0,0,33198497,0.00,0,329787.23,775,011,
20714049,0,1,5,5,,,,,,,J,,0000-00-00,0,0,33198501,0.00,0,0.00,0,011,
20714053,0,1,01,,1,,,,,1,H,,0000-00-00,0,0,33198505,0.00,0,68644.42,833,011,
20714057,0,1,5,5,,,,,,,J,,0000-00-00,0,0,33198509,0.00,0,0.00,0,011,
20714061,0,1,1,1,,1,,,,,J,,0000-00-00,0,0,33198513,5.00,0,0.00,0,011,
20714065,0,1,5,5,,1,,,,,J,,0000-00-00,0,0,33198517,0.00,0,100000.00,858,011,
20714069,0,1,1,1,,1,,,,,J,,0000-00-00,0,0,33198521,7.00,0,0.00,0,011,
20714073,0,0,5,5,,1,,,,,J,,0000-00-00,0,0,33198525,0.00,0,25000.00,809,011,
20714077,0,1,,,,,,,,,,,0000-00-00,0,0,33198529,0.00,0,0.00,0,011,
20714081,0,0,,,,,,,,,,,0000-00-00,0,0,33198533,0.00,0,0.00,0,011,
20714085,0,1,,,,,,,,,,,0000-00-00,0,0,33198537,0.00,0,0.00,0,011,
20714089,0,1,,,,,,,,,,,0000-00-00,0,0,33198541,0.00,0,0.00,0,011,
20714093,0,0,,,,,,,,,,,0000-00-00,0,0,33198545,0.00,0,0.00,0,011,
20714097,0,1,,,,,,,,,,,0000-00-00,0,0,33198549,0.00,0,0.00,0,011,
20714101,0,0,,,,,,,,,,,0000-00-00,0,0,33198553,0.00,0,0.00,0,011,
20714105,0,1,,,,,,,,,,,0000-00-00,0,0,33198557,0.00,0,0.00,0,011,
20714109,0,1,5,5,,,,,,,J,,0000-00-00,0,0,33198561,0.00,0,75000.00,809,011,
20714113,0,1,,,,,,,,,,,0000-00-00,0,0,33198565,0.00,0,0.00,0,011,
20714117,0,1,,,,,,,,,,,0000-00-00,0,0,33198569,0.00,0,0.00,0,011,
20714121,0,1,,,,,,,,,,,0000-00-00,0,0,33198573,0.00,0,0.00,0,011,
20714125,0,1,,,,,,,,,,,0000-00-00,0,0,33198577,0.00,0,0.00,0,011,
20714129,0,1,,,,,,,,,,,0000-00-00,0,0,33198581,0.00,0,0.00,0,011,
20714133,0,1,,,,,,,,,,,0000-00-00,0,0,33198585,0.00,0,0.00,0,011,
20714137,0,0,,,,,,,,,,,0000-00-00,0,0,33198589,0.00,0,0.00,0,011,
20714141,0,1,1,1,,4,,,,4,J,,0000-00-00,0,0,33198593,0.00,0,50000.00,730,011,
20714145,0,1,1,1,,1,,,,4,J,,0000-00-00,0,0,33198597,12.00,0,0.00,0,011,
20714149,0,1,1,1,,1,,,,4,J,,0000-00-00,0,0,33198601,180.00,0,0.00,0,011,
20714153,0,1,11,1,,2,,,,4,J,,0000-00-00,0,0,33198605,0.00,0,15000.00,744,011,
20714157,0,0,11,1,,2,,,,4,J,,0000-00-00,0,0,33198609,30.00,0,25000.00,789,011,
20714161,0,1,,,,,,,,,,,0000-00-00,0,0,33198613,0.00,0,0.00,0,011,
20714165,0,0,,,,,,,,,,,0000-00-00,0,0,33198617,0.00,0,0.00,0,011,
20714169,0,1,,,,,,,,,,,0000-00-00,0,0,33198621,0.00,0,0.00,0,011,
20714173,0,0,,,,,,,,,,,0000-00-00,0,0,33198625,0.00,0,0.00,0,011,
20714177,0,0,,,,,,,,,,,0000-00-00,0,0,33198629,0.00,0,0.00,0,011,
20714181,0,1,1,1,,2,,,,,J,,0000-00-00,0,0,33198633,3.00,0,0.00,0,011,
20714185,0,1,,,,,,,,,,,0000-00-00,0,0,33198637,0.00,0,0.00,0,011,
20714189,0,0,,,,,,,,,,,0000-00-00,0,0,33198641,0.00,0,0.00,0,011,
20714193,0,0,,,,,,,,,,,0000-00-00,0,0,33198645,0.00,0,0.00,0,011,
20714197,0,1,,,,,,,,,,,0000-00-00,0,0,33198649,0.00,0,0.00,0,011,
20714201,0,1,1,1,,2,,,,,J,,0000-00-00,0,0,33198653,3.00,0,0.00,0,011,
20714205,0,1,,,,,,,,,,,0000-00-00,0,0,33198657,0.00,0,0.00,0,011,
