risico_id,bet_id
20686931,125970443
20686935,125970451
20686939,125970451
20686943,125970451
20695954,126004821
20695955,126004821
20705015,126004553
20705019,126004553
20705022,126004553
20705038,126005421
20713609,126004929
20713613,126004925
20713621,126005125
20713625,126005009
20713629,126005013
20713633,126004777
20713637,126004669
20713641,126004797
20713645,126004801
20713649,126004981
20713653,126004813
20713657,126004821
20713657,126047595
20713661,126004829
20713669,126004669
20713673,126004857
20713677,126004669
20713681,126005793
20713685,126005805
20713689,126005825
20713693,126005829
20713697,126005841
20713701,126005849
20713705,126005853
20713709,126005857
20713713,126005857
20713713,128696121
20713717,126005861
20713721,126005865
20713725,126005869
20713729,126005881
20713733,126005885
20713737,126005825
20713741,126005641
20713745,126005649
20713749,126005653
20713753,126005673
20713757,126005677
20713761,126121378
20713765,126005689
20713769,126005689
20713769,138775580
20713773,126005689
20713777,126005689
20713781,126004469
20713781,126047580
20713785,126005725
20713789,126047580
20713793,126107473
20713797,126005737
20713801,126005517
20713805,126005537
20713809,126005565
20713813,126005569
20713817,126005585
20713821,126005593
20713829,126005597
20713833,126004429
20713837,126005617
20713841,126004905
20713845,126005637
20713849,126005797
20713853,126005377
20713857,126005385
20713861,126005433
20713865,126005449
20713873,126005465
20713877,126005449
20713881,126005477
20713885,126005485
20713889,126005493
20713893,126005237
20713897,126005261
20713901,126005273
20713909,126005301
20713913,126004853
20713917,126005317
20713925,126004433
20713929,126004437
20713933,126004441
20713937,126004445
20713941,126004477
20713945,126004493
20713949,126004521
20713953,126004945
20713953,126405460
20713957,126004561
20713961,126004605
20713965,126004561
20713969,126004685
20713981,126004697
20713985,126004697
20713989,126005577
20713993,126004701
20713997,126004729
20714001,126004741
20714005,126004569
20714009,126004577
20714013,126004821
20714017,126004901
20714021,126004929
20714025,126005125
20714029,126005009
20714033,126005013
20714037,126004777
20714041,126004797
20714045,126004801
20714049,126004981
20714053,126004813
20714057,126004821
20714061,126004829
20714065,126004669
20714065,133644765
20714069,126004857
20714073,126004669
20714077,126005793
20714081,126005825
20714085,126005829
20714089,126005849
20714093,126005853
20714097,126005861
20714101,126005825
20714105,126005641
20714109,126005649
20714113,126005649
20714117,126005649
20714121,126005673
20714125,126005677
20714129,126121378
20714133,126005689
20714137,126005689
20714141,126005725
20714145,126047580
20714149,126005729
20714153,126107473
20714157,126005737
20714161,126005517
20714165,126005537
20714169,126005565
20714173,126005569
20714177,126005569
20714181,126005585
20714185,126005593
20714189,126005597
20714193,126005597
20714197,126004429
20714201,126005617
20714205,126005637
20714209,126005797
20714213,126005377
20714217,126005433
20714221,126005449
20714225,126005465
20714229,126005413
20714233,126005477
20714237,126005485
20714241,126005493
20714245,126005373
20714249,126005237
20714253,126004877
20714257,126004757
20714261,126005273
20714269,126005301
20714273,126004853
20714277,126005317
20714285,126004437
20714289,126004441
20714293,126004445
20714297,126005493
20714301,126005493
20714305,126004477
20714309,126004493
20714313,126004521
20714317,126004945
20714321,126004561
20714325,126004605
20714333,126004685
20714337,126004697
20714341,126005577
20714345,126004701
20714349,126005793
20714353,126004729
20714357,126004741
20714361,126004569
20714365,126004901
20714369,126004905
20714373,140591826
20714377,126004929
20714381,126004929
20714385,126004773
20714389,126004905
20714393,126004905
20714397,126004905
20714401,126004913
20714405,126004937
20714409,126004965
20714417,126004981
20714433,126004993
20714437,138936744
20714441,140591826
20714445,139515906
20714449,126004757
20714453,126004981
20714457,126008884
20714461,126008884
20714465,126008884
20714469,126004981
20714473,126004777
20714477,126004785
20714481,126004905
20714485,126004905
20714489,126004981
20714493,126004609
20714497,125991127
20714501,125991127
20714505,126004609
20714509,126004837
20714513,126004841
20714521,126004669
20714521,126004853
20714525,125991127
20714529,126004865
20714533,125935707
20714537,126004981
20714541,126004981
20714545,126004981
20714549,126004981
20714553,126005769
20714557,126005709
20714561,126005725
20714565,126047580
20714569,126005585
20714573,126004981
20714577,126005589
20714581,126005605
20714585,126005609
20714589,126005373
20714593,126005377
20714597,126004917
20714601,126004917
20714605,126005609
20714609,126005609
20714613,126005385
20714617,126005385
20714621,126005385
20714625,126005385
20714629,126005385
20714633,126005405
20714637,126005413
20714641,126005417
20714645,126005421
20714649,126005609
20714653,126005609
20714657,126005449
20714661,126005449
20714665,126305683
20714669,126005469
20714677,126005473
20714681,126005485
20714685,126005493
20714689,126004865
20714693,126005501
20714697,126005225
20714701,126005125
20714705,126005125
20714709,126005233
20714713,126005237
20714717,126005609
20714721,126005253
20714725,126005257
20714729,126005277
20714733,126005473
20714737,126005297
20714741,126005301
20714745,126005305
20714749,126005277
20714753,126005325
20714757,126005329
20714761,126005709
20714765,126005349
20714773,126005609
20714777,126005609
20714785,126004865
20714789,140584160
20714793,140584160
20714797,126005609
