contract_id,risico_id
33647507,20686931
33647511,20686935
33647511,20686939
33647511,20686943
33665534,20695954
33665539,20695955
33675787,20773423
33675795,20705015
33675795,20705019
33675822,20705038
33684705,20714017
33684709,20715049
33684713,20714365
33684721,23095857
33684725,20714373
33684733,20713609
33684733,20714021
33684737,20715053
33684741,20714377
33684745,20714389
33684749,24350693
33684753,20714397
33684753,22538734
33684757,20713613
33684761,20714409
33684769,20713621
33684769,20714025
33684773,20715057
33684781,20714417
33684785,20713621
33684785,20715061
33684789,20714433
33684793,20714437
33684797,20714441
33684805,20713625
33684805,20714029
33684809,20715065
33684817,20713629
33684817,20714033
33684817,20715725
33684821,20715725
33684821,20773086
33684825,23346968
33684829,20714453
33684833,20714457
33684837,20714461
33684841,20714465
33684845,23221802
33684845,23426051
33684845,25974491
33684849,20714469
33684857,20714037
33684861,20715069
33684865,20714473
33684869,20715073
33684873,20713633
33684873,20715733
33684877,20714477
33684885,20713637
33684885,20715737
33684885,20715741
33684885,20773128
33684885,20773131
33684889,20714481
33684889,21621983
33684897,20713641
33684897,20714041
33684901,20715077
33684905,20715081
33684909,20715745
33684909,20790736
33684913,20714485
33684917,20715749
33684921,20713645
33684921,20714045
33684921,20715749
33684925,20715753
33684929,20714489
33684933,20715757
33684937,20713649
33684937,20714049
33684941,20715085
33684945,20713653
33684945,20714053
33684953,20715769
33684957,20715757
33684965,20713661
33684965,20714061
33684969,20715093
33684973,26168700
33684977,20714497
33684977,20715045
33684981,20715097
33684985,20713657
33684989,20715769
33684993,20714505
33684997,20715773
33684997,24520202
33685005,20714509
33685009,20776756
33685017,23246941
33685025,20713669
33685025,20715781
33685025,20715785
33685029,20715789
33685029,20773101
33685033,20713677
33685033,20714073
33685037,20714521
33685045,20713673
33685045,20714069
33685053,20715101
33685057,22350207
33685061,20714533
33685065,20714537
33685069,20714541
33685073,20714545
33685077,20714549
33685077,20715041
33685085,20715793
33685089,20715105
33685093,20715105
33685097,20714553
33685101,20715793
33685105,20715109
33685109,20715113
33685109,20715797
33685109,20715801
33685109,20776678
33685109,20776681
33685113,20715117
33685113,20715805
33685113,20715809
33685113,20776654
33685113,20776657
33685113,23509599
33685113,24444232
33685113,24444235
33685113,24444238
33685113,25767138
33685117,20715121
33685117,20715813
33685117,20715817
33685121,20715125
33685121,20715821
33685125,20715129
33685125,20715133
33685125,20715833
33685125,20776633
33685125,20776636
33685125,20776639
33685129,20715837
33685129,20715841
33685129,20776147
33685129,20776150
33685133,20715845
33685133,20776268
33685137,20713685
33685137,20715853
33685137,20715857
33685137,20715861
33685137,20715865
33685137,20776280
33685137,20776283
33685137,20776286
33685137,20776289
33685141,20715137
33685141,20715869
33685141,20776075
33685145,20715877
33685145,22671510
33685149,20715141
33685149,20715145
33685153,20715149
33685153,20715153
33685157,20713689
33685157,20714081
33685161,20713693
33685161,20714085
33685161,20715157
33685161,20715161
33685165,20715881
33685165,20776199
33685169,20715889
33685169,20715893
33685173,20713697
33685173,20715897
33685173,20715901
33685173,20715905
33685173,20715909
33685177,20715913
33685177,20715917
33685181,20715921
33685181,20715925
33685181,20776232
33685181,20776235
33685181,20776238
33685181,20776241
33685185,20713705
33685185,20714093
33685185,20715165
33685189,20713709
33685193,20715929
33685193,20715933
33685193,20776247
33685193,20776250
33685197,20713717
33685197,20714097
33685197,20715937
33685197,20715941
33685197,20776342
33685197,20776345
33685201,20713721
33685201,20715945
33685201,20776295
33685205,20713725
33685205,20715949
33685205,20715953
33685205,23623766
33685205,23623772
33685209,20715957
33685209,20776348
33685213,20713729
33685217,20713733
33685217,20715169
33685217,20715173
33685217,20715965
33685217,20715969
33685217,20715973
33685217,20776495
33685217,20776501
33685217,20776504
33685217,23876526
33685221,20713705
33685221,20714093
33685221,20715165
33685221,20715177
33685221,22584582
33685221,22584585
33685225,20715181
33685229,20713689
33685229,20713737
33685229,20714081
33685229,20714101
33685229,20715185
33685229,20715977
33685229,20715981
33685233,20715189
33685233,20715193
33685233,20715197
33685237,20713741
33685237,20714105
33685237,20715201
33685237,20715985
33685237,20715989
33685241,20715205
33685245,20715217
33685245,20715993
33685245,20715997
33685245,20776406
33685245,20776409
33685249,20715221
33685253,20713745
33685253,20714109
33685253,20715225
33685253,20716001
33685253,20716005
33685253,20776351
33685253,20776354
33685257,20713749
33685257,20715229
33685257,20716009
33685257,20716013
33685257,20716017
33685257,20716021
33685257,20776363
33685257,20776366
33685257,20776369
33685257,20776372
33685261,20715233
33685265,20715237
33685265,20776612
33685269,20715241
33685269,22466664
33685273,20715245
33685277,20715249
33685277,20716025
33685277,20716029
33685277,20776415
33685277,20776418
33685281,20715253
33685285,20713753
33685285,20714121
33685285,20715257
33685285,20715261
33685285,20716033
33685285,20716037
33685285,20716041
33685285,20776660
33685285,20776663
33685285,20776666
33685289,20715265
33685289,20716045
33685289,20776615
33685293,20713757
33685293,20714125
33685293,20715269
33685293,20716057
33685293,20716061
33685297,20713761
33685297,20714129
33685297,20715273
33685297,20716065
33685297,20716069
33685297,20776684
33685297,20776687
33685297,21603687
33685297,21603690
33685301,20715277
33685305,20713765
33685305,20713773
33685305,20714133
33685305,20714137
33685305,20715281
33685305,20716073
33685305,20776693
33685305,20776696
33685309,20715285
33685309,20715657
33685313,20715289
33685313,20715293
33685313,20716085
33685313,20776642
33685317,20715297
33685317,20716089
33685317,20716093
33685321,20715301
33685325,20715305
33685329,20715309
33685333,20715313
33685337,20713781
33685337,20715317
33685341,20713785
33685341,20714141
33685345,20713789
33685345,20714145
33685349,20714149
33685349,20715321
33685353,20713793
33685353,20714153
33685353,20715325
33685357,25279323
33685357,25279326
33685361,20715329
33685365,20715333
33685369,20715337
33685373,20715341
33685377,20714557
33685381,20714561
33685385,20714565
33685389,20715345
33685389,20716097
33685389,20716101
33685393,20715349
33685397,20715353
33685397,20715357
33685401,20713801
33685401,20714161
33685401,20715361
33685401,20716105
33685401,20716109
33685405,20715365
33685405,20716113
33685405,20716117
33685409,20715369
33685409,20716121
33685409,20716129
33685413,20715373
33685413,20716133
33685413,20716137
33685417,20715377
33685417,20715381
33685421,20713805
33685421,20714165
33685421,20715385
33685425,20715389
33685425,20716141
33685425,20716145
33685425,20776564
33685425,20776567
33685429,20715393
33685429,20716149
33685429,20716153
33685433,20715397
33685437,20715401
33685437,20716157
33685437,20716161
33685441,20715405
33685445,20715409
33685445,20716165
33685445,20716169
33685449,20715413
33685449,20715417
33685453,20713809
33685453,20714169
33685453,20715421
33685453,20715425
33685453,20716173
33685453,20716177
33685453,20716181
33685457,20713813
33685457,20714173
33685457,20715429
33685457,20716185
33685457,20716189
33685457,20776723
33685457,20776726
33685461,20715433
33685461,20715437
33685465,20715441
33685465,20715445
33685469,20715449
33685477,20713817
33685477,20714181
33685481,20715453
33685485,23468641
33685489,20714829
33685493,20714577
33685497,20713821
33685497,20714185
33685497,20716197
33685497,20988158
33685501,20713821
33685501,20714185
33685501,20716197
33685501,20988158
33685505,20713829
33685505,20714189
33685505,20715457
33685505,20716201
33685505,20716205
33685505,20776552
33685505,20776555
33685509,20713833
33685509,20714197
33685509,20715461
33685509,20716209
33685509,20716213
33685517,20787707
33685525,20713837
33685525,20714201
33685529,20713813
33685529,20714173
33685529,20716185
33685529,20716189
33685529,20776018
33685529,20776021
33685533,20713841
33685533,20779239
33685537,20713845
33685537,20714205
33685537,20715481
33685537,20715485
33685537,20715489
33685541,20716217
33685545,20715773
33685545,24520202
33685549,20715845
33685549,20776268
33685553,20713849
33685553,20714209
33685553,20715841
33685553,20776214
33685561,20714589
33685569,20713853
33685569,20714213
33685573,20715497
33685577,20714593
33685581,20713845
33685581,20714205
33685581,20715481
33685581,20715485
33685581,20715489
33685589,20714597
33685593,20714601
33685601,20716221
33685601,26119689
33685605,20713857
33685605,20716221
33685605,20716225
33685605,20716229
33685605,20716233
33685605,20773110
33685605,20773113
33685605,20773116
33685609,25752634
33685613,20714617
33685617,20714621
33685621,20714625
33685625,20715501
33685629,25748428
33685633,20715505
33685637,20714633
33685641,20715009
33685645,20714641
33685649,23225500
33685657,20713861
33685657,20714217
33685665,20715509
33685669,20714649
33685673,20714809
33685673,20828245
33685677,23430205
33685681,20713865
33685681,20714221
33685681,20715513
33685685,20714661
33685689,20714665
33685693,20715517
33685693,20716237
33685693,20716241
33685693,20776510
33685693,20776513
33685693,22947945
33685693,22947948
33685693,23304116
33685693,23304119
33685693,23352085
33685693,23587622
33685693,24568811
33685693,24568814
33685697,23068334
33685709,20715521
33685709,20715525
33685717,20713873
33685717,20714225
33685717,20716245
33685721,20716245
33685721,20773092
33685725,20715529
33685725,20715533
33685729,20714669
33685733,20714229
33685737,20716249
33685737,20773212
33685741,20716249
33685741,20773104
33685745,20713877
33685745,20715513
33685745,23430205
33685749,20714013
33685753,20714677
33685761,20713881
33685761,20714233
33685765,20715537
33685773,20713885
33685773,20714237
33685777,20715541
33685781,20714681
33685785,20715545
33685785,20716253
33685785,20776669
33685785,26061552
33685793,20714685
33685793,25900658
33685797,20715549
33685801,20713889
33685801,20714241
33685805,20716261
33685809,20715553
33685813,20714245
33685817,20715557
33685821,20714689
33685825,20714693
33685829,20714697
33685833,20714701
33685841,20715561
33685845,20714705
33685849,20714709
33685857,20715565
33685865,20713893
33685865,20714249
33685869,20714713
33685873,20714253
33685873,20716265
33685877,20715569
33685877,20715573
33685881,20716269
33685881,20716273
33685881,20776039
33685885,20714713
33685889,20714721
33685893,20713897
33685897,26008954
33685897,26008956
33685901,20714725
33685905,20713901
33685905,20714261
33685909,20714729
33685925,20714733
33685929,23909651
33685937,23918436
33685941,20715581
33685945,20713909
33685945,20714269
33685949,20714745
33685957,20713913
33685957,20714273
33685961,20715585
33685965,20714749
33685973,20713917
33685973,20714277
33685981,20715589
33685989,20713717
33685989,20714097
33685989,20715469
33685989,20715937
33685989,20715941
33685989,20776357
33685989,20776360
33685993,20715593
33685993,20716277
33685993,20776472
33685997,20715493
33685997,20715889
33685997,20715893
33685997,20776463
33685997,20776466
33686001,20716285
33686005,23580999
33686009,20714757
33686013,20714761
33686021,20716001
33686025,20715225
33686025,20715597
33686029,20715601
33686029,20716289
33686029,20716293
33686029,20776570
33686029,20776573
33686029,23240398
33686029,23240401
33686033,20714765
33686037,20714109
33686037,20716005
33686041,20716001
33686045,20716297
33686045,20773107
33686049,20714773
33686049,21726943
33686053,20714777
33686057,23300191
33686065,20716301
33686065,20773098
33686069,21687318
33686073,20714793
33686077,26148074
33686081,20716209
33686089,20715605
33686093,20713925
33686093,20716305
33686101,20713929
33686101,20714285
33686105,20715609
33686109,20713933
33686109,20714289
33686109,20716309
33686109,20716313
33686109,20776126
33686109,20776129
33686113,20713937
33686113,20714293
33686117,20714797
33686121,23095563
33686125,20714805
33686133,20714813
33686133,20812422
33686137,20716317
33686137,20716321
33686137,20775998
33686137,20776001
33686141,20714821
33686145,22725662
33686153,20713941
33686153,20714305
33686157,20715613
33686161,20713649
33686161,20714049
33686161,20715617
33686161,20715753
33686161,20715757
33686161,20716269
33686161,20716273
33686161,20776534
33686161,20776537
33686161,20776540
33686161,20776543
33686161,22814966
33686161,23379121
33686165,20713945
33686165,20714309
33686169,20714833
33686173,20714837
33686177,20714841
33686185,20713949
33686185,20714313
33686189,20715621
33686193,20714317
33686197,20715625
33686201,20715629
33686201,20715633
33686201,20715637
33686205,20715641
33686209,20714845
33686213,20715645
33686217,20714849
33686225,20714857
33686229,20714861
33686233,20713957
33686233,20714321
33686233,22464854
33686237,20715649
33686237,20716325
33686237,20776448
33686237,20776451
33686237,23756697
33686237,23756699
33686237,23756701
33686237,23756703
33686237,23844804
33686241,22614804
33686245,20714869
33686249,20714873
33686253,20714877
33686257,20714881
33686261,20714885
33686265,23099895
33686269,20714893
33686277,20715653
33686281,20713961
33686281,20714325
33686285,20713965
33686289,20714897
33686293,20715661
33686297,20714901
33686301,20714905
33686305,20714909
33686309,20715665
33686309,20716333
33686309,20716337
33686309,20776486
33686309,20776489
33686313,20714913
33686313,20779205
33686317,20715669
33686317,20715673
33686317,20715677
33686321,20779199
33686325,20775937
33686329,20714925
33686337,20714929
33686345,20714333
33686349,20715681
33686357,20714933
33686361,20714937
33686365,20714941
33686369,20714945
33686373,20713969
33686377,20714949
33686385,20713981
33686385,20714337
33686389,20716341
33686389,20773089
33686393,20715685
33686393,20715689
33686397,20713989
33686397,20714341
33686397,20716345
33686397,20716349
33686397,20776381
33686397,20776384
33686405,20713993
33686405,20714345
33686409,20715693
33686413,20714957
33686417,20714961
33686421,20748923
33686425,20714965
33686429,20714969
33686437,20713997
33686437,20714353
33686441,20715697
33686449,20714001
33686449,20714357
33686453,20715701
33686457,20714973
33686461,20961333
33686465,20714977
33686469,20714009
33686473,20714985
33686477,20714993
33686481,23425744
33686485,20715709
33686489,20715713
33686489,20716353
33686489,20776475
33686489,20776478
33686489,24575455
33686489,24575458
33686489,24575461
33686489,25684135
33686489,25684138
33686489,25805291
33686489,26116224
33686493,24517192
33686497,20716361
33686497,24326762
33686501,20715717
33686505,20715005
33686509,20716365
33686509,20790752
33686513,20715013
33686517,20716369
33686517,24496040
33686521,20715017
33686525,20715721
33686529,20715021
33686533,20715021
33686537,20715025
33686541,20715021
33686545,20715029
33687146,20716954
33687146,20716958
33687146,20716962
33687154,20716966
33687159,20716975
33687159,20716979
33688356,20733722
33688876,20718640
33702766,20732754
33703579,20733631
33703579,20733635
33703579,20733643
33703579,20733647
33703690,20733718
33704074,20734082
33704079,20734087
33704079,20734091
33704079,20734095
33704087,20734103
33704087,20734107
33704087,20734111
33707499,20737599
33707532,20737680
33707532,23363312
33710108,20740224
33710112,20740228
33710112,23060567
33710120,20740232
33715867,20745607
33715870,20745614
33716038,20745810
33716038,20745814
33716038,20745818
33716038,20745822
33716067,20745875
33720898,20750842
33720898,20750846
33721959,20751807
33724828,25740639
33755319,23457781
33762224,20773208
33763903,20773027
33763974,20773095
33763977,20773122
33763980,20773125
33763980,23479311
33763983,23098770
33763986,20773137
33763986,20773140
33763986,20773143
33763989,20773146
33763989,20773149
33763989,20773152
33763989,20773155
33763992,23117847
33763995,22201297
33763998,20773164
33763998,20990331
33764001,20773167
33764004,22674431
33764004,25278798
33764007,20773176
33764007,20773179
33764010,20773185
33764010,22674431
33764013,20714005
33764013,20714361
33764013,20773188
33764016,20773161
33764019,20773158
33764022,20773167
33764025,22201297
33764029,20773195
33764030,20773202
33764033,20773205
33764036,20773211
33764043,20773215
33764046,20773218
33764101,20705022
33764101,21156365
33764107,20773339
33764116,20773348
33764125,20773354
33766747,20775934
33766759,20775940
33766759,20775943
33766762,20775946
33766769,20775950
33766769,20775953
33766778,20775959
33766781,20775962
33766787,20775968
33766972,20776156
33766972,20776159
33767146,20776390
33767146,20776393
33767146,20776396
33767158,20776402
33767186,20776433
33767186,20776436
33767186,20776439
33767186,20776442
33767186,20776445
33767195,20776454
33767195,20776457
33767195,20776460
33767195,22508192
33767212,20776516
33767212,22671510
33767239,20776576
33767239,24520202
33767245,20776588
33767245,20776591
33767245,20776594
33767245,20776597
33767245,20776600
33767269,20776699
33767269,20776702
33767269,20776705
33767269,20776708
33767419,20776855
33769630,20778913
33769996,24308459
33770554,22511163
33772297,20781381
33774867,20783367
33774895,20783399
33774899,20783403
33774901,20783405
33774903,20783407
33774905,20783409
33774905,20783413
33774909,20783421
33776430,20784854
33776446,20784862
33776446,20784866
33776446,20784870
33776454,20784874
33776458,20784882
33776502,20784918
33777137,20785791
33777137,20785793
33787290,20788282
33787290,20790794
33787311,24824520
33793003,26118823
33793025,20796446
33793054,20796450
33793070,20837624
33793078,20798626
33793254,26169225
33793258,26171809
33797736,20790732
33797737,20818404
33797741,26118839
33797760,22813041
33798180,20791176
33798184,20791184
33798686,26171827
33798845,26171837
33798854,26171839
33799739,23300128
33803359,20779249
33803993,23749443
33805870,20798630
33805882,26169076
33818093,26169139
33821863,20812379
33821875,20812395
33821875,20812399
33821889,20812405
33824038,24375575
33824062,20814758
33824062,23487729
33824066,24525125
33824104,20814780
33824104,20814784
33824108,20814788
33829838,22658463
33829841,24832368
33829844,20819102
33829844,20819105
33833479,26172385
33833485,26172387
33833498,20826107
33835636,20714585
33835981,22679226
33836036,26171635
33836555,20829185
33837026,20829572
33837059,20829605
33837361,20829952
33837466,20830087
33837493,20830120
33837505,26147748
33837514,26147754
33837514,26147773
33838832,20831513
33838832,20831516
33838832,20831519
33841989,20832087
33843503,24883509
33843511,25084746
33846187,20894881
33847923,20837604
33847923,20837607
33847923,20837610
33847923,20837613
33847923,20837616
33847923,20837619
33847923,25981947
33848779,20838529
33848975,20908951
33849002,25797529
33850184,26171825
33889096,20882890
33889096,20915296
33889096,20915299
33889099,20764959
33889099,20773354
33889099,20882893
33892469,20886053
33894700,20713997
33894748,26171827
33894826,23408672
33894826,26172090
33894856,20713861
33895415,20714929
33895604,26147947
33895838,26038024
33895876,20713929
33895898,26147881
33895936,25906700
33895957,26171927
33896018,23068334
33896096,26168813
33896140,26171395
33896144,20713893
33896156,20713893
33896206,26172050
33896263,20713661
33896359,20714697
33896653,20713633
33896720,26169243
33896729,20713633
33897007,26118651
33897011,26148465
33897737,26118697
33898162,26172125
33899452,22628841
33901784,20713881
33901792,20894752
33901804,20713881
33901838,26169229
33901900,20713917
33901909,20714661
33901927,20713917
33902098,20713993
33902104,20713993
33902140,26171387
33903749,26171865
33903811,26153283
33903823,23068334
33903835,26168700
33903841,26168700
33903869,26168811
33903878,26168813
33903902,23068334
33903949,26169191
33904040,20713661
33904057,26153291
33904187,26038024
33904273,26168935
