schadecontract_id,schade_id,contract_id,risico_id,blockretours_id,contract_bijvoegsel_id
6426853,106950201,33684865,,,
6426857,106950205,33684721,,,
6426861,106950209,33684909,,,
6426865,106950213,33684797,,,
6426869,106950217,33685345,,,
6426873,106950221,33685213,,,
6426881,106950229,33684929,,,
6426885,106950233,33685381,,,
6426889,106950237,33685009,,,
6426893,106950241,33684977,,,
6426897,106950245,33684909,,,
6426901,106950249,33685377,,,
6426905,106950253,33685649,,,
6426909,106950257,33685377,,,
6426913,106950261,33686125,,,
6426917,106950265,33686125,,,
6426921,106950269,33684965,,,
6426925,106950273,33685489,,,
6426929,106950277,33684909,,,
6426933,106950281,33684969,,,
6426937,106950285,33685697,,,
6426941,106950289,33685793,,,
6426945,106950293,33684761,,,
6426949,106950297,33684885,,,
6426961,106950309,33686121,,,
6426965,106950313,33684789,,,
6426969,106950317,33685821,,,
6426973,106950321,33686425,,,
6426977,106950325,33684789,,,
6426981,106950329,33686473,,,
6426985,106950333,33686013,,,
6426989,106950337,33686493,,,
6431050,106954686,33685793,,,
6438159,106962042,33685501,,,
6440801,106964744,33684709,,52184342,
7842666,106967414,33685841,,52184325,
6519558,106968745,33686337,,,
6445862,106969846,33686013,,52213815,
6450157,106974369,33686013,,,
6452659,106977015,33762224,,52184484,
6507308,106981426,33821863,,52623428,
6457505,106982084,33685657,,52184643,
6457508,106982087,33685697,,,
6487058,107012192,33764033,,52184475,
6523737,107014196,33684977,,52243686,
6496925,107022506,33684789,,52184510,
6503552,107029184,33686477,,52243653,
12567871,107029189,33710108,,,
6503561,107029193,33684769,,52184747,
6504572,107030219,33686045,,,
6505418,107031077,33710108,,,
6506194,107031898,33685133,,,
6506231,107031938,33686305,,,
6506233,107031940,33686161,,,
6507942,107033667,33686481,,52184438,
6508312,107034049,33686425,,,
6508867,107034619,33798686,,,
6510523,107036329,33685617,,,
6510547,107036359,33686161,,,
6875313,107036359,33685881,,52215377,
6510557,107036369,33686161,,,
6510565,107036377,33686161,,,
6513364,107039275,33686321,,52245557,
6513370,107039278,33686321,,52245557,
6515505,107041419,33686133,,,
