schadecontract_id,risico_id,bestuurder_id
6426945,20714409,
6426961,20714801,
6426969,20714689,
6426973,20714965,
6426981,20714985,
6426985,20714761,
6426989,20715001,
6438159,20713821,
6445862,20714761,
6452659,20773208,
6487058,20773205,
6496925,20714433,
6506231,20714909,
6507942,20714997,
6510523,20714621,
6525713,20714965,
6581269,20714801,
6587014,20733722,
6595028,20773208,
6685774,20814758,
6689518,20714593,
6690287,20914035,
6760917,21635861,
6866846,21603696,
6875307,20714621,
6987092,20714757,
7299701,20715029,
7700399,20991101,
7725345,20776753,
7751450,20773202,
7842750,20714597,
7842846,20714477,
7842884,20880152,
7912998,20773205,
7974984,20714005,
7987194,20773208,
8064858,20713629,
8175812,20988076,
8201976,20716269,
8292072,20915204,
8353299,21160165,
8353719,20904362,
8354053,20776753,
8354736,21219167,
8355108,21603524,
8360666,20929579,
8427435,20714965,
8474592,21001756,
8474609,20715025,
8532615,21219169,
8537514,20886053,
8653755,22575731,
8690859,21693356,
8691045,21693356,
8691045,23087543,
8753859,22533198,
8755229,21673481,
8755275,20764959,
8816360,20713913,
8839482,21603699,
8886530,20713713,
9016557,20714705,
9158718,20716365,
9162171,22465272,
9268133,21621983,
9398102,22584582,
9398277,21693356,
9463388,21629139,
9479903,22338719,
9481685,20819099,
9527840,20940379,
9540221,22336179,
9562430,21634154,
9873402,20713861,
10006187,22761146,
10006595,22581132,
10007981,22679223,
10008572,22634835,
10017708,21013051,
10082288,22744607,
10086320,23068322,
10135398,22336179,
10151444,20714941,
10153070,23092248,
10212852,22216260,
10234995,21001756,
10337127,20714661,
10504086,22213005,
10507809,21670675,
10576374,20716269,
10630607,21603696,
10638321,20773176,
10638500,20716269,
10677686,22688601,
10706981,20714957,
10720158,23100690,
10720689,20716369,
10827553,21603524,
10894441,21186859,
10894630,22562280,
10995283,23095304,
11024827,22805343,
11050070,22654593,
11155958,20715745,
11207408,22307471,
11216360,20713957,
11367530,20915299,
11388736,20740232,
11448487,22354847,
11492536,23092248,
11536408,20714957,
11590573,21691704,
11699138,21691704,
11841733,23088332,
11841937,23233389,
11901572,22513328,
11956589,20784854,
11957233,21157304,
11988550,22814690,
12068578,23350562,
12206017,20716269,
12206020,20716269,
12279700,20714589,
12314084,23300191,
12326795,23092248,
12329779,22354847,
12443021,20775934,
12512233,20773137,
12562028,23298499,
12567871,20740224,
12628306,22562280,
12628309,23220715,
12639517,22744613,
12683047,23096375,
12707599,23374204,
12773288,22537190,
12800926,23374204,
12813670,21687318,
13047764,21687318,
13089997,22507143,
13095093,22760892,
13095779,22372503,
13105753,20886053,
13109529,22605794,
13111711,22637297,
13111734,21726943,
13114194,20886053,
13118551,21661934,
13120239,22737999,
13120843,23323688,
13122741,22737999,
13124259,23519533,
13135851,21661934,
13136059,22527689,
13147678,23392606,
13148898,20734103,
13149642,22562244,
13150236,21687318,
13213067,21690684,
13228626,23580356,
13249965,23580356,
13251232,20776753,
13251823,22440083,
13252969,21603696,
13276548,23773941,
13279569,20990331,
13311757,23537821,
13311844,22618494,
13311984,23067839,
13314180,22354847,
13318404,23475885,
13318435,22579269,
13319586,22354847,
13322432,23350562,
13325385,20714705,
13326002,23298499,
13330170,23373985,
13331762,20733722,
13333167,20733722,
13334964,23512773,
13335167,21603696,
13336080,22579269,
13341402,20714713,
13345158,23860772,
13348500,24230490,
13349507,22759007,
13352052,22311059,
13352325,22527689,
13354614,20714705,
13361723,23095857,
13361958,23868359,
13362284,20714957,
13362863,20714705,
13363707,22562280,
13366583,23878004,
13367360,23892471,
13420265,23274526,
13420701,21603696,
13420803,20886053,
13422591,23766096,
13423069,23867982,
13424514,23827582,
13425564,20714957,
13428825,23297363,
13437612,23333204,
13442991,20733722,
13449679,23297363,
13451547,22371234,
13453161,20716325,
13453492,23333204,
13453878,24230490,
13462068,23297363,
13462854,23083238,
13463650,23334022,
13464538,24239707,
13465182,23831424,
13467001,23868356,
13469643,23250476,
13470462,23895839,
13471272,24230490,
13477868,23274526,
13482334,24230490,
13482605,23449479,
13484231,23576466,
13485332,20784854,
13486034,23576466,
13486180,20784854,
13487320,23793759,
13487486,22562280,
13487774,23885115,
13489670,23766096,
13493594,20716369,
13493708,24288202,
13494488,24288202,
13495910,23766096,
13497734,20784854,
13498220,20819099,
13500548,20714957,
13502084,22815375,
13502384,24178260,
13503608,24293136,
13503980,23374204,
13505168,24293136,
13507274,24284766,
13507274,24432623,
13507838,23576466,
13508987,23895335,
13510988,23248851,
13511842,23903529,
13513607,23580382,
13513702,24350852,
13518277,23541201,
13519307,20784854,
13519511,23877215,
13523206,23895335,
13523516,20990331,
13523621,23541201,
13524055,24304606,
13524188,20990331,
13525655,24178260,
13528153,24154431,
13528991,24423442,
13529480,24445805,
13529672,20993337,
13530353,22789256,
13532965,24378143,
13534547,20714957,
13536104,23773941,
13536124,21661934,
13536136,22605794,
13536871,23460217,
13538552,24288202,
13539580,20714957,
13541087,24383065,
13541096,24440456,
13542161,24415451,
13543265,24288202,
13544105,23869170,
13545416,22610805,
13548998,24199515,
13550335,24842445,
13550420,23805139,
13551340,23386246,
13553225,20904605,
13553378,23805946,
13554367,24532193,
13554821,24515948,
13556663,24192483,
13556675,23860772,
13556714,23892701,
13556786,22737999,
13556792,24440456,
13557464,24510614,
13558268,23385304,
13560206,23385304,
13560215,24477662,
13560239,24443492,
13561130,23895839,
13563758,22562280,
13564049,23426051,
13564282,20715745,
13566533,23298499,
13567513,23772291,
13567513,24742841,
13568896,20715029,
13570120,24587239,
13571498,24150895,
13573841,22665285,
13573877,24609673,
13575140,24496465,
13575577,24496465,
13575583,24535660,
13597657,24288406,
13598072,23386246,
13599536,24668140,
13601423,23422819,
13601545,24665767,
13602377,24541457,
13603738,24613385,
13603942,24532193,
13606330,23868359,
13606373,23868359,
13607171,23914578,
13608502,24609679,
13609492,23842898,
13610900,24538349,
13612324,24700981,
13613993,24421748,
13614277,24604421,
13615351,24532195,
13616209,23930163,
13616648,23425744,
13618421,24390283,
13619990,23374204,
13621021,21636534,
13625690,24288406,
13627538,24445817,
13627696,24538349,
13628807,24581602,
13629724,24538349,
13631340,24408035,
13634379,24285039,
13634946,23425744,
13635396,24391043,
13640736,24445817,
13643643,24383065,
13644500,24705338,
13644582,24558944,
13644810,20894881,
13646667,24423442,
13648749,24756579,
13649664,22610805,
13652766,24532193,
13653107,23350562,
13653803,24288202,
13653858,23868368,
13654122,24604421,
13656585,22789256,
13656867,20894881,
13657548,24525119,
13657994,23385304,
13658067,23885120,
13658712,23272576,
13660808,24685394,
13661607,23385304,
13662414,24420601,
13663257,24662165,
13664970,23272576,
13664973,24726443,
13665515,24428165,
13666440,24581602,
13669143,23272576,
13669154,24457559,
13669167,23333204,
13671096,23868368,
13671246,24592570,
13672826,24566537,
13673301,23868359,
13673460,20733722,
13673504,24668140,
13674555,24799617,
13677302,24693473,
13677864,24836349,
13679946,24345958,
13680045,24288202,
13681193,21628935,
13681635,24408035,
13684170,23841914,
13684413,24669143,
13685301,23580354,
13685478,24288202,
13685928,24721552,
13689957,24889284,
13723382,23510931,
13724235,24423442,
13760427,24587239,
13777610,23374204,
13777678,24594508,
13778097,24486302,
13798090,24789308,
13798783,24836349,
13800276,25172580,
13800282,24698753,
13800285,23874623,
13803294,24571733,
13803379,23914244,
13804131,25089180,
13805397,24329803,
13805988,25174131,
13806435,24293136,
13806942,24293136,
13806985,24329803,
13807224,24549182,
13807533,24497009,
13809244,24571724,
13811470,24349313,
13817242,24377737,
13818378,24698753,
13818972,23868356,
13819641,23842898,
13819893,24555806,
13819965,24715955,
13821138,22805343,
13821828,24501173,
13822857,25230996,
13823434,24421748,
13823859,24685394,
13824306,24428165,
13824324,24685394,
13824732,23298499,
13825776,24742586,
13826385,24818135,
13826559,24836349,
13826562,25797529,
13827441,25130645,
13831563,24895722,
13831648,24724871,
13831695,24501311,
13832355,24803555,
13833099,23357723,
13833439,25209870,
13836802,24693473,
13837335,25227217,
13837491,25242330,
13838055,23333204,
13838568,24724871,
13838577,24693473,
13839804,25229794,
13840477,25194705,
13842003,24377737,
13842351,24693473,
13842523,24778530,
13843296,25256784,
13843935,25291834,
13844079,25180746,
13844097,24715955,
13844371,24377737,
13845111,25192584,
13845901,24283114,
13845996,25255761,
13956822,24790542,
13956978,23248186,
14070868,23580354,
14147290,24349313,
14163888,24510425,
14165019,25295871,
14165751,25295871,
14166228,25228717,
14166540,22903091,
14167429,25490724,
14167867,24752984,
14167945,25300647,
14169330,24715955,
14169699,25228717,
14170108,24408035,
14170207,24581602,
14170672,25744399,
14170744,25300647,
14171010,25255761,
14172646,24851262,
14173839,24587239,
14174529,25741155,
14175103,25727515,
14176465,24471017,
14176716,24789308,
14176796,25234593,
14177429,22903091,
14177492,24757500,
14177499,25226419,
14177574,24517358,
14179077,24592570,
14179080,24285039,
