schade_id,bet_id,beheerder,referentie_makelaar,referentie_tegenmaatschappij,datum,omschrijving,status,statusDetailed,afgelopen_reden,afgelopen_datum,added_by,added_time,edited_by,edited_time
106950201,126004777,,2018-0001,,"2018-12-18 00:00:00",,0,5,,2019-03-15,,"0000-00-00 00:00:00",17679,"2021-12-15 12:18:48"
106950205,126004905,,2019-0001,,"2019-03-06 00:00:00",,0,5,,2019-05-09,,"0000-00-00 00:00:00",17679,"2021-12-15 12:18:55"
106950209,126004905,,2018-0002,,"2018-08-14 00:00:00",,0,5,,2019-03-14,,"0000-00-00 00:00:00",17679,"2021-12-15 12:19:03"
106950213,140591826,,2019-0002,,"2019-03-07 00:00:00",,0,5,,2019-03-15,,"0000-00-00 00:00:00",17679,"2021-12-15 12:19:09"
106950217,126047580,,2019-0003,,"2019-03-10 00:00:00",,0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-12-15 12:19:18"
106950221,126005881,,2019-0004,,"2019-03-10 00:00:00",,0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-12-15 12:19:37"
106950229,126004981,,2018-0003,,"2018-05-09 00:00:00",,0,5,,2019-04-29,,"0000-00-00 00:00:00",17679,"2021-12-15 12:19:43"
106950233,126005725,,0G19C0113902,,"2019-04-27 00:00:00","Ongeval Turkije",0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-12-15 12:19:54"
106950237,126004841,,2019-0007,,"2019-04-19 00:00:00","Ongeval Autosnelweg Kursat Safran",0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-12-15 12:20:12"
106950241,125991127,,2019-0008,,"2019-05-27 00:00:00",,0,5,,2019-06-03,,"0000-00-00 00:00:00",17679,"2021-12-15 12:20:22"
106950245,126004905,,2019-0009,,"2019-05-23 00:00:00",,0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-12-15 12:20:29"
106950249,126005709,,2019-0010,,"2019-06-24 00:00:00",,0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-12-15 12:20:38"
106950253,126005421,,2019-0011,,"2019-06-25 00:00:00",,0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-12-15 12:20:57"
106950257,126005709,,2019-0012,,"2019-06-24 00:00:00",,0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-12-15 12:21:08"
106950261,140584160,,026648679,,"2019-08-20 00:00:00",,0,5,,2019-08-28,,"0000-00-00 00:00:00",17679,"2021-12-15 12:21:32"
106950265,140584160,,2019-0013,,"2019-08-20 00:00:00",,0,5,,2019-12-17,,"0000-00-00 00:00:00",17679,"2021-12-15 12:21:43"
106950269,126004829,,2019-0014,,"2019-07-29 00:00:00",,0,5,,2019-09-09,,"0000-00-00 00:00:00",17679,"2021-12-15 12:21:50"
106950273,126004981,," O19/C2016/0578/PX",,"2019-09-02 00:00:00","Kortrijkse Heerweg 129 en 137 --- Mercedes Kraan AANSPRAKELIJK",0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-12-15 12:21:56"
106950277,126004905,,2019-0016,,"2019-07-01 00:00:00",,0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-12-15 12:22:04"
106950281,126004829,,2019-0017,,"2019-07-29 00:00:00",,0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-12-15 12:22:11"
106950285,126004945,,2019-0018,,"2019-10-09 00:00:00",,0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-12-15 12:22:18"
106950289,126005493,,2019-0019,,"2019-10-14 00:00:00",,0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-12-15 12:22:28"
106950293,126004965,,2019-0020,,"2019-09-28 13:50:00",,0,,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-09-15 17:03:43"
106950297,126004669,,2019-0021,,"2019-10-23 00:00:00",,0,5,,0000-00-00,,"0000-00-00 00:00:00",18961,"2022-03-08 15:48:31"
106950309,140584160,,66919674,,"2019-08-28 00:00:00","Tegen Bumper Gereden in Duitsland",0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-09-15 17:02:15"
106950313,126004993,,51942673,,"2019-11-25 00:00:00",,0,5,,0000-00-00,,"0000-00-00 00:00:00",17591,"2023-05-04 08:41:36"
106950317,126004865,,19FC052782,,"2019-11-28 00:00:00",,0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-09-15 17:01:02"
106950321,126119609,,0619E1348101,,"2019-11-22 00:00:00","Ongeval Narin Ayaz - Botsing Achterzijde Auto",0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-09-15 16:58:24"
106950325,126004993,,51954000,,"2019-11-23 00:00:00",,0,5,,2019-12-20,,"0000-00-00 00:00:00",17679,"2021-09-15 16:57:49"
106950329,126005709,,0619E1469201,,"2019-12-24 09:00:00",,0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2025-12-30 12:20:34"
106950333,126005709,,0619A3396701,,"2019-12-13 00:00:00",,0,5,,0000-00-00,,"0000-00-00 00:00:00",18961,"2023-01-12 15:31:58"
106950337,126005901,,51951750,,"2019-12-10 12:30:00","Aanrijding Tegen Bromfietser",0,5,,0000-00-00,,"0000-00-00 00:00:00",17679,"2021-09-15 16:58:53"
106954686,126005493,,"ELBA WOOD",,"2019-10-14 00:00:00",,0,5,,0000-00-00,17478,"2020-01-15 10:44:57",17679,"2021-12-15 12:18:38"
106962042,126005593,,972090013401,,"0000-00-00 00:00:00","Waterschade plafond",0,5,,0000-00-00,,"2020-01-24 17:22:48",17591,"2025-05-19 22:38:04"
106962060,126005897,,202001.C00492,,"2020-01-10 00:00:00","Lek via het dak",0,5,,0000-00-00,,"2020-01-24 18:20:43",17679,"2021-12-15 12:17:28"
106962064,126005897,,202001.C00491,,"2020-01-07 00:00:00","Schade via de garage",0,5,,0000-00-00,,"2020-01-24 18:22:23",17679,"2021-12-15 12:15:50"
106964744,126004901,,2019-12-0005,,"2019-12-03 00:00:00",,0,,,0000-00-00,17478,"2020-01-29 16:15:49",17478,"2021-12-05 20:55:57"
106967414,126004757,,2019-2000,,"0000-00-00 00:00:00","schade aan onderbuur",0,5,,0000-00-00,,"2020-02-03 17:15:18",17591,"2023-05-05 10:35:10"
106968095,126005449,,2019-2001,,"2019-07-17 00:00:00",,0,5,,0000-00-00,,"2020-02-04 11:48:15",17679,"2021-12-15 12:15:08"
106968745,126005349,,2000-2,,"2019-12-17 00:00:00","Aanrijding door onbekende",0,5,,0000-00-00,,"2020-02-04 17:42:02",17679,"2021-12-15 12:14:50"
106969846,126005709,,0G19E0615002,,"2019-12-13 00:00:00",,0,5,,0000-00-00,17478,"2020-02-06 11:20:04",17679,"2021-12-15 12:14:38"
106974369,126005709,,2020-02-0002,,"0000-00-00 00:00:00",,0,5,,0000-00-00,,"2020-02-10 16:45:34",17679,"2021-12-15 12:14:27"
106977015,126004569,,"N1M/51939658/03 ",,"2019-11-05 16:36:00","Aanrijding Verstraelen Kris 05-11-2019",0,5,,0000-00-00,17478,"2020-02-11 15:35:12",17679,"2021-12-15 12:14:06"
106981426,126004429,,19FC029767,,"2019-07-01 00:00:00",,0,5,,0000-00-00,,"2020-02-14 11:21:22",17679,"2021-12-15 12:14:00"
106982084,126005433,,2020-02-0004,,"2020-02-10 00:00:00",Stormschade,0,5,,0000-00-00,17478,"2020-02-14 17:20:04",18961,"2022-03-08 16:23:56"
106982087,126004945,,2020-02-0003,,"2020-02-10 00:00:00",,0,5,,0000-00-00,17478,"2020-02-14 17:20:04",17679,"2021-12-15 12:13:52"
107012192,126004553,,NP7/22017622/03,,"2020-02-15 01:00:00","Ongeval Autosnelweg Dikic Enes",0,5,,0000-00-00,17478,"2020-02-20 09:55:19",17679,"2021-12-15 12:13:45"
