schade_id,address_id,omstandigheden,omstandigheden_code,aansprakelijkheid,aansprakelijkheid_percent,materiele_schade,lichamelijke_schade,getuigen,schade_verzekerde,schade_derde
106950201,,,0,1,0,0,0,0,0.00,0.00
106950205,33198825,,0,3,0,1,0,0,0.00,0.00
106950209,33198829,,0,1,0,1,0,0,0.00,0.00
106950213,,Glasbraak,0,1,0,0,0,0,526.49,0.00
106950217,33198833,,0,,0,1,0,0,0.00,0.00
106950221,33198837,,0,,0,0,1,0,0.00,0.00
106950229,,"Bouwschade, vde reed met kraan tegen poort tgp.",0,1,0,0,0,0,0.00,0.00
106950233,,,0,,0,1,0,0,0.00,0.00
106950237,,,0,2,0,1,0,0,0.00,0.00
106950241,,,0,3,0,1,0,0,0.00,0.00
106950245,33198841,,998,1,0,1,0,0,0.00,0.00
106950249,33198845,,0,,0,1,0,0,0.00,0.00
106950253,,,573,3,0,1,0,0,0.00,0.00
106950257,,,0,,0,1,0,0,0.00,0.00
106950261,,"TP maakte een U-turn over tramsporen en ononderbroken wittel
ijn  en reed hierbij vtg VZ aan",0,3,0,0,0,0,0.00,0.00
106950265,,"TP maakte een U-turn over tramsporen en ononderbroken wittel
ijn  en reed hierbij vtg VZ aan",0,3,0,0,0,0,0.00,0.00
106950269,33198849,"barsten in muren van de buren door verbouwingswerken
eig-bew",0,,0,0,0,0,0.00,0.00
106950273,33198853,,0,1,0,1,0,0,0.00,0.00
106950277,33198857,,998,,0,1,0,0,0.00,0.00
106950281,,"ONZE V ZOU VERBOUWINGEN DOEN EN TGP HEEFT SCHADE DAARDOORNOG GEEN AANGIFTE V",0,,0,0,0,0,0.00,0.00
106950285,33198861,"Hoofdriolering van buurman is aangesloten op dat van onze verzekerde. Onze verzekerde was hier niet vanop de hoogte totdat zijn kelder onder water liep. Uit onderzoek van een loodgieter bleek deze correct te zijn. De buurman was ook ex-eigenaar van de woning. Graag dringend een expert aan te stellen, aub.",364,,0,1,0,0,0.00,0.00
106950289,,"vze sloeg linksaf en reed tgp aan
AG/AG",0,,0,1,0,0,0.00,0.00
106950293,,"Voertuig X staat geparkeerd of staat stil.Vzn reed geparkeerd vtg tgp aan",0,1,0,0,0,0,0.00,0.00
106950297,33198865,"waterschade door burenth - huurder uitb niet bew",0,,0,0,0,0,0.00,0.00
106950309,,"verz is op Duitse autosnelweg op bumper gereden",0,3,0,0,0,0,0.00,0.00
106950313,,"vervanging zijruit (glas ingeslaan bij inbraak)",0,1,0,0,0,0,0.00,0.00
106950317,," FF via mak : RDR-P 10 + ES : V rijdt voorligger TP achteraan aan",219,1,0,1,0,0,0.00,0.00
106950321,33198869,,501,1,0,1,0,0,0.00,0.00
106950325,,,0,,0,1,0,0,0.00,0.00
106950329,,,339,,0,1,0,0,0.00,0.00
106950333,,,0,,0,0,0,0,0.00,0.00
