schade_bet_id,schade_id,bet_type_id,omschrijving,bet_referentie
14857253,106950201,58188749,"
",
14857265,106950201,58189545,"
Schadenummer : SA1039596218",
14857269,106950201,58189549,"
",
14857273,106950205,58188901,"
",
14857277,106950205,58189233,"O1924143
",
14857289,106950205,58189761,"
",
14857293,106950205,58189765,"
",
14857297,106950209,58188901,"
",
14857301,106950209,58189233,"V1809166
",
14857305,106950209,58189541,"
Mij tegenpartij : ARCES SA",
14857309,106950213,80021738,"
",
14857317,106950217,58189853,"
",
14857325,106950221,58190037,"
",
14857333,106950221,58190041,"
",
14857349,106950229,58189009,"
",
14857361,106950229,58189277,"
Schadenummer : NSN185500909",
14857365,106950233,58189865,"1KVP152
",
14857373,106950233,58189301,"
",
36821554,106950233,75378478,,
14857377,106950237,58188825,"
",
14857393,106950241,58168943,"
",
14857397,106950241,58189233,"O19X1574
",
14857401,106950241,58189761,"
",
14857405,106950241,58188369,"
",
14857409,106950245,58188901,"
",
14857413,106950245,58189233,"V1907121
",
14857421,106950245,58189429,"
",
14906513,106950245,58189757,,
14906517,106950245,58332033,,
14906521,106950245,58332037,,
18657237,106950245,62063697,,
14857425,106950249,58189841,"
",
14857433,106950249,58189441,"
",
14857437,106950249,58189445,"
",
14857441,106950249,58189449,"
",
14857445,106950249,58188389,"
",
14857449,106950253,58189525,"
",
14857453,106950253,58189233,"O1968375
",
14857461,106950253,58189453,"
",
15579254,106950253,59203226,,
15579257,106950253,59203229,,
15579260,106950253,59203232,,
15579263,106950253,58189761,,
14857465,106950257,58189841,"
",
14857473,106950257,58188393,"
",
14857477,106950261,80014082,"
",
14857485,106950261,58188405,"
",
14857489,106950261,58188409,"
",
14857493,106950261,80014082,"
",
14857501,106950261,58188405,"
",
14857505,106950261,58188409,"
",
14857509,106950265,80014082,"
",
14857517,106950265,58188405,"
",
14857521,106950265,58188409,"
",
14857525,106950265,80014082,"
",
14857533,106950265,58188405,"
",
14857537,106950265,58188409,"
",
14857541,106950269,58188809,"
",
14857553,106950269,58188429,"
",
14857557,106950273,58189009,"
",
