schade_expert_id,schade_bet_id,schade_expertise_id
1029121,14857289,6919693
1029125,14857401,6919697
1029129,14857437,6919701
1029133,14857585,6919705
1035326,14914484,6942308
1035362,14914688,6942410
1042935,15027513,6959856
1043954,15035738,6963083
1044038,15036602,6963368
1047816,15072651,6981027
1048295,15076883,6983135
1085195,15579263,7033760
1086107,15626024,7037174
1086733,15659221,7040155
1420955,18656846,7387862
1592219,18656846,7579265
1420958,18656870,7387865
1420962,18656985,7387878
1422052,18850813,7391488
1533461,20116562,7516844
1675370,20656052,7579265
1818507,21656535,7810848
1883504,21989132,7878002
2028488,22725203,7878002
2387273,24539276,8388926
2548670,25301249,8388926
2551730,25317494,8555033
2581619,25457786,8585195
2625749,25661909,8632319
2651456,25920290,8660687
2823486,27115221,8839125
2828349,27789366,8850792
2846375,28466225,8872793
2854122,28549698,8880903
2858078,28588115,8885057
2898006,29161551,8928630
2899137,29349593,8932811
2901691,29729527,8937928
2901826,29736511,8938450
3047822,31081817,9089267
3136955,31892900,9180518
3311944,33455998,8937928
3420520,34362826,9469066
3564295,35357974,9615367
3842023,35357974,9898951
3705646,36358330,9180518
3750853,36703609,9805069
3872524,37709593,9930202
3889984,37869523,9930202
4004196,38927058,10069887
4008689,38965593,10077541
4008691,38965595,8880903
4009579,38972767,10080001
4011120,38985756,10084752
4011853,38991454,10087132
4012770,38998245,10089951
4013836,39006877,10093126
4014715,39013822,9175307
4017897,39049116,10099977
4018041,39050307,10100577
4018284,39052605,10084752
4019312,39060410,10104977
4020779,39076088,10113101
4033587,39210969,10132029
4033978,39214594,10133275
4034089,39215464,10133518
4034782,39222334,10136131
4047734,39222334,10169669
4035301,39226597,10137511
4037323,39244141,10144012
4039902,39268776,10149783
4041711,39282735,10155432
4042119,39285408,10113101
4045608,39312462,10167897
4046045,39316304,10169669
4046547,39320865,10171452
4047849,39331284,10175319
4048412,39335618,10176650
4048415,39335624,10176653
4048872,39339351,10178358
4048875,39339381,10178364
4049283,39342555,10179780
4050038,39349136,10181657
4050207,39350472,10182192
4051226,39359201,10185074
4051791,39363486,10186533
4062721,39583534,10202488
4064115,39593352,10205958
4064691,39598764,10208031
4073854,39685504,10231483
4073970,39686370,10205958
4075423,39697951,10235782
4079786,39731477,10247231
4081240,39744724,10251808
