schade_expertise_id,schade_id,datum_aanstelling,rdr_barema,type_mandaat,dervingstijd,dervingskosten,expertise_bedrag,wrakwaarde,forfait,total_loss
7802589,106950201,0000-00-00,,,0,0.00,0.00,0.00,0,0
6919693,106950205,,,,0,0.00,0.00,0.00,0,0
7387935,106950217,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076397,106950221,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076399,106950237,0000-00-00,,,0,0.00,0.00,0.00,0,0
6919697,106950241,,,,0,0.00,0.00,0.00,0,0
6919701,106950249,0000-00-00,,,0,0.00,0.00,0.00,0,0
7033760,106950253,2019-07-09,,,0,0.00,0.00,0.00,0,0
10076403,106950257,0000-00-00,,,0,0.00,0.00,0.00,0,0
6967039,106950273,0000-00-00,,,0,0.00,0.00,0.00,0,0
6919705,106950277,,,,0,0.00,0.00,0.00,0,0
10076405,106950289,0000-00-00,,,0,0.00,0.00,0.00,0,0
7038927,106950309,0000-00-00,,,0,0.00,0.00,0.00,0,0
10305398,106950313,0000-00-00,,,0,0.00,0.00,0.00,0,0
6959856,106950321,2019-12-03,,22,30,60.00,6081.82,0.00,0,0
6963083,106950329,2020-02-10,,22,100,200.00,10170.75,0.00,0,0
6942308,106950333,2020-01-22,,22,0,0.00,0.00,0.00,0,0
10076395,106962042,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076393,106962060,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076391,106962064,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076389,106967414,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076387,106968095,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076385,106969846,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076381,106974369,0000-00-00,,,0,0.00,0.00,0.00,0,0
6942410,106982087,2020-02-14,,,0,0.00,0.00,0.00,0,0
10076305,107013190,0000-00-00,,,0,0.00,0.00,0.00,0,0
6981027,107014196,2019-05-28,,,0,0.00,0.00,0.00,0,0
10076379,107015833,0000-00-00,,,0,0.00,0.00,0.00,0,0
10307546,107029189,0000-00-00,,,0,0.00,0.00,0.00,0,0
6963368,107031938,2020-03-16,,22,0,0.00,0.00,0.00,0,0
7435056,107031940,0000-00-00,,,0,0.00,0.00,0.00,0,0
7395669,107033667,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076375,107034049,0000-00-00,,,0,0.00,0.00,0.00,0,0
7395285,107036359,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076301,107036369,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076303,107036377,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076371,107039275,0000-00-00,,,0,0.00,0.00,0.00,0,0
9512047,107045552,0000-00-00,,,0,0.00,0.00,0.00,0,0
7410863,107045554,0000-00-00,,,0,0.00,0.00,0.00,0,0
6978647,107047538,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076369,107048290,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076365,107051165,0000-00-00,,,0,0.00,0.00,0.00,0,0
6983135,107051168,2020-04-24,,,0,0.00,0.00,0.00,0,0
10076361,107051169,0000-00-00,,,0,0.00,0.00,0.00,0,0
6984359,107054732,0000-00-00,,,0,0.00,0.00,0.00,0,0
6984361,107054734,0000-00-00,,,0,0.00,0.00,0.00,0,0
7387865,107057056,2020-05-27,,,0,0.00,0.00,0.00,0,0
10076357,107106058,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076355,107113592,0000-00-00,,,0,0.00,0.00,0.00,0,0
7040155,107118198,2020-06-29,13,11,0,0.00,0.00,0.00,0,0
10076349,107197740,0000-00-00,,,0,0.00,0.00,0.00,0,0
7037174,107218790,2020-06-23,30,12,15,30.00,1200.00,0.00,0,0
7387862,107220540,2020-07-23,10,22,0,0.00,0.00,0.00,0,0
7579265,107220540,2020-11-05,10,22,0,0.00,0.00,0.00,0,0
10076347,107269389,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076345,107357901,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076343,107375540,0000-00-00,,,0,0.00,0.00,0.00,0,0
7387878,107728094,2020-07-30,,22,25,50.00,3471.95,0.00,0,0
10076341,108050766,0000-00-00,,,0,0.00,0.00,0.00,0,0
8872793,108051036,2021-04-13,,12,0,0.00,0.00,0.00,0,0
7391488,108123181,2020-08-27,,,0,0.00,1000.00,0.00,0,0
8839125,108123446,2020-09-30,,,0,0.00,0.00,0.00,0,0
8555033,108193362,2020-10-05,,,0,0.00,0.00,0.00,0,0
10076309,108217143,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076329,108226239,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076327,108227078,0000-00-00,,,0,0.00,0.00,0.00,0,0
7399668,108234747,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076325,108242037,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076323,108305523,0000-00-00,,,0,0.00,0.00,0.00,0,0
10072313,108416450,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076311,108442485,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076319,108542630,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076315,108542703,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076313,108593319,0000-00-00,,,0,0.00,0.00,0.00,0,0
10181657,108593376,2021-01-05,,,0,0.00,0.00,0.00,0,0
7516844,108593808,2020-10-21,,,0,0.00,0.00,0.00,0,0
10076299,108594530,0000-00-00,,,0,0.00,0.00,0.00,0,0
10305422,108594543,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076297,108595454,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076295,108597798,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076293,108648972,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076291,108715031,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076287,108772971,0000-00-00,,,0,0.00,0.00,0.00,0,0
9941710,108773532,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076283,108868065,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076281,108893985,0000-00-00,,,0,0.00,0.00,0.00,0,0
10076277,108916647,0000-00-00,,,0,0.00,0.00,0.00,0,0
7810848,108930993,2020-12-03,,22,0,0.00,0.00,0.00,0,0
8585195,108930993,2021-02-03,,22,0,0.00,0.00,0.00,0,0
8850792,108931191,2021-03-30,,22,20,40.00,2499.85,0.00,0,0
10076275,108984816,0000-00-00,,,0,0.00,0.00,0.00,0,0
