schade_id,nummer,datum,overheid,locatie,alcoholtest,bloedafname
106950249,306038,2019-06-24,"2030 ANTWERPEN","2030 ANTWERPEN",,0
106950289,AN/81/LB/309696/2019,2019-10-14,ANTWERPEN,ANTWERPEN,,0
106954686,AN/81/LB/309696/2019,2019-10-14,"Federale politie",ANTWERPEN,,0
106968745,AN.91.LB.312131/2019,0000-00-00,,,,0
106969846,"81 AN LB 311917           ",2019-12-13,"Lokale politie","2030 ANTWERPEN",,0
107048290,AN12L419632020,2020-04-10,"Federale politie",NOORD,,0
107051169,AN17LB0414762020,2020-04-13,"Federale politie",ANTWERPEN,,0
107375540,AN/91/LB/301818/2020,2020-02-24,"Federale politie",ANTWERPEN,,0
107417646,"AN.91.LB.305335/2020 - VO",0000-00-00,,,,0
108068330,AN/81/L7/301017/2019,2019-07-15,"Federale politie",MINOS,,0
108123423,HV/91/OF/301587/2020,2020-07-26,"Federale politie","WPR Prov. BRABANT",,0
108225897,TU/90/L1/301150/2020,2020-09-09,"Federale politie","REGIO TURNHOUT",,0
108305523,,0000-00-00,"Wielrijdersstraat, 41",,,0
108595236,AN/91/LB/307622/2020,2020-09-28,"Federale politie",ANTWERPEN,,0
108601844,TG/90/L1/301150/2020,2020-09-09,"Federale politie",TONGEREN-HERSTAPPE,,0
108930993,AN.91.LB.308102/2020,2020-10-19,,,,0
108993975,AN91LB3099432020,0000-00-00,"Verbaliserende agent",,,0
109002338,"AN.91.LB.309404/2020 ",2020-11-25,,,,0
110424092,AN/81/LB/302407/2021,2021-03-25,"Federale politie",ANTWERPEN,,0
111704851,AN/81/LB/305754/2021,2021-07-22,"Federale politie",ANTWERPEN,,0
111803543,AN/81/LB/305754/2021,2021-07-23,"Federale politie",ANTWERPEN,,0
112170649,AN50LB0936582021,2021-08-31,"Federale politie",ANTWERPEN,,0
112239148,91ANL73010842021,2021-09-09,"Verbaliserende agent",,3,0
112739239,AN/43/LB/106191/2021,2021-10-04,"Federale politie",ANTWERPEN,,0
113161325,AN.91.LB.308799/2021,2021-10-30,,,,0
113167975,AN.91.LB.309810/2021,2021-12-02,,,1,0
113171643,HA.81.L2.300324,2021-12-07,,,,0
113186788,,0000-00-00,Idris,,,0
113203804,AN.50.LB.013196/2022,2022-02-03,,,,0
113216058,AN.18.LB.014090/2022,2022-02-05,,,,0
113321691,91TUOB3003992022,0000-00-00,"Verbaliserende agent","Kasteelplein, 1, 2300 Turnhout",,0
113325468,AN.91.LB.302081/2022,2022-03-10,,,,0
113374491,AN.18.LB.034567/2022,2022-03-27,,,,0
113386536,AN81LB3026682022,0000-00-00,"Verbaliserende agent",,,0
113394426,HA/91/L4/300238/2022,2022-04-08,"Federale politie",BERINGEN/HAM/TESSENDERLO,,0
113408339,AN/A/94/LB/462637/2021,0000-00-00,,,,0
113419301,AN17LB0597862022,2022-05-29,"Federale politie",ANTWERPEN,,0
113422685,AN17LB0616502022,2022-05-31,"Federale politie",ANTWERPEN,,0
113586083,AN/91/LB/309635/2022,2022-11-22,"Federale politie",ANTWERPEN,,0
113587565,BR91L63047312022,0000-00-00,"Verbaliserende agent",,,0
113588900,AN/91/LB/309727/2022,2022-11-23,"Federale politie",ANTWERPEN,1,0
113641181,AN/91/LB/300151/2023,2023-01-06,"Federale politie",ANTWERPEN,,0
113648627,AN/11/LB/008128/2023,2023-01-20,"Federale politie",ANTWERPEN,,0
113648989,AN/91/LB/300316/2023,2023-01-09,"Federale politie",ANTWERPEN,,0
113650636,AN.92.LB.011805/2023,2023-01-30,,,,0
113650802,AN81OB3001852023,0000-00-00,"Verbaliserende agent",,,0
113655196,AN/91/LB/301117/2023,2023-02-07,"Federale politie",ANTWERPEN,,0
113656490,TU91L73000702023,0000-00-00,"Verbaliserende agent",,,0
113660438,AN/91/LB/301117/2023,2023-02-07,"Federale politie",ANTWERPEN,,0
113665340,AN91LB3018042023,0000-00-00,"Verbaliserende agent",,,0
113691374,ME81OB3008962023,0000-00-00,"Verbaliserende agent",,,0
113699414,90BROF3017522023,0000-00-00,"Verbaliserende agent","REGENTSCHAPSSTRAAT, 63, 5, 1000 ",,0
113738591,AN/50/LB/078130/2023,2023-07-08,"Federale politie",ANTWERPEN,,0
113743238,AN/81/LB/305956/2023,2023-07-19,"Federale politie",ANTWERPEN,,0
113745199,ME81L93017582023,0000-00-00,"Verbaliserende agent",,,0
113748665,AN18LB0918032023,0000-00-00,"Verbaliserende agent",,,0
