st_id,schade_bet_id,maatschappij_id,polisnummer,schadenummer
440430,14866858,58243830,,E98-0066917954-03
436499,14997056,58544058,5L64492,O20/11166/0120
440924,15030857,58243830,,
441356,15034361,58507493,,
443745,15051342,58544058,,I19/42795/0273
446976,15072633,58243830,,NCM-0022033671-03
446979,15072639,58189193,600373053,C101984697
456753,15200769,,5E94434,
479395,15569863,58189233,B19/42388,B19/42388
479398,15569866,,C201930165,C201930165
479626,15571453,,010623414773,0620H0526701
479629,15571462,58190609,622811290,622811290
479632,15571468,,622775192,
480281,15575855,59197907,,
480761,15579257,58189193,,
480764,15579269,58243830,,E97-0066913118-03
481010,15580796,58243830,,22040760
481841,15626018,,6005121880001,
483522,15821937,,,
807992,18656915,,,
807993,18656925,62063280,897100613734,
807996,18656931,,,
808005,18657000,,,
808029,18657237,,,
808061,18657353,,,
808080,18657600,58243830,22090257,
912002,19006637,62063280,56707109,56707109
934034,19086248,,,
1276289,20090723,58190609,,
1282300,20109355,63261130,008056540,
1282721,20112227,,5L96125,
1283336,20116556,64916507,,
1283987,20121896,,,
1284324,20124195,58189193,600736657000,600736657000
1284404,20124884,62063280,,89700869368
1284563,20125706,,,
1285914,20540778,,,
1317926,20958563,58189241,,
1320035,21127406,58243830,,E97-0067004098-03
1320038,21127409,58356008,,S00308411502
1320563,21215705,,,
1381181,21933629,,,
1388534,21989117,,,
1409250,22146264,58190609,623155069,623155069
1424352,22297740,58189193,,
1580748,23599935,58189193,6010825337,6010825337
1632839,24000818,66513452,0676990,
1632842,24000824,58243830,000033573900,
1764653,25080836,,,
1798191,25389672,,,
1805405,25456007,,,
1805408,25456010,,,
1805411,25456013,,,
1805414,25456016,,,
1805417,25456022,,,
1827539,25657538,58189233,5H30133,5H30133
1827758,25659263,,,
1828100,25661903,,,
1867553,25833374,58243830,22112667,
1869296,25840967,,,
1885697,25920287,,,
1935555,26139930,,,
1976648,26369168,,,
2012372,26585546,,,
2012375,26585552,58243830,API-0098006977-03,API-0098006977-03
2034863,26738294,58189233,B20/44984/0726/PX,B20/44984/0726/PX
2035046,26739551,58544058,,O21/01969/0279
2091981,27113229,,,
2092197,27114693,,,
2092200,27114702,,,
2092757,27118907,,,
2322791,28168874,58243830,,NJJ-0021985945-03
2358375,28278603,,29720516,
2415377,28466234,,,
2415386,28466258,,,
2442273,28549692,58189193,C102113281,
2493051,28703478,,,
2499123,28722444,,,
