task_id,user_id_from,user_id_to,text,title,bet_id,schade_id,contract_id,created,end_date,dynamic_to_task_id,dynamic_add_days,status,completed,user_id_completed,kleur,sequenceId,sequenceOrder
19169180,17478,,"Telefon acilmali tebrik icin",,126005125,,33684769,"2020-01-26 22:33:25",0000-00-00,,0,0,"2020-01-26 22:34:03",17478,,,
19169182,17478,,"Sunu ara",,,,,"2020-01-26 22:35:47",0000-00-00,,0,0,"2020-01-26 23:01:58",17478,,,
19169948,17478,,"Rekeningnummer opgeslagen",,126121378,,,"2020-01-28 11:25:32",0000-00-00,,0,0,"2020-01-28 11:29:45",17591,,,
19169953,17591,17591,"30 Euro Plaka parasi alinacak",,126004981,,,"2020-01-28 11:31:44",0000-00-00,,0,0,"2020-11-20 16:24:00",17591,,,
19169962,17591,,"ULUSOY 
kasap icin IPT hesaplanilicak",,126046009,,,"2020-01-28 11:36:04",0000-00-00,,0,0,"2020-05-26 12:13:11",17478,,,
19170184,17478,,"Check wijziging inning maatschappij OK?",,126004609,,33684993,"2020-01-28 17:26:51",0000-00-00,,0,0,"2020-04-10 15:23:53",17478,,,
19171549,17478,,"Maandaatlar geri geldimi?",,137076791,,,"2020-02-01 16:50:14",0000-00-00,,0,0,"2020-04-10 15:19:25",17478,,,
19171552,17478,,"KARABIYIK YAVUZ
 Ev icin yangin sigortasi yapilacak
 AXA aranip  yeni adres bildir",,126005297,,,"2020-02-01 16:50:55",0000-00-00,,0,0,"2020-04-10 15:18:24",17478,,,
19171555,17478,,"RABIA SERBEST
 cilt bakimi vetverbranding
 BA yapilacak
",,126051589,,,"2020-02-01 16:52:27",0000-00-00,,0,0,"2020-05-26 12:13:13",17478,,,
19171558,17478,,"sigortalar kontrol edilecek",,126005501,,,"2020-02-01 16:53:11",0000-00-00,,0,0,"2020-05-26 12:13:16",17478,,,
19171791,17591,,"FNL nok",,126004981,,33685077,"2020-02-03 10:57:17",0000-00-00,,0,0,"2020-04-10 15:19:04",17478,,,
19172891,17478,,"FNL-  BA imzalatilacak.",,126005913,,33686497,"2020-02-04 17:42:56",0000-00-00,,0,0,"2020-04-10 15:18:49",17478,,,
